Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,10-04-2026,23880.55,24074.05,23856.35,24050.6,275.5,1.16,481302436,40109.22,21.13,3.28,1.29
Nifty Next 50,10-04-2026,66677.25,67708.95,66623.65,67641.25,1372.6,2.07,325075940,16134.1,19.15,3.61,1.45
Nifty 100,10-04-2026,24602.6,24831.3,24579.3,24809.8,323.3,1.32,806378376,56243.32,20.75,3.34,1.32
Nifty 200,10-04-2026,13465.85,13592.45,13454.6,13581.3,181.95,1.36,1856410834,81031.11,22.53,3.52,1.21
Nifty 500,10-04-2026,22151.05,22364.3,22133.15,22346.75,309.25,1.4,3875430821,108744.37,23.12,3.52,1.15
Nifty Midcap 50,10-04-2026,16333.5,16465.5,16263.8,16452.4,206.05,1.27,372861083,14488.75,35.28,4.48,.65
NIFTY Midcap 100,10-04-2026,57315.6,57885.75,57168.2,57843.95,865.2,1.52,1050032458,24787.79,35.76,4.57,.71
NIFTY Smallcap 100,10-04-2026,16675.4,16876.15,16659,16840.1,274.1,1.65,1422117759,16745.53,28.7,3.28,.71
Nifty50 Dividend Points,10-04-2026,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,10-04-2026,26018.3,26678.55,26002.45,26640.9,739.0,2.85,93995962,6271.4,31.49,4.57,1.19
Nifty Bank,10-04-2026,55182.25,55978.5,55145.25,55912.75,1091.05,1.99,281031417,11050.95,14.88,1.91,1.05
Nifty Energy,10-04-2026,36959.45,37366.55,36951.65,37174.6,406.35,1.11,524935704,14228.6,15.41,2.4,1.82
Nifty Financial Services,10-04-2026,25898.6,26242.8,25884.15,26213.9,528.05,2.06,170477912,15704.67,17.1,2.79,.88
Nifty FMCG,10-04-2026,47727.35,48285,47632.15,48194.05,553.35,1.16,38969548,2681.44,34.46,8.49,1.7
Nifty IT,10-04-2026,31533.35,31544.7,30680.8,31030.6,-605.6,-1.91,92998212,8485.87,22.04,5.75,3.41
Nifty Media,10-04-2026,1348.9,1375.9,1345.4,1365.2,26.25,1.96,38812106,384.68,28.77,1.44,1.28
Nifty Metal,10-04-2026,12317.05,12387.15,12225.6,12356.4,126.7,1.04,115907090,4733.62,20.95,3.22,1.61
Nifty MNC,10-04-2026,30036.35,30515.75,29981.8,30481.8,623.35,2.09,124537203,8861.7,38.01,8.39,1.58
Nifty Pharma,10-04-2026,22127.8,22191.65,21932.8,22164.85,29.45,.13,23831127,3395.1,33.18,4.83,.71
Nifty PSU Bank,10-04-2026,8693.35,8789.4,8668.3,8778.25,172.55,2.01,125678807,3427.67,8.65,1.42,2.21
Nifty Realty,10-04-2026,750.25,767.1,748.45,759.25,15.5,2.08,24549958,2329.83,35.92,3.64,.39
Nifty India Consumption,10-04-2026,11082.85,11231.1,11082.85,11219.35,171.15,1.55,168059745,14238.7,37.42,7.57,1
Nifty Commodities,10-04-2026,9730.3,9804.9,9689.65,9754.6,74.9,.77,293036940,13517.71,16.39,2.32,1.69
Nifty Dividend Opportunities 50,10-04-2026,6058.65,6077.45,6025.7,6070.75,29.8,.49,569115187,24224.91,14.53,2.88,2.82
Nifty Infrastructure,10-04-2026,9049.25,9124.05,9040.95,9116.75,117.65,1.31,295465243,14244.9,20.95,3.04,1
Nifty PSE,10-04-2026,10192.65,10292.75,10109.75,10173.1,41.8,.41,237628967,6820.38,11.02,2.04,2.78
Nifty Services Sector,10-04-2026,30658.4,30886.1,30630.9,30856.55,354.95,1.16,343568483,27027.89,20.1,3.28,1.35
Nifty50 Shariah,10-04-2026,4339.6,4341.4,4295.2,4324.65,-26.65,-.61,90603529,11922.61,24.05,4.16,2.18
Nifty500 Shariah,10-04-2026,6630.75,6663.9,6602.25,6660.15,41.35,.62,633991273,35285.38,27.72,4.57,1.43
Nifty Low Volatility 50,10-04-2026,23775.55,24017.85,23756.05,23997.05,274.1,1.16,297397352,32325.14,29.37,4.86,1.26
Nifty Alpha 50,10-04-2026,49157.9,49874.6,49128.4,49828.45,1071.7,2.2,288347765,20184.61,26.78,4.18,.8
Nifty High Beta 50,10-04-2026,3780.95,3820.45,3775,3817.35,62.6,1.67,904044115,19566.97,29.65,3.49,.95
Nifty100 Equal Weight,10-04-2026,32468.6,32834.9,32445,32808.2,503.85,1.56,806378376,56243.32,21.84,3.62,1.33
Nifty100 Liquid 15,10-04-2026,7115.5,7177.6,7107.45,7170.55,108.9,1.54,167325288,13703.7,22.95,3.4,.92
Nifty CPSE,10-04-2026,7179,7239.2,7072.9,7124.0,-11.85,-.17,119578346,3962.73,14.69,2.3,2.6
Nifty50 Value 20,10-04-2026,12381,12446.55,12366.75,12434.15,79.05,.64,263317828,19052.51,16.55,2.86,1.97
Nifty Midcap Liquid 15,10-04-2026,15372.75,15474.25,15269.3,15446.35,167.45,1.1,224822920,7624.1,46.29,5.07,.55
Nifty Shariah 25,10-04-2026,7694.1,7749.1,7664.7,7744.15,52.45,.68,96909611,11044.76,27.26,4.86,1.81
India VIX,10-04-2026,20.4275,20.4275,18.37,18.85,-1.58,-7.72,-,-,-,-,-
Nifty Growth Sectors 15,10-04-2026,11045.25,11080.3,10976.2,11068.3,0.95,.01,53989286,11948.07,30,7.09,1.79
Nifty50 TR 1x Inverse,10-04-2026,179.55,179.65,178.1,178.25,-2.1,-1.16,-,-,-,-,-
Nifty50 TR 2x Leverage,10-04-2026,17979.5,18269.2,17959.4,18234.45,410.7,2.3,-,-,-,-,-
Nifty50 PR 1x Inverse,10-04-2026,219.65,219.8,217.85,218.1,-2.5,-1.13,-,-,-,-,-
Nifty50 PR 2x Leverage,10-04-2026,11987.4,12180.55,11974.05,12157.4,273.8,2.3,-,-,-,-,-
NIFTY100 Quality 30,10-04-2026,5408.6,5444.55,5397.15,5440.7,42.0,.78,175750800,16515.09,29.49,7.44,1.9
Nifty 50 Futures Index,10-04-2026,-,-,-,6006.88,59.74,1,-,-,-,-,-
