Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,28-01-2026,25258.85,25372.1,25187.65,25342.75,167.35,.66,574903942,42364.52,22.07,3.45,1.3
Nifty Next 50,28-01-2026,66906.8,68298,66872.55,68205.65,1509.1,2.26,312489612,16812.73,19.5,3.54,1.45
Nifty 100,28-01-2026,25790.7,25963.25,25766.55,25943.8,237.65,.92,887393554,59177.24,21.6,3.46,1.33
Nifty 200,28-01-2026,14012.1,14123.45,14001.2,14111.95,147.65,1.06,2129291394,79627.81,22.96,3.58,1.24
Nifty 500,28-01-2026,22899.6,23101.75,22884.5,23082.1,262.85,1.15,2978398505,105358.36,23.49,3.59,1.18
Nifty Midcap 50,28-01-2026,16495.85,16722.85,16481.55,16703.05,271.7,1.65,354286409,11574.22,32.38,4.45,.84
NIFTY Midcap 100,28-01-2026,57714.9,58508.95,57678.55,58438.6,954.95,1.66,1241897840,20450.56,32.09,4.24,.83
NIFTY Smallcap 100,28-01-2026,16511.3,16817.15,16489.25,16790.95,371.6,2.26,525708880,18517.19,29.93,3.63,.76
Nifty50 Dividend Points,28-01-2026,-,-,-,264.68,0.0,-,-,-,-,-,-
Nifty Auto,28-01-2026,26530.35,26781.7,26236.7,26737.6,183.6,.69,60190507,7515.54,29.04,4.58,1.18
Nifty Bank,28-01-2026,59575.65,59699.9,59240.1,59598.8,393.35,.66,289254779,11447.46,16.39,2.19,.98
Nifty Energy,28-01-2026,33434.3,34745.95,33424.15,34685.45,1392.35,4.18,478857268,12110.08,14.7,2.26,2.35
Nifty Financial Services,28-01-2026,27212.1,27402.65,27174.1,27335.2,277.2,1.02,155767813,13910.3,17.66,2.88,.85
Nifty FMCG,28-01-2026,51449.75,51579.25,50510.65,50985.45,-364.3,-.71,61624018,4063.35,37.36,9.2,2.19
Nifty IT,28-01-2026,38583.15,38792.65,38433.45,38725.35,159.25,.41,28883711,4129.37,27.52,7.18,2.75
Nifty Media,28-01-2026,1339.3,1365.55,1336.1,1360.4,28.35,2.13,25214001,397.8,29.48,1.43,1.42
Nifty Metal,28-01-2026,11911.05,12158.9,11828.55,12106.45,276.8,2.34,314393778,16193.96,21.11,3.15,1.51
Nifty MNC,28-01-2026,30131.85,30385.6,30009.2,30357.05,295.45,.98,61481562,7360.44,36.79,8.72,1.52
Nifty Pharma,28-01-2026,21828,21903.85,21622.95,21739.85,-48.6,-.22,19478277,2428.03,32.99,4.7,.71
Nifty PSU Bank,28-01-2026,8985.1,9093.7,8888.35,9085.8,150.05,1.68,131635931,3098.75,9.18,1.49,2.11
Nifty Realty,28-01-2026,761.7,776.1,759.25,771.3,11.9,1.57,16562909,1395.73,35.21,3.73,.39
Nifty India Consumption,28-01-2026,11447.65,11471,11331.2,11457.95,13.15,.11,193286601,17358.37,38.46,7.74,1.13
Nifty Commodities,28-01-2026,9537.75,9720.85,9528.5,9706.8,214.2,2.26,344044595,14784.31,16.67,2.31,1.76
Nifty Dividend Opportunities 50,28-01-2026,6377.55,6461.95,6372.35,6455.7,94.8,1.49,588134572,23796.79,15.1,3,2.92
Nifty Infrastructure,28-01-2026,9022.45,9093.85,9011.55,9083.75,99.95,1.11,315953556,14247.43,20.34,2.98,1.14
Nifty PSE,28-01-2026,9766.25,10196.25,9756.25,10179.5,448.65,4.61,379989698,12384.16,11.36,2.05,3.1
Nifty Services Sector,28-01-2026,33104.7,33255.3,32998.3,33191.55,233.75,.71,309415834,23272.46,21.32,3.49,1.29
