Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,20-04-2026,24391.5,24480.65,24241.25,24364.85,11.3,.05,415942883,35042.31,21.39,3.33,1.28
Nifty Next 50,20-04-2026,70342.85,70813.85,69522.9,70341.0,67.2,.1,316130146,14571.62,19.92,3.75,1.41
Nifty 100,20-04-2026,25275.6,25379.3,25096.65,25252.9,14.0,.06,732073029,49613.93,21.11,3.4,1.3
Nifty 200,20-04-2026,13885.2,13937,13778.7,13864.3,1.45,.01,2089861597,73205.94,22.98,3.59,1.18
Nifty 500,20-04-2026,22906.65,22987.6,22717.55,22865.8,-3.6,-.02,3284012303,104851.8,23.64,3.6,1.12
Nifty Midcap 50,20-04-2026,17055.15,17117,16893.15,16981.8,-32.8,-.19,750844670,13594.76,36.27,4.62,.63
NIFTY Midcap 100,20-04-2026,60034,60261.1,59420.7,59790.75,-107.45,-.18,1357788568,23592.01,36.87,4.72,.69
NIFTY Smallcap 100,20-04-2026,17593,17611.9,17358.75,17486.9,-78.8,-.45,559394263,16626.2,29.79,3.41,.69
Nifty50 Dividend Points,20-04-2026,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,20-04-2026,26447.1,26630.15,26173.85,26522.3,87.3,.33,44532798,4421.16,31.35,4.55,1.2
Nifty Bank,20-04-2026,56704.05,57085.1,56356.55,56582.35,16.65,.03,596140156,14322.75,15.06,1.93,1.04
Nifty Energy,20-04-2026,38938.4,39478.7,38643.75,39184.7,302.95,.78,665563223,15351.09,16.24,2.52,1.73
Nifty Financial Services,20-04-2026,26561.2,26706.6,26380.95,26537.1,15.85,.06,208416336,17137,17.31,2.83,.88
Nifty FMCG,20-04-2026,49760.15,49843.95,49377.7,49555.75,-102.0,-.21,34341765,2838.54,35.43,8.73,1.66
Nifty IT,20-04-2026,31855.35,31912.5,31498.75,31585.75,-224.1,-.7,44759715,3801.49,22.28,5.86,3.35
Nifty Media,20-04-2026,1418.25,1438.8,1410.4,1429.35,12.75,.9,84781136,809.29,30.12,1.51,1.23
Nifty Metal,20-04-2026,12854.6,12902,12698.5,12829.65,-50.35,-.39,115485947,4856.59,21.76,3.34,1.55
Nifty MNC,20-04-2026,31412.35,31553.4,31090.85,31361.35,13.25,.04,43666941,5590.31,39.11,8.54,1.53
Nifty Pharma,20-04-2026,22544.8,22563.5,22307.2,22456.75,-40.5,-.18,13683025,1840.54,33.62,4.89,.7
Nifty PSU Bank,20-04-2026,8875.65,9039.15,8806.95,8940.45,77.55,.87,175854960,5366.44,8.81,1.45,2.17
Nifty Realty,20-04-2026,785.6,789.4,773.35,782.05,-4.85,-.62,10220878,959.7,36.99,3.75,.38
Nifty India Consumption,20-04-2026,11435.15,11495.65,11349.35,11444.85,30.8,.27,193348502,14319.41,38.17,7.72,.98
Nifty Commodities,20-04-2026,10078.95,10170.6,9991.4,10109.5,26.3,.26,297414110,12465.32,16.99,2.4,1.63
Nifty Dividend Opportunities 50,20-04-2026,6214.55,6256.05,6166.95,6222.9,12.1,.19,510729392,19297.21,14.88,2.95,2.75
Nifty Infrastructure,20-04-2026,9330.45,9361.25,9263,9319.75,8.25,.09,334549406,13781.36,21.41,3.11,.98
Nifty PSE,20-04-2026,10591.8,10693.9,10485.8,10628.65,40.3,.38,244864161,7129.52,11.51,2.13,2.66
Nifty Services Sector,20-04-2026,31336.95,31481.5,31156.4,31295.9,30.3,.1,320865086,24294.55,20.36,3.32,1.33
Nifty50 Shariah,20-04-2026,4438.4,4446.05,4408.45,4424.45,-8.65,-.2,50131103,6206.06,24.5,4.25,2.13
Nifty500 Shariah,20-04-2026,6885.3,6899.15,6819.3,6864.5,-8.95,-.13,671818858,30948.47,28.52,4.71,1.38
Nifty Low Volatility 50,20-04-2026,24494.7,24530.65,24297.4,24443.35,1.55,.01,249206517,27885.37,29.89,4.95,1.23
Nifty Alpha 50,20-04-2026,51100.65,51424.15,50572.9,51129.4,99.5,.19,279431969,18575.89,27.39,4.29,.8
Nifty High Beta 50,20-04-2026,4047.7,4064.25,3990.35,4030.45,-15.3,-.38,892525381,19560.66,31.23,3.69,.9
Nifty100 Equal Weight,20-04-2026,33823.3,34014.4,33503.25,33825.55,34.6,.1,732073029,49613.93,22.51,3.72,1.3
Nifty100 Liquid 15,20-04-2026,7291.45,7349.95,7237.5,7307.75,25.3,.35,149305662,13718.82,23.39,3.46,.91
Nifty CPSE,20-04-2026,7362.05,7409.5,7295.75,7365.6,7.05,.1,104812824,2979.77,15.19,2.38,2.51
Nifty50 Value 20,20-04-2026,12663.8,12725.35,12599.95,12645.4,9.7,.08,178342933,13800.54,16.8,2.91,1.94
Nifty Midcap Liquid 15,20-04-2026,16061.1,16135,15865.85,15906.75,-104.75,-.65,577841083,6682.02,47.05,5.22,.54
Nifty Shariah 25,20-04-2026,7923.5,7938.85,7857.6,7896.15,-10.55,-.13,58147216,6636.57,27.67,4.95,1.77
India VIX,20-04-2026,17.205,19.01,16.48,18.79,1.59,9.21,-,-,-,-,-
Nifty Growth Sectors 15,20-04-2026,11183.8,11190.8,11098.25,11153.1,-13.35,-.12,24603632,6615.28,30.06,7.14,1.78
Nifty50 TR 1x Inverse,20-04-2026,175.95,177,175.3,176.15,0.0,0,-,-,-,-,-
Nifty50 TR 2x Leverage,20-04-2026,18723.1,18859.05,18494.7,18682.2,9.95,.05,-,-,-,-,-
Nifty50 PR 1x Inverse,20-04-2026,215.25,216.55,214.45,215.45,-0.05,-.02,-,-,-,-,-
Nifty50 PR 2x Leverage,20-04-2026,12483.2,12573.85,12330.95,12455.95,6.65,.05,-,-,-,-,-
NIFTY100 Quality 30,20-04-2026,5588.1,5600.05,5535.95,5569.6,-9.15,-.16,99080629,9515.55,30.14,7.56,1.85
Nifty India Corporate Group Index - Mahindra Group,20-04-2026,-,-,-,35091.62,133.06,.38,7933228,1384.83,25.12,4.41,1.41
Nifty India Corporate Group Index - Aditya Birla Group,20-04-2026,-,-,-,9128.86,-27.98,-.31,408343212,1700.15,85.73,3.14,.46
Nifty India Corporate Group Index - Tata Group,20-04-2026,-,-,-,15135.93,0.45,0,76011029,5008.81,32.45,5.86,1.87
Nifty India Corporate Group Index - Tata Group 25% Cap,20-04-2026,15016.75,15094.2,14893.65,15029.25,31.05,.21,64286898,4504.85,36.21,5.34,1.53
Nifty Private Bank,20-04-2026,27168.25,27230.85,26943.2,26995.4,-92.05,-.34,511372313,9878.74,18.85,2.15,.6
Nifty Smallcap 250,20-04-2026,16468.85,16490.25,16264.8,16379.5,-59.75,-.36,1075960083,28061.35,29.69,3.42,.72
Nifty Smallcap 50,20-04-2026,8565.35,8574.05,8448,8508.2,-44.75,-.52,196563267,6223.66,27.64,3.22,.72
