Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,06-04-2026,22780.3,22998.35,22542.95,22968.25,255.15,1.12,426416812,35893.16,20.18,3.14,1.35
Nifty Next 50,06-04-2026,62198.05,62932.35,61586.8,62858.95,901.35,1.45,428939553,16310.2,17.8,3.36,1.56
Nifty 100,06-04-2026,23376.9,23609.25,23159.75,23579.45,275.25,1.18,855356365,52203.36,19.72,3.17,1.39
Nifty 200,06-04-2026,12763.9,12901.9,12645.5,12886.4,158.4,1.24,2022519348,72625.47,21.38,3.34,1.27
Nifty 500,06-04-2026,20990.85,21217.95,20789.45,21194.05,255.7,1.22,3224175561,93992.58,21.93,3.34,1.21
Nifty Midcap 50,06-04-2026,15294.8,15525.1,15096.65,15507.2,236.7,1.55,432522964,12366.37,33.25,4.22,.69
NIFTY Midcap 100,06-04-2026,53757.95,54554.45,53068.55,54492.65,815.6,1.52,1167162983,20422.11,33.69,4.3,.75
NIFTY Smallcap 100,06-04-2026,15675.8,15868.65,15467.25,15853.05,202.55,1.29,709443608,11006.56,27.02,3.1,.76
Nifty50 Dividend Points,06-04-2026,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,06-04-2026,24151.95,24379.75,23896.45,24350.4,260.75,1.08,71403605,4195.31,28.79,4.17,1.31
Nifty Bank,06-04-2026,51747.6,52704.55,51111.1,52609.1,1060.35,2.06,355025586,10973.33,14,1.79,1.12
Nifty Energy,06-04-2026,35383.65,35445.9,34992.85,35388.75,89.35,.25,610271557,13565.14,14.67,2.28,1.91
Nifty Financial Services,06-04-2026,24101.75,24647.25,23867.75,24603.1,561.55,2.34,172790293,14574.76,16.05,2.62,.94
Nifty FMCG,06-04-2026,46291.45,46666.5,45901.5,46600.05,367.9,.8,39077541,2384.4,33.32,8.21,1.75
Nifty IT,06-04-2026,30490.4,30821.35,30444.05,30636.55,195.1,.64,44273781,3960.01,21.76,5.68,3.46
Nifty Media,06-04-2026,1305.6,1310,1289.65,1300.5,-2.85,-.22,27751180,474.21,27.4,1.37,1.35
Nifty Metal,06-04-2026,11431.4,11608.7,11366.1,11583.5,126.9,1.11,171739550,6055.56,19.64,3.01,1.72
Nifty MNC,06-04-2026,28410.3,28618.2,28197.75,28600.55,233.15,.82,56541697,4909,35.66,7.88,1.68
Nifty Pharma,06-04-2026,21779.75,21867.75,21464.8,21835.35,26.95,.12,20606462,2616.54,32.69,4.76,.72
Nifty PSU Bank,06-04-2026,8176.05,8338.65,8074.15,8323.95,189.55,2.33,170887228,4435.22,8.2,1.35,2.33
Nifty Realty,06-04-2026,672.05,689.1,663.4,687.1,15.0,2.23,20723998,1687.52,32.5,3.29,.43
Nifty India Consumption,06-04-2026,10572.9,10669.05,10487.9,10655.9,128.65,1.22,237862799,15733.76,35.54,7.19,1.05
Nifty Commodities,06-04-2026,9218.2,9300.3,9151.6,9291.7,74.9,.81,398678345,15125.16,15.61,2.21,1.78
Nifty Dividend Opportunities 50,06-04-2026,5778.45,5840.95,5750.5,5835.9,67.35,1.17,553974727,18058.41,13.97,2.77,2.93
Nifty Infrastructure,06-04-2026,8667.8,8677.75,8499.4,8668.7,38.6,.45,311802494,15210.65,19.92,2.89,1.06
Nifty PSE,06-04-2026,9690.75,9774.5,9598.7,9762.25,95.35,.99,244577937,5861.86,10.57,1.95,2.9
Nifty Services Sector,06-04-2026,29098.1,29503.25,28812.3,29461.3,481.85,1.66,283954296,22185.74,19.19,3.13,1.42
Nifty50 Shariah,06-04-2026,4199,4234.5,4185.45,4229.7,37.15,.89,76853204,8737.41,23.52,4.07,2.23
Nifty500 Shariah,06-04-2026,6346.6,6400.6,6301.75,6394.4,55.75,.88,593336186,29359.49,26.62,4.38,1.49
Nifty Low Volatility 50,06-04-2026,22835.4,23078.7,22658.85,23051.5,272.25,1.2,255745863,27574.58,28.21,4.67,1.31
