Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,20-03-2026,23110.15,23345.15,23067.6,23114.5,112.35,.49,663289390,50308.33,20.23,3.14,1.35
Nifty Next 50,20-03-2026,64035.75,64918.35,63744.65,63862.3,288.5,.45,347699906,13577.19,17.85,3.31,1.48
Nifty 100,20-03-2026,23773.25,24021.75,23725.05,23766.1,114.15,.48,1010989296,63885.52,19.78,3.17,1.37
Nifty 200,20-03-2026,12990.65,13129.2,12964.55,12985.4,66.75,.52,2363563316,89018.93,21.16,3.29,1.28
Nifty 500,20-03-2026,21349.95,21558,21294.85,21327.9,102.1,.48,3700506920,115395.22,21.64,3.31,1.22
Nifty Midcap 50,20-03-2026,15572.4,15759.05,15549.15,15572.6,114.6,.74,458029864,14460.66,30.03,4.15,.88
NIFTY Midcap 100,20-03-2026,54903.35,55560.35,54768.55,54855.5,363.2,.67,1352574020,25133.41,30.52,3.99,.88
NIFTY Smallcap 100,20-03-2026,15829.7,15929.1,15694.9,15718.6,14.35,.09,572331713,12296.75,28.01,3.4,.76
Nifty50 Dividend Points,20-03-2026,-,-,-,279.19,0.0,-,-,-,-,-,-
Nifty Auto,20-03-2026,24635.75,24955.55,24611.3,24715.9,206.0,.84,86715175,5724.3,29.22,4.24,1.28
Nifty Bank,20-03-2026,53548.2,54382.45,53297.55,53427.05,-23.95,-.04,403462742,17220.17,14.31,1.87,1.1
Nifty Energy,20-03-2026,35914.55,36500.3,35851.1,35908.3,268.95,.75,852155089,15889.37,15.07,2.33,1.9
Nifty Financial Services,20-03-2026,24997.15,25219.4,24721.25,24781.15,-170.65,-.68,264859787,22545.79,15.83,2.61,.93
Nifty FMCG,20-03-2026,47321.9,47688.45,46925.35,47007.55,145.6,.31,79110078,3902.16,33.9,8.33,1.75
Nifty IT,20-03-2026,28993,29322.4,28844.45,29199.6,620.0,2.17,69898939,7419,20.75,5.42,3.63
Nifty Media,20-03-2026,1323.1,1334.15,1300.8,1305.1,-6.35,-.48,50332531,714.8,27.39,1.37,1.35
Nifty Metal,20-03-2026,11295.55,11583.2,11291.35,11412.75,163.4,1.45,219205097,8151.05,19.36,2.97,1.61
Nifty MNC,20-03-2026,28908.65,29159.55,28825,28875.0,201.7,.7,83669993,6838.59,35.72,8.29,1.56
Nifty Pharma,20-03-2026,22277.95,22628.55,22268.5,22540.7,439.05,1.99,32703457,3447.61,33.73,4.91,.7
Nifty PSU Bank,20-03-2026,8496.95,8731.45,8496.95,8584.6,174.3,2.07,192611962,3966.01,8.52,1.4,2.23
Nifty Realty,20-03-2026,707.65,717.1,694.9,696.4,-6.55,-.93,12735204,1066.78,31.37,3.37,.43
Nifty India Consumption,20-03-2026,10658.4,10797.5,10654.3,10671.65,79.95,.75,232489073,15576.17,35.67,7.17,1.04
Nifty Commodities,20-03-2026,9330.6,9515.35,9329.8,9390.5,119.1,1.28,404254654,16596.44,15.78,2.23,1.72
Nifty Dividend Opportunities 50,20-03-2026,5829.35,5903.3,5813.15,5833.8,62.05,1.08,694993512,28418.67,13.4,2.7,2.95
Nifty Infrastructure,20-03-2026,8782.85,8904.2,8782.7,8800.15,83.6,.96,391870756,17708.12,19.89,2.88,1.06
Nifty PSE,20-03-2026,9881.9,10060.4,9862.4,9882.0,59.9,.61,335536822,8999.31,10.72,1.98,2.94
Nifty Services Sector,20-03-2026,29563.6,29837,29410.5,29475.65,0.2,0,478493165,35479.3,19.07,3.11,1.43
