Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,24-10-2022,17736.35,17777.55,17707.4,17730.75,154.45,.88,45029477,3772.49,21.26,4.17,1.28
Nifty Next 50,24-10-2022,42215.75,42220.05,41843.5,41912.0,134.45,.32,34928291,993.76,21.73,4.58,2.01
Nifty 100,24-10-2022,17973.75,18008.5,17926.95,17951.3,142.5,.8,79957768,4766.25,21.86,4.31,1.33
Nifty 200,24-10-2022,9405.55,9420.25,9376.1,9388.35,71.0,.76,241004423,6451.42,21.97,4.06,1.33
Nifty 500,24-10-2022,15225.45,15248.05,15179.15,15198.75,117.65,.78,396649174,8510.37,22.07,4,1.3
Nifty Midcap 50,24-10-2022,8560.35,8560.5,8486.45,8496.7,38.8,.46,93219361,1021.21,21.89,2.55,1.51
NIFTY Midcap 100,24-10-2022,31024.3,31024.65,30812.6,30845.2,153.35,.5,161046655,1685.17,22.77,2.9,1.31
NIFTY Smallcap 100,24-10-2022,9770.6,9787.3,9726.8,9743.05,89.55,.93,107483619,1212.81,17.23,2.97,1.15
Nifty50 Dividend Points,24-10-2022,-,-,-,161.97,0.0,-,-,-,-,-,-
Nifty Auto,24-10-2022,12827.45,12856.3,12775.8,12794.65,99.0,.78,7869470,364.11,47.64,4.94,1.03
Nifty Bank,24-10-2022,41348.35,41427.25,41201.15,41304.9,520.85,1.28,74340462,1703.69,18.76,2.72,.68
Nifty Energy,24-10-2022,26044.15,26234.15,26008.6,26056.25,148.7,.57,13349686,606.17,13.05,2.32,2.72
Nifty Financial Services,24-10-2022,18442.5,18476.7,18393.95,18424.75,230.65,1.27,19131760,1673.37,19.64,3.57,.78
Nifty FMCG,24-10-2022,44372.9,44471.25,44090.5,44210.1,-59.1,-.13,5375328,519.25,42.66,10.76,1.78
Nifty IT,24-10-2022,28632.85,28663.65,28504.55,28534.3,197.4,.7,3825496,438.14,25.72,7.96,2.13
Nifty Media,24-10-2022,2083.05,2087.95,2065.65,2070.4,6.85,.33,6333815,73.38,-,3.29,.77
