Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,01-01-2026,26173.3,26197.55,26113.4,26146.55,16.95,.06,425631910,23454.66,22.76,3.56,1.28
Nifty Next 50,01-01-2026,69523.15,69722.15,69276.8,69675.4,310.9,.45,216114798,7311.28,20.27,3.62,1.41
Nifty 100,01-01-2026,26736.55,26764.25,26674.1,26723.25,33.95,.13,641746708,30765.95,22.32,3.57,1.3
Nifty 200,01-01-2026,14560.7,14571.25,14518.4,14560.25,26.75,.18,3987031128,47016.89,23.81,3.7,1.21
Nifty 500,01-01-2026,23914.65,23925.55,23835.55,23909.55,38.0,.16,4549066214,61090.24,24.49,3.72,1.15
Nifty Midcap 50,01-01-2026,17288.9,17355,17195.8,17342.7,88.65,.51,187092731,6994.59,33.89,4.62,.79
NIFTY Midcap 100,01-01-2026,60625.15,60782.25,60292.75,60750.45,265.95,.44,3345284420,16250.94,33.99,4.41,.79
NIFTY Smallcap 100,01-01-2026,17745.8,17749.9,17606.6,17704.9,-9.05,-.05,259566287,6745.83,32.17,3.83,.75
Nifty50 Dividend Points,01-01-2026,-,-,-,249.14,0.0,-,-,-,-,-,-
Nifty Auto,01-01-2026,28257.65,28503.45,28248.5,28480.55,290.95,1.03,51704193,2818.1,30.93,4.88,1.1
Nifty Bank,01-01-2026,59674.8,59743.2,59569.65,59711.55,129.7,.22,110131396,3648.95,16.44,2.19,.98
Nifty Energy,01-01-2026,35376.65,35613.75,35353.35,35507.65,182.0,.52,292569683,6293.87,15.21,2.31,2.3
Nifty Financial Services,01-01-2026,27662.15,27680.6,27574.35,27666.8,53.5,.19,60288297,5133.16,17.92,2.91,.84
Nifty FMCG,01-01-2026,55538.45,55552.9,53478.7,53718.5,-1757.15,-3.17,291601241,11656.15,39.45,9.69,2.06
Nifty IT,01-01-2026,37931.55,38256.95,37862.6,38171.5,287.45,.76,11215449,1651.31,26.86,7.09,2.93
Nifty Media,01-01-2026,1447.45,1462,1444.45,1448.45,3.75,.26,20452691,295.17,59.3,1.52,1.29
Nifty Metal,01-01-2026,11177.25,11269.2,11152.25,11256.0,88.35,.79,122017602,4747.37,20.07,2.93,1.62
Nifty MNC,01-01-2026,30594.95,30673.75,30490.35,30634.7,66.6,.22,38671052,2366.1,37.19,8.89,1.49
Nifty Pharma,01-01-2026,22735.3,22742.7,22546.05,22632.75,-90.9,-.4,9252354,1118.8,33.44,4.9,.68
Nifty PSU Bank,01-01-2026,8545.6,8609.05,8512.25,8571.45,38.3,.45,101684527,1612.58,8.79,1.4,2.18
