Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,20-01-2026,25580.3,25585,25171.35,25232.5,-353.0,-1.38,409772324,31020.36,21.91,3.43,1.31
Nifty Next 50,20-01-2026,68642.85,68748.75,66923.15,67110.9,-1583.0,-2.3,322540980,15155.8,19.52,3.49,1.46
Nifty 100,20-01-2026,26174.3,26182.3,25719.25,25780.95,-401.0,-1.53,732313304,46176.16,21.48,3.44,1.33
Nifty 200,20-01-2026,14266.6,14268.35,13988.5,14023.95,-247.0,-1.73,2065041447,65507.54,22.86,3.56,1.24
Nifty 500,20-01-2026,23365.65,23368.15,22888.65,22946.65,-427.1,-1.83,3041011603,87191.3,23.43,3.57,1.18
Nifty Midcap 50,20-01-2026,17097.25,17097.3,16582.6,16635.8,-467.2,-2.73,401185938,11387.88,32.36,4.43,.82
NIFTY Midcap 100,20-01-2026,59626.4,59634.6,57898.65,58085.35,-1562.3,-2.62,1332728143,19331.39,32.21,4.22,.82
NIFTY Smallcap 100,20-01-2026,17185.8,17186.2,16660.55,16701.05,-489.65,-2.85,571277822,12735.39,30.31,3.61,.75
Nifty50 Dividend Points,20-01-2026,-,-,-,264.68,0.0,-,-,-,-,-,-
Nifty Auto,20-01-2026,27635.7,27751.15,26850.05,26948.1,-684.35,-2.48,52867297,3507.11,29.27,4.62,1.17
Nifty Bank,20-01-2026,59851.4,59993.5,59283.95,59404.2,-487.15,-.81,396050764,11324.6,16.23,2.18,.99
Nifty Energy,20-01-2026,34097.6,34156.8,33284.7,33360.0,-756.8,-2.22,342219464,7385.49,14.29,2.17,2.44
Nifty Financial Services,20-01-2026,27525.55,27526.35,27136.5,27200.6,-318.35,-1.16,151699710,12991.92,17.54,2.87,.86
Nifty FMCG,20-01-2026,52586.15,52616.85,51595.65,51713.0,-776.95,-1.48,35714472,2597.28,37.98,9.33,2.14
Nifty IT,20-01-2026,38753.2,38809,38023.85,38101.05,-801.45,-2.06,35555019,5262.21,27.17,7.08,2.77
Nifty Media,20-01-2026,1385.95,1389.4,1355,1360.4,-24.2,-1.75,34112828,904.32,29.4,1.43,1.37
Nifty Metal,20-01-2026,11614.45,11692.55,11347.95,11374.45,-218.6,-1.89,179383644,8614.95,20.28,2.96,1.61
Nifty MNC,20-01-2026,30568.9,30594.55,29943,30024.45,-531.75,-1.74,47621924,4684.77,36.45,8.71,1.52
Nifty Pharma,20-01-2026,22128.45,22130.4,21668.6,21714.3,-421.95,-1.91,29817433,3112.94,32.06,4.7,.71
Nifty PSU Bank,20-01-2026,8994.05,9093.65,8847.45,8868.85,-117.85,-1.31,182814727,3226.55,9.03,1.45,2.16
Nifty Realty,20-01-2026,834.25,834.25,789.7,793.9,-42.1,-5.04,21206075,2238.09,36.61,3.84,.37
Nifty India Consumption,20-01-2026,11935.4,11936.7,11625.4,11666.3,-258.5,-2.17,166064638,11965.65,38.7,7.88,1.11
Nifty Commodities,20-01-2026,9537,9575.85,9320.95,9341.75,-192.85,-2.02,167798612,8246.39,16.44,2.22,1.83
Nifty Dividend Opportunities 50,20-01-2026,6405.55,6417.15,6286.2,6298.7,-108.05,-1.69,426562244,17827.95,14.84,2.93,2.99
Nifty Infrastructure,20-01-2026,9163.75,9167.15,8974.15,9003.25,-165.5,-1.81,204305914,9737.49,20.29,2.95,1.15
Nifty PSE,20-01-2026,9871.85,9879.45,9633.7,9662.5,-211.75,-2.14,214240617,6008.66,11.02,1.94,3.27
Nifty Services Sector,20-01-2026,33423.05,33426.8,32959.7,33048.15,-384.2,-1.15,291833530,21381.65,21.08,3.48,1.3
Nifty50 Shariah,20-01-2026,4856.45,4861,4770.65,4779.75,-83.65,-1.72,57489099,7563.63,25.06,4.6,2.04
Nifty500 Shariah,20-01-2026,7080.75,7083.45,6921.55,6937.45,-152.65,-2.15,658969356,28803.17,27.43,4.69,1.45
Nifty Low Volatility 50,20-01-2026,25424.5,25430.05,24953.9,25005.2,-407.65,-1.6,203012915,23647.86,30.71,5.04,1.24
Nifty Alpha 50,20-01-2026,49825.55,49828.25,48371.45,48522.2,-1227.9,-2.47,223308609,15420.77,31.32,4.19,.6
Nifty High Beta 50,20-01-2026,3883.6,3884.65,3754.1,3767.05,-114.85,-2.96,1147851383,15474.96,23.24,2.92,1.13
Nifty100 Equal Weight,20-01-2026,33561.9,33573.55,32781.95,32861.05,-707.7,-2.11,732313304,46176.16,22.12,3.65,1.36
Nifty100 Liquid 15,20-01-2026,7402.65,7404.45,7242.35,7268.0,-123.3,-1.67,225656171,12360.28,22.41,3.28,.9
Nifty CPSE,20-01-2026,6488.6,6508.55,6360.5,6378.7,-110.15,-1.7,106758919,2964.16,13.3,2.04,3.18
Nifty50 Value 20,20-01-2026,13274.6,13296.95,13098.2,13121.05,-164.3,-1.24,155224735,12101.88,17.2,3.03,2.04
Nifty Midcap Liquid 15,20-01-2026,15840.4,15866.55,15399,15447.25,-397.5,-2.51,268694987,5008.21,35.28,4.39,.64
Nifty Shariah 25,20-01-2026,8423.5,8430.6,8255.7,8274.1,-160.05,-1.9,49795669,8302.29,29.24,5.24,1.82
India VIX,20-01-2026,11.8275,12.9025,10.995,12.73,0.9,7.63,-,-,-,-,-
Nifty Growth Sectors 15,20-01-2026,12441.1,12466.5,12171.05,12199.45,-252.3,-2.03,42863553,7150.21,31.87,7.26,1.73
Nifty50 TR 1x Inverse,20-01-2026,167.5,170.2,167.5,169.8,2.35,1.4,-,-,-,-,-
Nifty50 TR 2x Leverage,20-01-2026,21040.6,21044.75,20371.65,20468.25,-583.95,-2.77,-,-,-,-,-
Nifty50 PR 1x Inverse,20-01-2026,204.85,208.1,204.85,207.65,2.85,1.39,-,-,-,-,-
Nifty50 PR 2x Leverage,20-01-2026,14044.25,14047.05,13597.75,13662.2,-389.8,-2.77,-,-,-,-,-
NIFTY100 Quality 30,20-01-2026,5864.8,5865.65,5736,5750.15,-117.35,-2,160362339,14820.24,31.67,7.91,1.85
Nifty India Corporate Group Index - Mahindra Group,20-01-2026,-,-,-,38729.57,-1037.44,-2.61,5690183,1051.61,29.42,4.86,1.27
Nifty India Corporate Group Index - Tata Group,20-01-2026,-,-,-,15720.83,-323.56,-2.02,69648328,4250.72,30.82,5.85,1.93
Nifty India Corporate Group Index - Aditya Birla Group,20-01-2026,-,-,-,9007.79,-210.5,-2.28,850567459,2768.87,86.65,3.1,.47
Nifty Conglomerate 50,20-01-2026,-,-,-,14351.07,-342.93,-2.33,894906359,14529.32,28.02,3.79,1.02
Nifty India Infrastructure & Logistics,20-01-2026,10985.95,10992.8,10686.9,10721.95,-266.7,-2.43,1227088179,16926.36,28.52,3.83,.92
Nifty India FPI 150,20-01-2026,1591.55,1591.8,1557.75,1561.95,-30.15,-1.89,1051153099,53876.06,23.99,3.79,1.25
Nifty Waves,20-01-2026,2000.3,2005.2,1944.4,1950.9,-47.9,-2.4,45484392,928.59,-,2.34,.74
Nifty500 Healthcare,20-01-2026,18205.35,18205.4,17811.6,17845.0,-373.0,-2.05,44018299,4716,36.37,5.37,.57
Nifty India Corporate Group Index - Tata Group 25% Cap,20-01-2026,15095.45,15114.55,14742.8,14773.45,-322.65,-2.14,47486747,3598.89,32.43,4.68,1.52
Nifty Private Bank,20-01-2026,28652.3,28679.85,28348.75,28405.15,-274.25,-.96,298528270,8953.89,19.72,2.24,.55
Nifty Smallcap 250,20-01-2026,16017,16018.2,15557.55,15595.2,-428.85,-2.68,894346264,18910.33,27.32,3.33,.75
Nifty Smallcap 50,20-01-2026,8430.6,8430.9,8169.85,8192.45,-233.9,-2.78,165712975,5931.28,30.16,3.63,.77
Nifty Midcap 150,20-01-2026,21867.55,21869.65,21265,21334.6,-543.85,-2.49,1414352035,22104.81,31.87,4.31,.83
Nifty Midcap Select,20-01-2026,13656.65,13658.5,13261.45,13307.9,-347.3,-2.54,313669657,7334.7,28.09,4.39,.84
NIFTY LargeMidcap 250,20-01-2026,16537.45,16538.75,16165.95,16211.65,-332.35,-2.01,2146665339,68280.96,25.64,3.82,1.08
NIFTY SME EMERGE,20-01-2026,13460.45,13469.1,13035.8,13044.15,-403.1,-3,-,-,24.65,3.66,.25
Nifty Oil & Gas,20-01-2026,11555.05,11578.3,11342.2,11372.25,-192.5,-1.66,58739953,3059.57,10.53,1.57,2.99
Nifty Financial Services 25/50,20-01-2026,30089.8,30091.2,29660.8,29733.9,-365.15,-1.21,151699710,12991.92,17.46,3,.94
Nifty Healthcare Index,20-01-2026,14289.75,14289.75,13963.8,13993.65,-306.7,-2.14,35847990,3889.49,35.1,5.22,.6
Nifty500 Multicap 50:25:25,20-01-2026,16085.35,16086.55,15720.8,15761.05,-330.45,-2.05,3041011603,87191.3,24.8,3.59,1.07
