Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,12-03-2026,23674.85,23833.15,23556.3,23639.15,-227.7,-.95,501004098,40147.62,20.68,3.21,1.32
Nifty Next 50,12-03-2026,66119,66815.25,65299,66424.55,-74.1,-.11,360693958,15271.38,18.56,3.44,1.42
Nifty 100,12-03-2026,24386.55,24564.7,24235.7,24375.1,-199.45,-.81,861698056,55419,20.29,3.25,1.34
Nifty 200,12-03-2026,13318.05,13420.9,13217.65,13317.8,-97.9,-.73,2112762567,79805.89,21.7,3.38,1.25
Nifty 500,12-03-2026,21888.4,22059.6,21703.9,21897.5,-144.8,-.66,3026504909,103260.8,22.21,3.4,1.19
Nifty Midcap 50,12-03-2026,15896.4,16047.3,15684.4,15922.2,-69.45,-.43,429198000,12830.78,30.7,4.24,.86
NIFTY Midcap 100,12-03-2026,56142.5,56684.3,55378.65,56253.75,-207.35,-.37,1251064511,24386.89,31.3,4.09,.86
NIFTY Smallcap 100,12-03-2026,16337.15,16423.05,16097.45,16305.25,-109.6,-.67,466069476,11230.26,29.06,3.52,.78
Nifty50 Dividend Points,12-03-2026,-,-,-,279.19,0.0,-,-,-,-,-,-
Nifty Auto,12-03-2026,25688.3,25721.3,25046,25098.0,-828.0,-3.19,95147941,7193.15,29.67,4.3,1.26
Nifty Bank,12-03-2026,55008.2,55636.95,54760.55,55100.95,-634.8,-1.14,311267722,12408.63,14.76,1.92,1.06
Nifty Energy,12-03-2026,36077.05,37007.1,35838.8,36834.35,695.85,1.93,770320698,19959.56,15.46,2.39,1.86
Nifty Financial Services,12-03-2026,25593.9,25925.75,25512.25,25663.2,-257.6,-.99,193208964,16013.15,16.39,2.7,.9
Nifty FMCG,12-03-2026,48909.8,48929,48036.5,48189.15,-870.55,-1.77,57312990,4048.32,34.76,8.63,1.71
Nifty IT,12-03-2026,29587.05,29790.8,29322.8,29579.45,-72.25,-.24,40580529,3773.48,21.02,5.49,3.58
Nifty Media,12-03-2026,1338.1,1357.4,1313.05,1349.15,4.4,.33,25945218,330.71,28.32,1.42,1.37
Nifty Metal,12-03-2026,11833.75,11917.5,11580.9,11863.9,41.8,.35,110739534,4567.67,20.12,3.09,1.55
Nifty MNC,12-03-2026,30166.3,30166.55,29628.25,29906.0,-304.9,-1.01,72286455,5873.91,37,8.59,1.55
Nifty Pharma,12-03-2026,23299.7,23388,23083.2,23275.2,-72.85,-.31,24567729,2677.09,34.83,5.07,.68
Nifty PSU Bank,12-03-2026,8745.85,8953.3,8659.3,8846.05,-2.35,-.03,114545446,2876.93,8.78,1.45,2.17
Nifty Realty,12-03-2026,727.2,731.25,714.2,719.5,-11.9,-1.63,8816981,723.79,32.41,3.48,.41
Nifty India Consumption,12-03-2026,10842.9,10854.2,10720.8,10755.1,-173.5,-1.59,269154193,19213,35.95,7.25,1.04
Nifty Commodities,12-03-2026,9538.85,9685.5,9431.15,9637.3,73.75,.77,365812193,15351.77,16.19,2.29,1.67
