Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,13-02-2026,25571.15,25630.35,25444.3,25471.1,-336.1,-1.3,453523192,40137.15,22.24,3.46,1.21
Nifty Next 50,13-02-2026,69374.65,69381.8,68485.5,68826.75,-1089.35,-1.56,217757583,10822.74,19.35,3.57,1.33
Nifty 100,13-02-2026,26212.25,26252.8,26063.75,26092.4,-355.65,-1.34,671280775,50959.89,21.71,3.48,1.23
Nifty 200,13-02-2026,14298.95,14313.25,14205.75,14221.9,-203.6,-1.41,1507331486,74336,23.12,3.61,1.16
Nifty 500,13-02-2026,23448.7,23464.05,23285,23313.15,-338.4,-1.43,2227481447,94711.1,23.6,3.62,1.11
Nifty Midcap 50,13-02-2026,17095.9,17104.35,16880.45,16960.45,-291.05,-1.69,317479573,16442.48,32.91,4.52,.82
NIFTY Midcap 100,13-02-2026,59978.45,59981,59194.25,59438.0,-1032.85,-1.71,836050711,23376.11,32.55,4.32,.82
NIFTY Smallcap 100,13-02-2026,17193.65,17196.35,16951.9,17032.9,-311.2,-1.79,273789078,8068.99,30.27,3.68,.76
Nifty50 Dividend Points,13-02-2026,-,-,-,274.43,0.0,-,-,-,-,-,-
Nifty Auto,13-02-2026,28305.55,28503.15,28161.25,28234.3,-269.75,-.95,73940245,4678.27,33.41,4.84,1.12
Nifty Bank,13-02-2026,60504.4,60621.9,60073.55,60186.65,-553.1,-.91,236603159,11648.08,16.2,2.15,.97
Nifty Energy,13-02-2026,36154,36168.55,35678.1,35709.9,-742.75,-2.04,309013062,7621.26,15.09,2.32,1.74
Nifty Financial Services,13-02-2026,28261.75,28335.85,28085.5,28126.35,-258.85,-.91,181198945,18259.93,18,2.96,.83
Nifty FMCG,13-02-2026,51690.05,51690.05,50811.85,50902.15,-983.6,-1.9,24399614,1964.85,36.37,9.13,1.61
Nifty IT,13-02-2026,31487.4,32932.75,31422.6,32681.5,-478.7,-1.44,112452271,15473.09,23.22,6.06,3.24
Nifty Media,13-02-2026,1461.75,1486.45,1446.65,1462.8,-11.25,-.76,45229715,610.5,30.7,1.54,1.32
Nifty Metal,13-02-2026,12073.9,12086.5,11841.25,11872.8,-406.4,-3.31,145221042,5863.47,19.63,3.09,1.59
Nifty MNC,13-02-2026,31211.4,31211.4,30751.8,30800.1,-622.25,-1.98,59224471,5024.82,38.38,8.85,1.54
Nifty Pharma,13-02-2026,22325.9,22408.5,22134,22194.9,-191.4,-.85,21636092,2567.13,33.5,4.84,.67
Nifty PSU Bank,13-02-2026,9180.45,9198.5,9122.55,9166.5,-62.95,-.68,94833595,3195.79,9.09,1.5,2.09
Nifty Realty,13-02-2026,831.3,831.3,811.2,823.6,-18.75,-2.23,15607730,1609.59,37.1,3.98,.36
Nifty India Consumption,13-02-2026,11918.55,11932.7,11759.7,11781.65,-194.85,-1.63,135172416,9693.48,39.36,7.95,.94
Nifty Commodities,13-02-2026,9920.75,9924.2,9780.85,9795.95,-223.95,-2.24,218104155,9037.24,16.36,2.33,1.54
Nifty Dividend Opportunities 50,13-02-2026,6243.8,6289.3,6211,6257.1,-102.7,-1.61,440407956,24636.55,14.38,2.9,2.73
Nifty Infrastructure,13-02-2026,9631.45,9646.4,9528,9542.5,-120.8,-1.25,213908222,10265.75,21.7,3.13,.97
Nifty PSE,13-02-2026,10286.4,10289.65,10159.1,10174.8,-173.7,-1.68,203493610,6617.85,11.05,2.04,2.7
Nifty Services Sector,13-02-2026,33028.95,33165,32998.7,33037.0,-372.4,-1.11,345064097,31487.79,21.38,3.48,1.27
Nifty50 Shariah,13-02-2026,4461.8,4536.95,4440.15,4507.65,-82.0,-1.79,129041548,15470.43,24.93,4.34,2.08
Nifty500 Shariah,13-02-2026,6866.4,6918.7,6805.4,6875.9,-107.65,-1.54,558095506,35183.75,27.41,4.64,1.39
Nifty Low Volatility 50,13-02-2026,25259.25,25288.85,25119.6,25152.85,-274.7,-1.08,265065098,31243.36,30.46,5.06,1.17
Nifty Alpha 50,13-02-2026,50976.55,50979.8,50184.1,50272.85,-1078.8,-2.1,208849870,17421.67,31.55,4.35,.6
Nifty High Beta 50,13-02-2026,3884.6,3884.65,3812.3,3830.5,-90.1,-2.3,717603198,16155.58,23.13,2.97,1.14
Nifty100 Equal Weight,13-02-2026,33933.55,33941.65,33606.7,33705.55,-499.25,-1.46,671280775,50959.89,22.56,3.74,1.23
Nifty100 Liquid 15,13-02-2026,7732.5,7752.25,7662.25,7674.9,-77.35,-1,199725517,12793.81,24.6,3.47,.84
Nifty CPSE,13-02-2026,6903.3,6911.55,6795.2,6806.45,-152.85,-2.2,94561124,2658.58,14.06,2.18,2.53
Nifty50 Value 20,13-02-2026,12901.9,13016.5,12872.1,12975.9,-155.1,-1.18,237014090,21157.86,17.21,2.99,1.85
Nifty Midcap Liquid 15,13-02-2026,15743.65,15774.4,15563.85,15667.2,-262.3,-1.65,158691684,6928.87,37.5,4.45,.68
Nifty Shariah 25,13-02-2026,7996.6,8052.1,7942.95,7999.55,-131.0,-1.61,83035008,11972.43,28.73,5.06,1.72
India VIX,13-02-2026,11.725,13.5825,10.9625,13.29,1.57,13.37,-,-,-,-,-
Nifty Growth Sectors 15,13-02-2026,11521.55,11697.1,11504.65,11604.7,-184.2,-1.56,92237488,13623.51,29.75,6.9,1.83
Nifty50 TR 1x Inverse,13-02-2026,167.75,168.55,167.4,168.4,2.2,1.32,-,-,-,-,-
Nifty50 TR 2x Leverage,13-02-2026,20939,21028.15,20731.45,20773.55,-558.5,-2.62,-,-,-,-,-
Nifty50 PR 1x Inverse,13-02-2026,205.2,206.2,204.8,206.0,2.7,1.33,-,-,-,-,-
Nifty50 PR 2x Leverage,13-02-2026,13965.9,14025.35,13827.45,13855.55,-372.5,-2.62,-,-,-,-,-
NIFTY100 Quality 30,13-02-2026,5603.6,5646.65,5574.85,5599.75,-83.0,-1.46,153306521,18776.29,30.36,7.69,1.78
Nifty200 Alpha 30,13-02-2026,25676.75,25677,25330.35,25371.15,-470.6,-1.82,144300426,13893.3,28.99,4.74,.67
Nifty Midcap150 Momentum 50,13-02-2026,62757.95,62758.2,61734.5,61829.15,-1447.6,-2.29,510133765,13187.1,32.75,5.05,.82
Nifty Smallcap250 Quality 50,13-02-2026,24552.8,24576.55,24259.55,24384.65,-358.85,-1.45,199620317,5309.23,23.51,4.97,1.79
Nifty Smallcap250 Momentum Quality 100,13-02-2026,42593.75,42607.75,41961.9,42157.7,-768.2,-1.79,270650933,9942.75,27.32,4.65,.96
Nifty MidSmallcap400 Momentum Quality 100,13-02-2026,47586.5,47595.7,46922.75,47056.4,-1042.35,-2.17,255751788,18906.53,28.41,6.04,1.03
Nifty500 Momentum 50,13-02-2026,52811.35,52831.4,52252.3,52347.45,-902.45,-1.69,143031666,16082.21,29.42,4.87,.72
Nifty Top 10 Equal Weight,13-02-2026,9365.55,9416.65,9354.85,9380.35,-111.4,-1.17,173757985,20688.84,20.44,3.47,1.32
Nifty500 Multicap Momentum Quality 50,13-02-2026,41253.75,41294,40786.05,40851.0,-840.85,-2.02,123440152,14942.2,33.25,7.91,1.1
Nifty Top 15 Equal Weight,13-02-2026,10646.9,10694.05,10638.7,10654.4,-106.95,-.99,218145641,26602.71,21.67,3.77,1.23
Nifty Top 20 Equal Weight,13-02-2026,9435.5,9471.9,9398.65,9414.0,-119.3,-1.25,290183205,30021.03,25.4,3.73,1.23
Nifty500 Quality 50,13-02-2026,18580.8,18601,18390.55,18458.6,-349.0,-1.86,189582458,12228.81,29.61,9.92,1.63
Nifty500 Low Volatility 50,13-02-2026,22793.95,22917,22722.8,22778.85,-225.9,-.98,165919382,14966.39,24.34,4.58,1.61
NIFTY100 ESG,13-02-2026,5103.55,5114,5072.4,5090.35,-68.6,-1.33,597383960,45232.46,22.96,3.97,1.29
NIFTY100 Enhanced ESG,13-02-2026,5142.95,5154,5112,5130.0,-68.6,-1.32,580213455,44009.28,23,3.98,1.29
NIFTY500 Value 50,13-02-2026,16417.8,16419.35,16235.1,16265.25,-319.9,-1.93,405455141,11899.87,9.91,1.56,2.42
NIFTY100 Alpha 30,13-02-2026,18308.15,18320.15,18152.75,18185.45,-206.3,-1.12,228097639,16535.88,27.92,5.27,.73
Nifty500 Multifactor MQVLv 50,13-02-2026,31886.85,31895.1,31540.1,31581.4,-538.45,-1.68,192841787,15029.96,14.83,2.9,1.95
NIFTY Alpha Low-Volatility 30,13-02-2026,27306.7,27345.55,27145.9,27181.3,-174.6,-.64,162198114,18425.52,32.23,4.81,.68
NIFTY50 Equal Weight,13-02-2026,33339.4,33372.4,33117.25,33166.0,-450.8,-1.34,453523192,40137.15,25.05,3.77,1.27
Nifty500 Equal Weight,13-02-2026,13908.8,13909.2,13732.9,13798.25,-211.9,-1.51,2227481447,94711.1,25.29,3.59,.92
Nifty 50 Futures Index,13-02-2026,-,-,-,6432.53,-85.55,-1.31,-,-,-,-,-
Nifty 50 Arbitrage,13-02-2026,-,-,-,2635.56,0.31,.01,-,-,-,-,-
Nifty 50 Futures TR Index,13-02-2026,-,-,-,27227.04,-357.55,-1.3,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,13-02-2026,-,-,-,38000.96,-590.65,-1.53,10562950,1840.61,27.21,4.77,1.3
Nifty India Corporate Group Index - Aditya Birla Group,13-02-2026,-,-,-,9396.23,-193.79,-2.02,388942144,2067.84,77.52,3.23,.45
Nifty India Corporate Group Index - Tata Group,13-02-2026,-,-,-,15261.9,-292.65,-1.88,70854072,5702.31,31.9,5.68,1.98
Nifty India Corporate Group Index - Tata Group 25% Cap,13-02-2026,15028.05,15148.7,14926.4,15018.4,-277.35,-1.81,63599815,5374.32,37,4.75,1.5
Nifty Private Bank,13-02-2026,28905.45,29008.45,28630.7,28691.8,-295.25,-1.02,181019735,8782.23,20.09,2.26,.54
Nifty Smallcap 250,13-02-2026,16124.3,16128.45,15912.05,15988.3,-261.85,-1.61,648281556,17422.61,26.28,3.41,.75
