Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty Total Market Momentum Quality 50,04-03-2026,41161.45,41211.95,40533.8,40812.0,-921.35,-2.21,165913985,15028.53,30.47,7.38,1.05
Nifty500 Flexicap Quality 30,04-03-2026,9590.6,9625.7,9516.25,9559.2,-134.2,-1.38,123300754,12035.84,29.66,6.46,1.91
Nifty100 Low Volatility 30,04-03-2026,19929.15,20028.15,19819.4,19933.45,-346.75,-1.71,240607806,30634.43,27.58,4.91,1.29
NIFTY Quality Low-Volatility 30,04-03-2026,16423.85,16505.1,16390,16421.45,-244.8,-1.47,169140186,17629.84,27.1,5.96,1.78
NIFTY Alpha Quality Low-Volatility 30,04-03-2026,22178.95,22230.7,22010.05,22071.7,-406.45,-1.81,135567899,14145.92,32.26,7.6,1.51
NIFTY Alpha Quality Value Low-Volatility 30,04-03-2026,20170.65,20246.2,20099.2,20149.1,-305.45,-1.49,274753820,24426.52,21.97,4.56,1.91
NIFTY200 Quality 30,04-03-2026,19732.6,19794.6,19604.5,19649.9,-293.3,-1.47,130270782,13400.47,30.14,9.67,2.03
NIFTY Midcap150 Quality 50,04-03-2026,22718.95,22748.85,22447.45,22534.65,-523.0,-2.27,122392452,7495.52,30.98,7.41,1.47
Nifty200 Momentum 30,04-03-2026,30348.05,30352.4,29818.6,30112.95,-732.65,-2.38,198099034,17574.5,25.74,4.44,.85
Nifty India Manufacturing,04-03-2026,15369.4,15387.05,15127.65,15214.8,-391.4,-2.51,422984754,27803.22,27.63,4.32,1.01
Nifty100 ESG Sector Leaders,04-03-2026,4022.5,4057.3,4009.05,4036.6,-63.9,-1.56,562025165,40985.97,21.6,3.46,1.29
Nifty200 Alpha 30,04-03-2026,24746.65,24748.9,24194.6,24444.85,-671.45,-2.67,207264122,18807.28,27.61,4.57,.69
Nifty Midcap150 Momentum 50,04-03-2026,59874,59944.65,58824.9,59358.95,-1423.2,-2.34,689634951,11509.02,31,4.84,.83
Nifty Smallcap250 Quality 50,04-03-2026,23259.4,23294.3,23027.15,23156.15,-447.0,-1.89,66746088,2864.77,22.3,4.72,1.84
Nifty Smallcap250 Momentum Quality 100,04-03-2026,40462.35,40488.05,39795.5,40046.8,-1013.8,-2.47,175282832,9732.09,25.99,4.42,.99
Nifty MidSmallcap400 Momentum Quality 100,04-03-2026,45643.35,45716.05,44936.3,45280.95,-1032.65,-2.23,311941266,16793.76,27.07,5.81,1.03
Nifty500 Momentum 50,04-03-2026,50697.85,50723.45,49843.8,50312.45,-1183.55,-2.3,196978751,20154.8,28.4,4.68,.74
Nifty Top 10 Equal Weight,04-03-2026,8974.25,9086.85,8945.55,9041.85,-99.6,-1.09,187560373,22445.01,19.7,3.35,1.37
Nifty500 Multicap Momentum Quality 50,04-03-2026,39464.1,39505.8,38909.8,39202.7,-815.0,-2.04,182159359,15568.27,31.54,7.59,1.1
Nifty Top 15 Equal Weight,04-03-2026,10178.8,10259.5,10133.1,10209.25,-152.15,-1.47,218276049,27986.54,20.8,3.61,1.29
Nifty Top 20 Equal Weight,04-03-2026,8976.5,9040,8937.15,8997.3,-140.4,-1.54,293988636,31504.92,24.31,3.56,1.29
Nifty500 Quality 50,04-03-2026,17792.4,17833.65,17621.35,17734.4,-242.35,-1.35,243608526,13340.42,28.39,9.53,1.72
Nifty500 Low Volatility 50,04-03-2026,22275.9,22285.35,22083.65,22197.9,-354.15,-1.57,239238057,17184.05,23.7,4.46,1.73
NIFTY100 ESG,04-03-2026,4879.5,4895.6,4846.6,4872.9,-92.45,-1.86,787349011,50275.74,21.95,3.8,1.34
NIFTY100 Enhanced ESG,04-03-2026,4914.2,4931.4,4882,4908.45,-92.15,-1.84,769785223,48906.11,21.98,3.81,1.34
NIFTY500 Value 50,04-03-2026,16385.85,16407.5,16037.95,16125.3,-493.75,-2.97,801052339,20239.66,9.97,1.55,2.47
NIFTY100 Alpha 30,04-03-2026,17622.25,17624.6,17374.7,17509.5,-381.8,-2.13,312377259,23876.21,27.07,5.08,.76
