Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,26-02-2026,25556.3,25572.95,25400.95,25496.55,14.05,.06,405219244,33155.5,22.31,3.47,1.22
Nifty Next 50,26-02-2026,70534.6,70697.25,70118.55,70628.5,229.25,.33,232814367,10913.45,19.74,3.66,1.33
Nifty 100,26-02-2026,26272.1,26290.35,26113.25,26226.85,26.35,.1,638033611,44068.95,21.83,3.5,1.24
Nifty 200,26-02-2026,14306.5,14328.6,14230.15,14297.55,28.9,.2,1816014386,65057.68,23.3,3.63,1.16
Nifty 500,26-02-2026,23462.05,23502.95,23340.75,23448.5,44.7,.19,2553657052,87471.02,23.78,3.64,1.11
Nifty Midcap 50,26-02-2026,16865.45,16965.4,16839.1,16945.05,116.35,.69,560026920,13327.2,32.62,4.51,.81
NIFTY Midcap 100,26-02-2026,59542.55,59879.55,59404.75,59798.15,392.05,.66,1177980775,20988.74,33.24,4.35,.81
NIFTY Smallcap 100,26-02-2026,17143.6,17206,17036.3,17117.65,-1.05,-.01,399895655,11311.79,30.48,3.7,.75
Nifty50 Dividend Points,26-02-2026,-,-,-,277.39,0.0,-,-,-,-,-,-
Nifty Auto,26-02-2026,28556.85,28719.6,28459.45,28693.4,226.9,.8,43095267,3925.87,33.92,4.92,1.1
Nifty Bank,26-02-2026,61193.9,61284.75,60813.3,61187.7,144.35,.24,602742091,16566.5,16.47,2.19,.96
Nifty Energy,26-02-2026,37154.3,37265.55,36969.15,37181.8,63.2,.17,270736258,7826.41,15.56,2.41,1.83
Nifty Financial Services,26-02-2026,28404.4,28408.15,28173.95,28309.85,-29.8,-.11,154538696,16575.14,18.08,2.98,.83
Nifty FMCG,26-02-2026,52156.55,52197.55,51741.7,52023.0,-82.3,-.16,23589775,1693.39,37.52,9.31,1.58
Nifty IT,26-02-2026,30797.05,31112.2,30459.8,30554.2,27.85,.09,41389580,4908.02,21.71,5.67,3.47
Nifty Media,26-02-2026,1421.55,1423.1,1401,1407.75,-9.65,-.68,14631841,191.54,29.55,1.48,1.28
Nifty Metal,26-02-2026,12453.45,12457,12348.9,12448.0,48.6,.39,117457188,4171.28,21.11,3.24,1.48
Nifty MNC,26-02-2026,32106.8,32131.15,31923.85,32116.3,88.6,.28,31262579,3945.88,39.76,9.22,1.45
Nifty Pharma,26-02-2026,23106.95,23436.95,23047.85,23301.65,249.8,1.08,26914030,3456.14,34.87,5.08,.68
Nifty PSU Bank,26-02-2026,9804.5,9918.65,9735.4,9879.85,92.65,.95,225819040,4913.69,9.8,1.62,1.94
Nifty Realty,26-02-2026,799,803.1,791.85,798.65,1.8,.23,7206781,690.96,35.97,3.86,.37
Nifty India Consumption,26-02-2026,11728.65,11736.6,11654.1,11710.5,6.8,.06,131544751,10488.47,39.15,7.89,.95
Nifty Commodities,26-02-2026,10057.4,10076.8,9994.3,10067.25,32.05,.32,198956475,8684.09,16.92,2.39,1.57
Nifty Dividend Opportunities 50,26-02-2026,6362.35,6382.75,6315.6,6361.2,19.05,.3,423740013,16249.01,14.61,2.95,2.71
Nifty Infrastructure,26-02-2026,9626.1,9658.8,9587.05,9646.25,30.8,.32,202863390,11281.87,21.8,3.16,.95
Nifty PSE,26-02-2026,10514.3,10543.6,10445.5,10529.05,27.4,.26,203530685,5348.43,11.38,2.1,2.73
Nifty Services Sector,26-02-2026,32857.75,32871.3,32597.8,32721.85,-18.7,-.06,311144660,24782.17,21.17,3.45,1.28
Nifty50 Shariah,26-02-2026,4486.1,4503.05,4458.95,4475.75,10.75,.24,63367040,6710.57,24.89,4.3,2.1
Nifty500 Shariah,26-02-2026,6898.05,6926.45,6869.8,6899.55,23.6,.34,475294698,25618.12,27.57,4.65,1.39
Nifty Low Volatility 50,26-02-2026,25559.4,25601.7,25394.8,25505.25,-3.65,-.01,218834790,26437.11,30.84,5.13,1.17
Nifty Alpha 50,26-02-2026,51350.25,51524.9,51062.45,51462.65,196.95,.38,186022168,16062.38,31.98,4.45,.57
Nifty High Beta 50,26-02-2026,3850.05,3860.75,3819.85,3846.95,5.2,.14,740671238,12243.86,23.18,2.98,1.1
Nifty100 Equal Weight,26-02-2026,34311.6,34355.45,34126.6,34299.0,60.8,.18,638033611,44068.95,22.89,3.8,1.23
Nifty100 Liquid 15,26-02-2026,7611.4,7633.55,7575,7624.7,27.4,.36,214457466,13352.41,24.44,3.45,.85
Nifty CPSE,26-02-2026,7129.9,7143.45,7075.9,7127.95,1.7,.02,96260061,2662.52,14.62,2.28,2.59
Nifty50 Value 20,26-02-2026,13047.25,13056.45,12954.75,13015.3,16.85,.13,179112584,14762.12,17.31,2.99,1.88
