Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,27-02-2026,25459.85,25476.4,25141.3,25178.65,-317.9,-1.25,438924282,38634.68,22.03,3.42,1.24
Nifty Next 50,27-02-2026,70630.1,70630.1,69553.45,69710.9,-917.6,-1.3,242698067,12247.31,19.49,3.61,1.34
Nifty 100,27-02-2026,26195.55,26211.45,25861.85,25897.55,-329.3,-1.26,681622349,50881.99,21.56,3.45,1.26
Nifty 200,27-02-2026,14281.35,14288.15,14101.75,14121.05,-176.5,-1.23,2698354780,94016.29,23.02,3.58,1.18
Nifty 500,27-02-2026,23423.95,23433.55,23136.75,23166.85,-281.65,-1.2,3688575577,123584.22,23.5,3.6,1.12
Nifty Midcap 50,27-02-2026,16944,16963.2,16737.2,16765.6,-179.45,-1.06,486286597,19534.7,32.33,4.46,.81
NIFTY Midcap 100,27-02-2026,59746.4,59774.9,59014.1,59115.6,-682.55,-1.14,2016732431,43134.3,32.89,4.3,.82
NIFTY Smallcap 100,27-02-2026,17109.75,17112,16904.5,16928.9,-188.75,-1.1,550734604,16099.75,30.14,3.66,.76
Nifty50 Dividend Points,27-02-2026,-,-,-,277.39,0.0,-,-,-,-,-,-
Nifty Auto,27-02-2026,28623.2,28687,28094.25,28158.85,-534.55,-1.86,65410787,5815.9,33.29,4.83,1.13
Nifty Bank,27-02-2026,61057.45,61086.45,60438.95,60529.0,-658.7,-1.08,369227038,13055.66,16.21,2.11,.97
Nifty Energy,27-02-2026,37116.6,37303.85,36917.9,37045.2,-136.6,-.37,457149790,9183.25,15.55,2.4,1.83
Nifty Financial Services,27-02-2026,28204.35,28233.8,27825.9,27869.75,-440.1,-1.55,148951660,13964.54,17.8,2.94,.84
Nifty FMCG,27-02-2026,51801.35,51987.55,51039.1,51142.2,-880.8,-1.69,36686635,3042.36,36.89,9.16,1.61
Nifty IT,27-02-2026,31145.75,31305.8,30546,30603.85,49.65,.16,58706318,7707.14,21.74,5.68,3.46
Nifty Media,27-02-2026,1409.55,1421.65,1401.2,1416.15,8.4,.6,22383228,371.22,29.72,1.49,1.28
Nifty Metal,27-02-2026,12416.55,12437.6,12217.8,12240.65,-207.35,-1.67,122069231,5071.27,20.76,3.19,1.5
Nifty MNC,27-02-2026,32049.05,32056.6,31650.85,31703.1,-413.2,-1.29,43688960,5927.44,39.25,9.1,1.47
Nifty Pharma,27-02-2026,23257.8,23301.85,22917.1,22952.35,-349.3,-1.5,24996505,3294.4,34.35,5,.69
Nifty PSU Bank,27-02-2026,9871.5,9904,9783.35,9820.45,-59.4,-.6,163513312,3533.5,9.74,1.61,1.95
Nifty Realty,27-02-2026,797.75,798.8,778.2,780.6,-18.05,-2.26,13316212,1274.03,35.16,3.78,.38
Nifty India Consumption,27-02-2026,11665.2,11679.2,11518.05,11537.1,-173.4,-1.48,145279142,16276.76,38.57,7.78,.97
Nifty Commodities,27-02-2026,10042.15,10047.4,9939.45,9955.95,-111.3,-1.11,210001031,9767.66,16.73,2.37,1.59
Nifty Dividend Opportunities 50,27-02-2026,6380.1,6386.9,6306.4,6316.4,-44.8,-.7,448906229,20698.14,14.51,2.93,2.73
Nifty Infrastructure,27-02-2026,9616.15,9620.15,9517.85,9532.65,-113.6,-1.18,298063061,14398.52,21.55,3.12,.96
Nifty PSE,27-02-2026,10524.1,10538.3,10432.85,10456.1,-72.95,-.69,267953259,8911.16,11.34,2.09,2.74
Nifty Services Sector,27-02-2026,32725.6,32745.95,32275.9,32325.6,-396.25,-1.21,315404051,26413.81,20.92,3.41,1.3
Nifty50 Shariah,27-02-2026,4504.75,4512.8,4433.95,4440.25,-35.5,-.79,105130434,12048.1,24.7,4.27,2.12
Nifty500 Shariah,27-02-2026,6919.35,6924.6,6837.1,6845.45,-54.1,-.78,1448536642,48709.46,27.45,4.63,1.4
Nifty Low Volatility 50,27-02-2026,25480.3,25502.75,25122.05,25153.25,-352.0,-1.38,250318839,31129.58,30.42,5.06,1.18
Nifty Alpha 50,27-02-2026,51358.45,51363.35,50530.5,50663.15,-799.5,-1.55,492755126,29470.56,31.48,4.38,.58
Nifty High Beta 50,27-02-2026,3838.85,3843.05,3771.5,3781.6,-65.35,-1.7,960119051,20246.22,22.79,2.93,1.12
Nifty100 Equal Weight,27-02-2026,34275.75,34282.9,33817.95,33865.85,-433.15,-1.26,681622349,50881.99,22.61,3.76,1.25
Nifty100 Liquid 15,27-02-2026,7591.15,7596.4,7496.9,7510.4,-114.3,-1.5,215083143,13944.53,24.07,3.39,.86
Nifty CPSE,27-02-2026,7126.15,7139.65,7067.1,7086.6,-41.35,-.58,130124023,3753.96,14.53,2.26,2.6
Nifty50 Value 20,27-02-2026,13039.5,13057.95,12869.95,12890.05,-125.25,-.96,203955262,16379.91,17.15,2.97,1.9
Nifty Midcap Liquid 15,27-02-2026,15248.6,15282.45,15033.65,15058.75,-204.95,-1.34,287692646,7487.01,35.78,4.27,.68
Nifty Shariah 25,27-02-2026,8005,8021.75,7906.35,7917.3,-72.1,-.9,85183292,11462.36,28.16,5,1.73
India VIX,27-02-2026,13.0625,14.035,11.2,13.7,0.64,4.9,-,-,-,-,-
Nifty Growth Sectors 15,27-02-2026,11626.3,11648.2,11435.15,11458.05,-138.15,-1.19,61355538,11176.34,29.47,6.81,1.85
Nifty50 TR 1x Inverse,27-02-2026,168.7,170.8,168.65,170.55,2.1,1.25,-,-,-,-,-
Nifty50 TR 2x Leverage,27-02-2026,20711,20727.8,20193.6,20252.8,-520.85,-2.51,-,-,-,-,-
Nifty50 PR 1x Inverse,27-02-2026,206.35,208.95,206.3,208.65,2.6,1.26,-,-,-,-,-
