Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,07-04-2026,22838.7,23153.85,22719.3,23123.65,155.4,.68,476981883,38940.47,20.32,3.16,1.34
Nifty Next 50,07-04-2026,62607.45,63217.25,62021.15,63151.05,292.1,.46,275709457,11844.7,17.88,3.37,1.55
Nifty 100,07-04-2026,23453.2,23757.35,23326,23730.25,150.8,.64,752691340,50785.17,19.85,3.19,1.38
Nifty 200,07-04-2026,12818.2,12970.45,12738.75,12958.15,71.75,.56,1702237737,69874.47,21.5,3.36,1.26
Nifty 500,07-04-2026,21085.3,21313.1,20959.35,21296.45,102.4,.48,2588809937,91514.7,22.03,3.35,1.21
Nifty Midcap 50,07-04-2026,15424.85,15595.35,15252.45,15573.8,66.6,.43,273813018,10513.47,33.4,4.24,.68
NIFTY Midcap 100,07-04-2026,54218.9,54667.85,53656.45,54600.55,107.9,.2,949546397,19089.3,33.75,4.31,.75
NIFTY Smallcap 100,07-04-2026,15790.55,15919.1,15697.45,15843.3,-9.75,-.06,480000316,11046.46,27,3.09,.76
Nifty50 Dividend Points,07-04-2026,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,07-04-2026,24227.75,24430.1,23839.1,24373.3,22.9,.09,52183392,4047.31,28.81,4.18,1.3
Nifty Bank,07-04-2026,52258.7,52778.2,51868.45,52716.25,107.15,.2,279734514,12333.3,14.03,1.8,1.12
Nifty Energy,07-04-2026,35244.1,35617.3,35046.25,35578.25,189.5,.54,413133731,10674.01,14.75,2.3,1.9
Nifty Financial Services,07-04-2026,24457,24709.55,24307.2,24685.55,82.45,.34,185618232,15592.92,16.11,2.63,.93
Nifty FMCG,07-04-2026,46362.25,47057.8,46020.5,46980.1,380.05,.82,46535920,2881.06,33.59,8.28,1.74
Nifty IT,07-04-2026,30489.3,31443.05,30372.1,31403.35,766.8,2.5,55333707,5729.01,22.31,5.82,3.37
Nifty Media,07-04-2026,1294.75,1317.1,1293.2,1310.9,10.4,.8,20301971,308.74,27.62,1.38,1.34
Nifty Metal,07-04-2026,11602.7,11784.45,11529.45,11762.65,179.15,1.55,135875271,6113.8,19.95,3.06,1.69
Nifty MNC,07-04-2026,28537.5,28804,28228.7,28776.25,175.7,.61,56912599,4924.82,35.88,7.93,1.67
Nifty Pharma,07-04-2026,21765.5,22022.2,21595.4,21868.7,33.35,.15,31769277,2882.96,32.74,4.77,.72
Nifty PSU Bank,07-04-2026,8267.85,8280.4,8157.9,8264.8,-59.15,-.71,131065090,3096.39,8.14,1.34,2.35
Nifty Realty,07-04-2026,682,700,674.45,698.6,11.5,1.67,15296336,1249.74,33.05,3.35,.42
Nifty India Consumption,07-04-2026,10593.85,10721.35,10499.25,10704.4,48.5,.46,158569290,13149.75,35.7,7.22,1.05
Nifty Commodities,07-04-2026,9266.5,9373.35,9219.55,9362.7,71.0,.76,271736179,13407.07,15.73,2.22,1.76
Nifty Dividend Opportunities 50,07-04-2026,5808.15,5902.85,5778.35,5898.1,62.2,1.07,512642184,19576.3,14.12,2.8,2.9
Nifty Infrastructure,07-04-2026,8609.2,8720.95,8563.65,8707.5,38.8,.45,258184456,14076.46,20,2.9,1.05
Nifty PSE,07-04-2026,9711.65,9844.05,9654.7,9829.15,66.9,.69,208268278,5781.61,10.64,1.97,2.88
Nifty Services Sector,07-04-2026,29291.45,29726.25,29117.6,29696.9,235.6,.8,319976898,24742.6,19.35,3.15,1.41
Nifty50 Shariah,07-04-2026,4209.9,4297.95,4189.8,4292.35,62.65,1.48,89104109,9646.18,23.87,4.13,2.19
Nifty500 Shariah,07-04-2026,6365.3,6454.85,6327.2,6450.45,56.05,.88,633083893,31891.22,26.85,4.42,1.47
Nifty Low Volatility 50,07-04-2026,22913.15,23201.65,22758.05,23176.35,124.85,.54,295063164,30925.09,28.36,4.7,1.3
Nifty Alpha 50,07-04-2026,46194.5,46394,45750.9,46338.0,-51.55,-.11,264775216,15540.42,24.91,3.89,.86
Nifty High Beta 50,07-04-2026,3523.75,3556.4,3498.2,3551.0,12.0,.34,857076356,14599.4,27.58,3.25,1.02
Nifty100 Equal Weight,07-04-2026,30739,31074.95,30514.6,31046.4,154.65,.5,752691340,50785.17,20.67,3.42,1.41
Nifty100 Liquid 15,07-04-2026,6771.6,6856.45,6738,6848.4,38.3,.56,182022932,15150.06,21.92,3.24,.97
Nifty CPSE,07-04-2026,6975.15,7061.65,6936.4,7050.35,42.85,.61,93124671,3038.13,14.54,2.27,2.63
Nifty50 Value 20,07-04-2026,11901.45,12111.85,11844.9,12096.95,141.6,1.18,231930341,16556.86,16.1,2.78,2.03
Nifty Midcap Liquid 15,07-04-2026,14355.55,14504.25,14199.5,14476.9,20.85,.14,149476656,5088.87,43.38,4.75,.59
Nifty Shariah 25,07-04-2026,7399.85,7524.3,7347.85,7516.05,73.6,.99,87294598,8086.73,26.45,4.72,1.86
India VIX,07-04-2026,25.4675,26.255,24.545,24.7,-0.77,-3.03,-,-,-,-,-
Nifty Growth Sectors 15,07-04-2026,10629.05,10808.3,10552.4,10791.35,107.1,1,37105740,8203.34,29.24,6.91,1.84
Nifty50 TR 1x Inverse,07-04-2026,187.95,188.95,185.4,185.65,-1.25,-.67,-,-,-,-,-
Nifty50 TR 2x Leverage,07-04-2026,16475.15,16929.6,16303.55,16888.65,223.3,1.34,-,-,-,-,-
Nifty50 PR 1x Inverse,07-04-2026,229.95,231.15,226.85,227.1,-1.55,-.68,-,-,-,-,-
Nifty50 PR 2x Leverage,07-04-2026,10984.4,11287.4,10870,11260.15,148.9,1.34,-,-,-,-,-
NIFTY100 Quality 30,07-04-2026,5180.45,5271.6,5146.15,5264.85,56.7,1.09,129730969,12185.7,28.54,7.2,1.96
Nifty200 Momentum 30,07-04-2026,28078.3,28328.15,27814.15,28295.9,64.05,.23,150459276,12767.33,24.26,4.18,.9
Nifty India Manufacturing,07-04-2026,14215.4,14374.65,14108.45,14357.65,91.8,.64,314272475,21951.27,26.28,4.15,1.11
Nifty100 ESG Sector Leaders,07-04-2026,3797.35,3850.4,3776.95,3845.75,28.65,.75,485163058,35710.17,20.6,3.31,1.36
Nifty200 Alpha 30,07-04-2026,22992.5,23122,22711.2,23093.45,6.15,.03,191180068,11576.18,21.68,3.81,1.07
Nifty Midcap150 Momentum 50,07-04-2026,56270.5,56507.7,55585.85,56447.15,-105.25,-.19,665152520,9138.55,29.48,4.61,.87
Nifty Smallcap250 Quality 50,07-04-2026,22638.65,22754.8,22487.65,22692.9,18.55,.08,52481989,1688.45,21.81,4.63,1.69
Nifty Smallcap250 Momentum Quality 100,07-04-2026,39433.1,39684.15,39187.25,39567.8,12.45,.03,179994940,10093.39,25.67,4.36,.94
Nifty MidSmallcap400 Momentum Quality 100,07-04-2026,44515.1,44761.95,44099.7,44711.35,-6.85,-.02,208140893,14138.28,26.73,5.74,.99
Nifty500 Momentum 50,07-04-2026,47647.9,47935.35,47207.9,47880.9,7.35,.02,150537638,14713.57,27.11,4.46,.78
Nifty200 Value 30,07-04-2026,14412.1,14580.1,14334.35,14562.1,89.95,.62,368937574,11984.06,9.46,1.47,2.84
Nifty Top 10 Equal Weight,07-04-2026,8415.15,8567.7,8372.15,8555.6,91.2,1.08,198180141,19745.59,18.77,3.27,1.56
