Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,15-04-2026,24163.8,24280.9,24145.8,24231.3,388.65,1.63,460334041,38376.84,21.27,3.31,1.28
Nifty Next 50,15-04-2026,68203.55,68663.1,68109.2,68569.35,1446.05,2.15,351365466,17522.54,19.41,3.66,1.43
Nifty 100,15-04-2026,24942.55,25063.55,24925.6,25023.7,424.05,1.72,811699507,55899.38,20.91,3.37,1.31
Nifty 200,15-04-2026,13667.7,13734.8,13661.15,13717.65,244.35,1.81,2018198271,83233.35,22.75,3.55,1.19
Nifty 500,15-04-2026,22506.95,22621.9,22496.75,22595.55,416.5,1.88,3705972557,116850.11,23.37,3.56,1.14
Nifty Midcap 50,15-04-2026,16598.4,16724.35,16563.5,16699.4,373.1,2.29,507838263,14845.87,35.81,4.55,.64
NIFTY Midcap 100,15-04-2026,58463.9,58850.25,58378.35,58777.75,1264.45,2.2,1206498764,27333.97,36.34,4.64,.7
NIFTY Smallcap 100,15-04-2026,17063.6,17188.85,17031.7,17156.4,394.4,2.35,908103829,17685.27,29.23,3.35,.7
Nifty50 Dividend Points,15-04-2026,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,15-04-2026,26462.15,26709.6,26304.1,26483.1,398.55,1.53,74647451,5909.54,31.31,4.54,1.2
Nifty Bank,15-04-2026,56343.45,56786.25,56109.2,56301.95,696.9,1.25,267999991,11842.19,14.98,1.92,1.05
Nifty Energy,15-04-2026,37672.6,38031.85,37557.75,37993.5,798.45,2.15,1121198597,15339.33,15.75,2.45,1.78
Nifty Financial Services,15-04-2026,26404.9,26592.6,26376.35,26445.0,397.5,1.53,178428261,15876,17.25,2.82,.87
Nifty FMCG,15-04-2026,47958.6,48482.5,47952.5,48290.4,720.0,1.51,44415918,2923.57,34.53,8.51,1.7
Nifty IT,15-04-2026,31170.75,31661.15,31111.5,31539.75,869.95,2.84,55838057,5592.29,22.24,5.85,3.36
Nifty Media,15-04-2026,1383.4,1397.9,1381.35,1389.65,29.25,2.15,32988064,431.34,29.28,1.47,1.26
Nifty Metal,15-04-2026,12594.9,12644.15,12504.2,12548.0,218.7,1.77,150523481,6835.27,21.28,3.27,1.59
Nifty MNC,15-04-2026,30382.95,30672.55,30361.3,30568.5,539.95,1.8,69189133,7688.21,38.12,8.41,1.56
Nifty Pharma,15-04-2026,22321.1,22456.2,22142.5,22435.65,335.55,1.52,25523459,3267.66,33.59,4.89,.7
Nifty PSU Bank,15-04-2026,8858.2,8948.7,8777.45,8812.4,98.5,1.13,122784600,3461.87,8.68,1.43,2.2
Nifty Realty,15-04-2026,770.5,778.4,766.85,776.55,19.35,2.56,19138541,1638.92,36.73,3.72,.38
Nifty India Consumption,15-04-2026,11212.4,11297.65,11191.4,11269.3,189.05,1.71,197160977,15359.96,37.59,7.6,.99
Nifty Commodities,15-04-2026,9888.75,9922.4,9859.55,9909.4,181.2,1.86,313714884,13488.58,16.65,2.35,1.67
Nifty Dividend Opportunities 50,15-04-2026,6098.8,6145.5,6098,6126.5,109.5,1.82,559500759,22740.3,14.65,2.91,2.79
Nifty Infrastructure,15-04-2026,9180.65,9240.15,9178.45,9226.15,182.1,2.01,466462816,16897.11,21.2,3.08,.99
Nifty PSE,15-04-2026,10280.65,10392.45,10253.9,10379.9,217.35,2.14,255061214,7250.25,11.24,2.08,2.73
Nifty Services Sector,15-04-2026,31101,31273.15,31083.7,31184.95,478.0,1.56,345704057,26524.41,20.29,3.31,1.34
Nifty50 Shariah,15-04-2026,4350.95,4384.05,4339.95,4380.15,96.45,2.25,82027575,8972.34,24.26,4.21,2.15
Nifty500 Shariah,15-04-2026,6712.35,6760.2,6702.3,6754.05,147.85,2.24,915668005,39367.18,28.05,4.63,1.41
Nifty Low Volatility 50,15-04-2026,24070.5,24211.55,24028.85,24187.6,402.9,1.69,273260167,30861.21,29.57,4.9,1.25
Nifty Alpha 50,15-04-2026,50487.9,50736.95,50282.75,50337.4,830.2,1.68,282964995,20524.65,27.05,4.22,.8
