Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,16-04-2026,24385.2,24400.95,24102.8,24196.75,-34.55,-.14,508017772,44634.35,21.24,3.3,1.28
Nifty Next 50,16-04-2026,69070.2,69432.45,68716.75,69300.6,731.25,1.07,356511974,17146.24,19.62,3.7,1.42
Nifty 100,16-04-2026,25186.95,25216.25,24925.6,25042.3,18.6,.07,864529746,61780.59,20.93,3.37,1.31
Nifty 200,16-04-2026,13811.2,13830.7,13667.55,13742.25,24.6,.18,2115611088,87249.03,22.79,3.56,1.19
Nifty 500,16-04-2026,22757.05,22792.25,22529.65,22656.3,60.75,.27,3828046970,127891.15,23.43,3.57,1.13
Nifty Midcap 50,16-04-2026,16832.8,16887.35,16659.55,16804.8,105.4,.63,568469338,15145.77,36.04,4.58,.63
NIFTY Midcap 100,16-04-2026,59252.95,59443.5,58621.95,59146.75,369.0,.63,1251081342,25468.44,36.57,4.67,.69
NIFTY Smallcap 100,16-04-2026,17321.25,17384,17178.4,17308.85,152.45,.89,796761196,19459.34,29.49,3.38,.69
Nifty50 Dividend Points,16-04-2026,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,16-04-2026,26649,26729.4,26233.3,26382.75,-100.35,-.38,55391400,4757.67,31.19,4.52,1.21
Nifty Bank,16-04-2026,56657.25,56834.25,55898.25,56086.4,-215.55,-.38,402203847,14096.58,14.93,1.91,1.05
Nifty Energy,16-04-2026,38262.85,38262.85,37794.2,38184.75,191.25,.5,1000389914,17285.32,15.83,2.46,1.77
Nifty Financial Services,16-04-2026,26607.05,26719.4,26304.05,26343.55,-101.45,-.38,230378480,19154.4,17.19,2.81,.87
Nifty FMCG,16-04-2026,48382.75,48496.9,48117.25,48377.9,87.5,.18,40131137,2898.66,34.59,8.52,1.7
Nifty IT,16-04-2026,31833.6,32134.25,31600.1,31817.5,277.75,.88,71310350,6592.61,22.43,5.9,3.33
Nifty Media,16-04-2026,1402.3,1413.5,1380.85,1397.9,8.25,.59,46783728,495.24,29.46,1.47,1.25
Nifty Metal,16-04-2026,12629.7,12816.25,12603.3,12740.2,192.2,1.53,162481369,6619.08,21.6,3.32,1.56
Nifty MNC,16-04-2026,30719.3,30824.45,30467.85,30688.25,119.75,.39,50576581,6041.46,38.27,8.45,1.56
