Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,02-02-2026,24796.5,25108.1,24679.4,25088.4,262.95,1.06,449215604,34038.26,21.8,3.41,1.29
Nifty Next 50,02-02-2026,66452.3,67244.05,65573.75,67073.2,712.65,1.07,314452087,14905.61,19.45,3.48,1.43
Nifty 100,02-02-2026,25366.85,25677.05,25212.4,25655.35,269.5,1.06,763667691,48943.87,21.38,3.42,1.31
Nifty 200,02-02-2026,13797.65,13965.5,13696.15,13949.75,143.95,1.04,2021459285,70101.79,22.7,3.54,1.23
Nifty 500,02-02-2026,22595.45,22869.7,22408.5,22837.0,225.7,1,2701638490,94471.03,23.24,3.55,1.17
Nifty Midcap 50,02-02-2026,16357.35,16585.85,16185.05,16549.3,199.9,1.22,316420163,11110.89,31.76,4.41,.83
NIFTY Midcap 100,02-02-2026,57128.6,57826.85,56381.35,57667.6,546.8,.96,1257791594,21157.92,31.53,4.2,.83
NIFTY Smallcap 100,02-02-2026,16381.95,16583.7,16136.9,16523.35,105.2,.64,413722786,16364.47,29.47,3.57,.78
Nifty50 Dividend Points,02-02-2026,-,-,-,264.68,0.0,-,-,-,-,-,-
Nifty Auto,02-02-2026,26177.7,26784.7,26006.7,26749.15,558.5,2.13,54816266,4446.16,28.74,4.58,1.18
Nifty Bank,02-02-2026,58239.3,58687.05,57829.85,58619.0,201.8,.35,282473569,9987.01,15.85,2.09,1
Nifty Energy,02-02-2026,34042,34690.65,33708.2,34613.3,556.95,1.64,348059699,8918.3,14.83,2.25,2.14
Nifty Financial Services,02-02-2026,26612.2,26842.8,26463.15,26799.0,99.9,.37,176065437,15397.83,17.28,2.82,.86
Nifty FMCG,02-02-2026,50103.9,50696.45,49336.5,50623.2,580.4,1.16,57563966,3107.72,36.61,9.14,2.22
Nifty IT,02-02-2026,38396,38413.15,37807.1,38074.15,-178.8,-.47,26214973,3232.28,27.05,7.06,2.78
Nifty Media,02-02-2026,1356.05,1366.85,1336.05,1361.35,1.15,.08,25878875,374.16,29.18,1.43,1.42
Nifty Metal,02-02-2026,11343.1,11596.35,11227.9,11561.55,212.9,1.88,273147270,12889.73,20.57,3.01,1.58
Nifty MNC,02-02-2026,29838.45,30240.55,29507.5,30178.4,394.55,1.32,63628603,5763.19,37.75,8.67,1.53
Nifty Pharma,02-02-2026,21629.8,21640.6,21188.55,21549.55,14.25,.07,20520846,2504.95,32.6,4.7,.68
