Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,01-04-2026,22899,22941.3,22618.6,22679.4,348.0,1.56,517954448,41192.2,19.93,3.1,1.37
Nifty Next 50,01-04-2026,62118.05,62477.25,61677.4,61912.75,1562.95,2.59,368361280,17604.26,17.53,3.31,1.59
Nifty 100,01-04-2026,23472.25,23528,23206,23272.75,397.25,1.74,886315728,58796.46,19.46,3.13,1.41
Nifty 200,01-04-2026,12820.3,12864.3,12680.4,12720.35,228.25,1.83,2216387863,83566.36,21.11,3.29,1.29
Nifty 500,01-04-2026,21067.15,21153.25,20867.4,20935.15,407.1,1.98,3301292272,106324.74,21.66,3.3,1.23
Nifty Midcap 50,01-04-2026,15374.05,15500,15235.35,15295.45,312.1,2.08,460669497,14286.71,32.8,4.17,.7
NIFTY Midcap 100,01-04-2026,54075.45,54519.6,53582.95,53819.15,1169.15,2.22,1330072135,24769.9,33.27,4.25,.76
NIFTY Smallcap 100,01-04-2026,15618.8,15848.55,15532.75,15709.8,506.0,3.33,632172491,12964.13,26.78,3.07,.76
Nifty50 Dividend Points,01-04-2026,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,01-04-2026,24557.4,24646.5,24132.4,24238.85,469.25,1.97,138713873,5927.83,28.66,4.15,1.31
Nifty Bank,01-04-2026,51433.9,52025.85,51133.55,51448.65,1173.3,2.33,370080617,14540.54,13.69,1.75,1.14
Nifty Energy,01-04-2026,35868.5,35868.5,35224.75,35402.85,553.15,1.59,517010653,11306.15,14.67,2.28,1.91
Nifty Financial Services,01-04-2026,24129.2,24275.15,23941.95,23981.8,460.0,1.96,244476583,19530.63,15.65,2.56,.96
Nifty FMCG,01-04-2026,46499.45,46513.05,45886.25,46135.95,597.3,1.31,42232299,2844.17,32.98,8.13,1.79
Nifty IT,01-04-2026,29943.15,30257.85,29562.35,29669.05,606.45,2.09,32092715,3824.64,21.08,5.5,3.57
Nifty Media,01-04-2026,1288.25,1319,1286.7,1308.4,46.55,3.69,27203913,346.97,27.57,1.38,1.34
Nifty Metal,01-04-2026,11447.55,11573,11374.55,11412.05,273.65,2.46,188916591,7151.08,19.35,2.97,1.75
Nifty MNC,01-04-2026,28485.7,28617.25,28076.8,28270.65,479.4,1.73,131151550,7120.82,35.25,7.79,1.7
Nifty Pharma,01-04-2026,22531.6,22782.05,21909.35,22011.6,-220.65,-.99,25244953,3637.73,32.95,4.8,.71
Nifty PSU Bank,01-04-2026,8139.45,8257.3,8035.9,8164.8,291.35,3.7,147339771,3409.92,8.04,1.32,2.37
Nifty Realty,01-04-2026,666.45,672,660.35,665.0,13.85,2.13,21895384,1575.5,31.46,3.19,.45
Nifty India Consumption,01-04-2026,10598.9,10646.05,10495.05,10545.05,210.7,2.04,171609870,15835.43,35.17,7.11,1.07
Nifty Commodities,01-04-2026,9357.75,9359.9,9219.05,9256.75,129.0,1.41,311071410,11875.47,15.56,2.2,1.78
Nifty Dividend Opportunities 50,01-04-2026,5810.65,5812.15,5727.75,5747.2,102.9,1.82,652198009,21263.24,13.76,2.73,2.98
Nifty Infrastructure,01-04-2026,8791.9,8792.4,8637.45,8669.1,108.15,1.26,386412098,16671.37,19.92,2.89,1.06
Nifty PSE,01-04-2026,9856.5,9856.55,9649.5,9699.8,140.8,1.47,286221042,8057.54,10.5,1.94,2.92
Nifty Services Sector,01-04-2026,29038.05,29150.25,28771.5,28824.4,460.8,1.62,364939302,29556.69,18.78,3.06,1.45
Nifty50 Shariah,01-04-2026,4219.1,4236.65,4142.6,4162.55,43.75,1.06,83258134,7931.28,23.15,4,2.26
Nifty500 Shariah,01-04-2026,6376.8,6409.3,6288.9,6319.0,103.85,1.67,608024028,30521.23,26.3,4.33,1.5
Nifty Low Volatility 50,01-04-2026,23075.9,23127.95,22707.55,22793.9,211.9,.94,296087267,31709.2,27.89,4.62,1.33
Nifty Alpha 50,01-04-2026,45827.15,46376.7,45629.8,45779.85,1291.9,2.9,406226398,22071.01,24.61,3.84,.88
Nifty High Beta 50,01-04-2026,3435,3492.25,3415.45,3456.75,139.1,4.19,1187225524,19927.73,26.85,3.16,1.04
Nifty100 Equal Weight,01-04-2026,30622.6,30737.75,30294.55,30422.35,635.15,2.13,886315728,58796.46,20.25,3.35,1.44
Nifty100 Liquid 15,01-04-2026,6785.7,6827.05,6731.7,6753.5,166.55,2.53,187183248,16327.15,21.61,3.2,.98
Nifty CPSE,01-04-2026,7098.8,7101.35,6921.5,6963.9,63.05,.91,159769331,5440.73,14.36,2.25,2.66
Nifty50 Value 20,01-04-2026,11890.15,11894.6,11703.25,11739.85,153.85,1.33,220175630,15039.77,15.62,2.7,2.09
Nifty Midcap Liquid 15,01-04-2026,14134.65,14357.15,14113.35,14170.65,444.2,3.24,291569593,7264.16,42.46,4.65,.6
Nifty Shariah 25,01-04-2026,7432.45,7451.7,7306.55,7341.65,85.8,1.18,107480327,8138.2,25.84,4.61,1.91
India VIX,01-04-2026,27.8875,27.8875,23.6475,25.01,-2.88,-10.32,-,-,-,-,-
Nifty Growth Sectors 15,01-04-2026,10680.75,10720.2,10500.1,10547.7,139.35,1.34,31814694,7823.15,28.58,6.76,1.88
Nifty50 TR 1x Inverse,01-04-2026,187.3,189.7,186.9,189.15,-2.95,-1.54,-,-,-,-,-
Nifty50 TR 2x Leverage,01-04-2026,16571.6,16630.95,16176.1,16261.4,486.25,3.08,-,-,-,-,-
Nifty50 PR 1x Inverse,01-04-2026,229.1,232.05,228.65,231.4,-3.6,-1.53,-,-,-,-,-
Nifty50 PR 2x Leverage,01-04-2026,11048.75,11088.3,10785.05,10841.9,324.2,3.08,-,-,-,-,-
NIFTY100 Quality 30,01-04-2026,5172.1,5197.2,5108.95,5133.85,100.75,2,128334942,13184.71,27.83,7.02,2.02
Nifty200 Momentum 30,01-04-2026,27877.1,28087.2,27671.45,27768.75,697.1,2.58,255669405,17022.1,23.81,4.1,.92
Nifty India Manufacturing,01-04-2026,14421.95,14505.25,14202.7,14255.9,223.35,1.59,479190976,28821.88,26.09,4.12,1.11
Nifty100 ESG Sector Leaders,01-04-2026,3801.65,3808.25,3753.4,3765.4,58.2,1.57,543612026,37886.21,20.17,3.24,1.39
Nifty200 Alpha 30,01-04-2026,22730.55,22986.65,22593.7,22672.0,606.25,2.75,287345043,14867.24,21.29,3.74,1.09
