Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,05-03-2026,24615.95,24854.2,24529.4,24765.9,285.4,1.17,504339053,40011.88,21.67,3.37,1.26
Nifty Next 50,05-03-2026,67102.85,67893.4,67036.7,67722.2,922.8,1.38,278361080,14280.69,18.93,3.51,1.36
Nifty 100,05-03-2026,25253.1,25505.1,25175.2,25420.1,301.85,1.2,782700133,54292.57,21.16,3.39,1.28
Nifty 200,05-03-2026,13755.85,13894.9,13712.4,13850.45,172.4,1.26,1942663115,75032.39,22.57,3.51,1.2
Nifty 500,05-03-2026,22536.75,22760.85,22468.2,22697.8,288.0,1.29,2706766863,100527.72,23.03,3.53,1.14
Nifty Midcap 50,05-03-2026,16332.35,16490.25,16234.85,16441.55,242.6,1.5,355532662,12156.57,31.7,4.38,.83
NIFTY Midcap 100,05-03-2026,57330.6,57946.45,57014.7,57792.55,867.4,1.52,1159962982,20739.82,32.16,4.2,.83
NIFTY Smallcap 100,05-03-2026,16397.1,16567.7,16311.55,16538.8,257.3,1.58,401273505,12750.39,29.45,3.58,.77
Nifty50 Dividend Points,05-03-2026,-,-,-,277.39,0.0,-,-,-,-,-,-
Nifty Auto,05-03-2026,27053.5,27471.45,26909.8,27366.8,499.65,1.86,63384905,4714.32,32.35,4.69,1.16
Nifty Bank,05-03-2026,59008.25,59274.35,58506.4,59055.85,300.6,.51,273526525,11232.25,15.82,2.06,.99
Nifty Energy,05-03-2026,35765.35,36409.9,35755.75,36273.85,684.25,1.92,484306283,13267.96,15.23,2.35,1.87
Nifty Financial Services,05-03-2026,27182.3,27337.5,26920.55,27235.8,215.35,.8,162027195,15428.8,17.39,2.87,.85
Nifty FMCG,05-03-2026,49985.85,50186.45,49354.8,50000.8,203.3,.41,38504675,2385.65,36.06,8.95,1.64
Nifty IT,05-03-2026,30554.85,30563.35,29823.15,30126.8,-178.45,-.59,34596152,3774.38,21.41,5.59,3.52
Nifty Media,05-03-2026,1351.9,1367,1349,1362.45,14.45,1.07,25072923,345.53,28.6,1.43,1.33
Nifty Metal,05-03-2026,11861.05,12200.9,11849.6,12049.2,269.45,2.29,191304390,8335.14,20.44,3.14,1.53
Nifty MNC,05-03-2026,30619.65,30901.3,30513.2,30829.6,360.6,1.18,51606788,5119.39,38.17,8.85,1.51
Nifty Pharma,05-03-2026,22703.6,23082.8,22703.6,23005.5,333.3,1.47,16464622,2488.85,34.43,5.01,.68
Nifty PSU Bank,05-03-2026,9389.3,9448.95,9235.9,9372.6,45.35,.49,149512444,4404.54,9.3,1.53,2.05
Nifty Realty,05-03-2026,749.75,760,745.85,757.8,13.65,1.83,16673583,1432.54,34.13,3.67,.39
Nifty India Consumption,05-03-2026,11249.4,11346.6,11146,11310.05,121.0,1.08,132464284,12667.5,37.81,7.62,.99
