Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,24-02-2026,25641.8,25641.8,25327.6,25424.65,-288.35,-1.12,439068188,36735.38,22.25,3.46,1.23
Nifty Next 50,24-02-2026,69498.35,69948.1,69108.55,69778.45,55.35,.08,213112445,10289.62,19.51,3.62,1.34
Nifty 100,24-02-2026,26280.45,26280.45,25988,26112.2,-243.2,-.92,652180633,47025,21.74,3.48,1.25
Nifty 200,24-02-2026,14290.45,14290.45,14134.65,14214.45,-116.55,-.81,1868379825,70848.73,23.16,3.61,1.17
Nifty 500,24-02-2026,23418.1,23418.1,23168.05,23304.6,-180.35,-.77,2535000225,88111.46,23.64,3.62,1.12
Nifty Midcap 50,24-02-2026,16720.8,16758,16548.95,16718.75,-53.65,-.32,621674266,15777.5,32.18,4.45,.82
NIFTY Midcap 100,24-02-2026,59091.45,59199.35,58489.15,59066.35,-189.3,-.32,1216199192,23823.73,32.83,4.3,.82
NIFTY Smallcap 100,24-02-2026,17005.75,17024.6,16842,16958.65,-93.3,-.55,302572813,8646.15,30.2,3.67,.75
Nifty50 Dividend Points,24-02-2026,-,-,-,277.39,0.0,-,-,-,-,-,-
Nifty Auto,24-02-2026,27932.5,27991.95,27772.95,27950.0,-127.0,-.45,43568541,3711.48,33.04,4.79,1.13
Nifty Bank,24-02-2026,61392.1,61435.65,60801.85,61047.3,-216.95,-.35,587726979,13885.44,16.44,2.18,.96
Nifty Energy,24-02-2026,36649.55,37120.4,36583.6,37028.1,286.55,.78,310280500,9340.5,15.49,2.4,1.84
Nifty Financial Services,24-02-2026,28494.6,28494.6,28208.65,28295.1,-159.9,-.56,138056423,13216.27,18.07,2.98,.83
Nifty FMCG,24-02-2026,51911.35,52338.3,51815.7,52235.25,98.9,.19,29304123,2081.44,37.67,9.35,1.57
Nifty IT,24-02-2026,31031.85,31056.45,29875,30053.5,-1497.0,-4.74,93791207,11856.72,21.35,5.58,3.52
Nifty Media,24-02-2026,1423.15,1425.05,1402.4,1410.9,-18.7,-1.31,16429539,250.2,29.61,1.48,1.28
Nifty Metal,24-02-2026,11934.45,12102.15,11912.45,12073.85,111.1,.93,140330609,4595.93,20.48,3.14,1.52
Nifty MNC,24-02-2026,31384.45,31695.8,31373.1,31638.75,124.5,.4,36313815,4519.87,39.17,9.08,1.47
Nifty Pharma,24-02-2026,22557.25,22692.8,22481.65,22632.05,53.5,.24,18182427,2494.92,33.87,4.93,.69
Nifty PSU Bank,24-02-2026,9801.35,9890.55,9749.3,9825.05,28.2,.29,252237155,4661.78,9.75,1.61,1.95
Nifty Realty,24-02-2026,815.15,818.8,791.25,798.35,-20.8,-2.54,9242986,1002.91,35.96,3.86,.37
Nifty India Consumption,24-02-2026,11692.3,11708.9,11607.15,11664.05,-101.5,-.86,140110162,10760.67,38.99,7.86,.96
Nifty Commodities,24-02-2026,9867.05,9980.85,9847.8,9960.35,68.85,.7,209524034,9310.1,16.74,2.37,1.59
Nifty Dividend Opportunities 50,24-02-2026,6310.15,6313,6248.4,6296.05,-46.85,-.74,462413006,21453.34,14.46,2.92,2.74
Nifty Infrastructure,24-02-2026,9693.15,9693.15,9570.55,9644.55,-69.75,-.72,234320647,12424.48,21.8,3.16,.95
Nifty PSE,24-02-2026,10355.3,10463.25,10306.15,10439.15,58.65,.57,216390983,6303.11,11.29,2.09,2.75
Nifty Services Sector,24-02-2026,33082.85,33082.85,32558.9,32669.6,-485.3,-1.46,340225849,27357.99,21.14,3.44,1.29
Nifty50 Shariah,24-02-2026,4461.45,4465.2,4399.85,4416.2,-82.95,-1.84,95678438,11803.23,24.56,4.24,2.13
Nifty500 Shariah,24-02-2026,6842.75,6845.85,6769.85,6811.0,-71.2,-1.03,501685544,31302.59,27.21,4.59,1.41
Nifty Low Volatility 50,24-02-2026,25421.15,25426.6,25249.5,25353.65,-139.95,-.55,251608146,30400.46,30.66,5.1,1.18
Nifty Alpha 50,24-02-2026,50838.55,50988.55,50440.5,50864.25,-121.5,-.24,181855714,14411.49,31.6,4.4,.58
Nifty High Beta 50,24-02-2026,3807.45,3826.95,3766.15,3815.1,-3.4,-.09,713959217,12219.63,22.99,2.96,1.11
Nifty100 Equal Weight,24-02-2026,34013.05,34079.85,33757.35,34012.9,-125.45,-.37,652180633,47025,22.7,3.77,1.24
Nifty100 Liquid 15,24-02-2026,7686.85,7687.8,7596.65,7630.25,-80.95,-1.05,200537759,12163.83,24.46,3.45,.85
Nifty CPSE,24-02-2026,7025.2,7091.5,6979.05,7073.85,36.5,.52,103875692,3059.01,14.51,2.26,2.61
Nifty50 Value 20,24-02-2026,13039.05,13039.05,12866.4,12919.2,-162.95,-1.25,226992081,19142.19,17.19,2.97,1.89
Nifty Midcap Liquid 15,24-02-2026,15102,15116.2,14872.05,15049.0,-98.4,-.65,492058478,8850.49,35.76,4.27,.68
Nifty Shariah 25,24-02-2026,7960.9,7984.55,7856.95,7895.65,-118.55,-1.48,80590342,11713.42,28.09,4.98,1.74
India VIX,24-02-2026,14.1675,14.9475,12.3475,14.15,-0.02,-.12,-,-,-,-,-
Nifty Growth Sectors 15,24-02-2026,11421.15,11431.8,11331.25,11373.15,-145.25,-1.26,75540558,10875.73,29.26,6.75,1.87
Nifty50 TR 1x Inverse,24-02-2026,167.45,169.5,167.45,168.85,1.9,1.14,-,-,-,-,-
Nifty50 TR 2x Leverage,24-02-2026,21019.45,21019.45,20503.4,20662.35,-477.05,-2.26,-,-,-,-,-
Nifty50 PR 1x Inverse,24-02-2026,204.85,207.35,204.85,206.6,2.35,1.15,-,-,-,-,-
Nifty50 PR 2x Leverage,24-02-2026,14016.3,14016.3,13672.25,13778.2,-318.1,-2.26,-,-,-,-,-
NIFTY100 Quality 30,24-02-2026,5581.45,5588.95,5522.85,5555.2,-63.15,-1.12,134939608,14594.78,30.11,7.63,1.86
NIFTY Midcap150 Quality 50,24-02-2026,23344.35,23371.75,23136.05,23272.2,-142.2,-.61,126555549,9603.68,32,7.65,1.43
Nifty200 Momentum 30,24-02-2026,31574.35,31608.7,31341.75,31548.3,-97.8,-.31,146536068,12385,26.97,4.65,.81
Nifty India Manufacturing,24-02-2026,15604.25,15677.5,15541.1,15649.55,-4.3,-.03,250657584,17689.14,28.42,4.44,.98
Nifty100 ESG Sector Leaders,24-02-2026,4216.55,4216.55,4168.5,4188.65,-42.45,-1,435962346,34567.12,22.42,3.59,1.25
Nifty200 Alpha 30,24-02-2026,25557.7,25660.55,25386.65,25606.15,-36.9,-.14,146554240,11304.01,28.92,4.78,.66
Nifty Midcap150 Momentum 50,24-02-2026,61760.55,61938.5,61209.5,61800.25,-147.25,-.24,851673247,14187.37,32.27,5.04,.79
Nifty Smallcap250 Quality 50,24-02-2026,24472.2,24472.7,24232.55,24314.45,-239.6,-.98,44084240,1946.45,23.41,4.96,1.76
Nifty Smallcap250 Momentum Quality 100,24-02-2026,42201.2,42201.2,41769.1,42030.9,-293.2,-.69,142256446,7451.83,27.27,4.64,.94
Nifty MidSmallcap400 Momentum Quality 100,24-02-2026,46953.95,47070.45,46582.2,46967.35,-110.75,-.24,256179267,15694.03,28.07,6.03,1
Nifty500 Momentum 50,24-02-2026,52525.8,52634.7,52158.45,52537.3,-144.15,-.27,151177186,13306.63,29.65,4.89,.71
Nifty Top 10 Equal Weight,24-02-2026,9500.7,9500.7,9328.85,9354.3,-163.9,-1.72,147477169,18458.61,20.38,3.46,1.33
Nifty500 Multicap Momentum Quality 50,24-02-2026,40728.2,40757.6,40385.85,40673.65,-224.85,-.55,95439656,10371.99,32.73,7.88,1.06
Nifty Top 15 Equal Weight,24-02-2026,10738.45,10738.45,10601.35,10631.75,-133.95,-1.24,173651796,22542.16,21.66,3.76,1.24
Nifty Top 20 Equal Weight,24-02-2026,9423.15,9428.1,9298.7,9331.8,-138.15,-1.46,270967595,26819.48,25.21,3.7,1.25
Nifty500 Quality 50,24-02-2026,18357.35,18363,18145.85,18292.9,-141.3,-.77,175657987,12059.59,29.29,9.83,1.66
Nifty500 Low Volatility 50,24-02-2026,23028.55,23033.8,22827.75,22952.35,-151.2,-.65,165325902,13273.69,24.5,4.61,1.68
NIFTY100 ESG,24-02-2026,5095.55,5095.7,5036.6,5064.7,-52.2,-1.02,576320487,41343.94,22.82,3.95,1.3
NIFTY100 Enhanced ESG,24-02-2026,5134.4,5134.55,5074.4,5102.35,-53.7,-1.04,564566657,40479.69,22.85,3.96,1.3
NIFTY500 Value 50,24-02-2026,16574.05,16755.25,16521.75,16718.45,112.65,.68,558522274,14670.07,10.33,1.6,2.4
NIFTY100 Alpha 30,24-02-2026,18270.2,18274.95,18142.3,18249.1,-95.0,-.52,168456516,13422.54,28.21,5.29,.73
Nifty500 Multifactor MQVLv 50,24-02-2026,32248.9,32345.8,32074.7,32291.35,-18.75,-.06,202325296,11389.65,15.09,2.96,1.94
NIFTY Alpha Low-Volatility 30,24-02-2026,27604.25,27625.55,27485.7,27564.35,-108.7,-.39,138469059,17547.28,32.67,4.88,.69
NIFTY50 Equal Weight,24-02-2026,33371.9,33392.95,33082.8,33253.95,-266.4,-.79,439068188,36735.38,25.2,3.78,1.3
Nifty500 Equal Weight,24-02-2026,13816.3,13821,13681.25,13785.3,-74.05,-.53,2535000225,88111.46,25.53,3.59,.93
Nifty 50 Futures Index,24-02-2026,-,-,-,6412.55,-66.7,-1.03,-,-,-,-,-
Nifty 50 Arbitrage,24-02-2026,-,-,-,2640.39,-0.39,-.01,-,-,-,-,-
Nifty 50 Futures TR Index,24-02-2026,-,-,-,27191.41,-278.29,-1.01,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,24-02-2026,-,-,-,36272.4,-745.21,-2.01,13245995,1879.33,25.97,4.55,1.36
Nifty India Corporate Group Index - Aditya Birla Group,24-02-2026,-,-,-,9393.96,7.33,.08,406026500,1953.76,88.21,3.23,.45
Nifty India Corporate Group Index - Tata Group,24-02-2026,-,-,-,15007.34,-263.51,-1.73,54539113,4312.93,31.24,5.44,2.02
Nifty India Corporate Group Index - Tata Group 25% Cap,24-02-2026,14962.8,15010.95,14822.4,14928.25,-145.05,-.96,47184343,3980.98,36.5,4.72,1.5
Nifty Private Bank,24-02-2026,29090.05,29090.05,28787.3,28872.55,-135.5,-.47,518203341,10813.51,20.22,2.28,.54
Nifty Smallcap 250,24-02-2026,15981.45,15989.65,15820.15,15933.05,-94.9,-.59,535749668,14439.21,26.2,3.4,.75
Nifty Smallcap 50,24-02-2026,8337.9,8361.25,8275.55,8334.0,-30.9,-.37,132292949,5762.31,30.02,3.69,.77
Nifty Midcap 150,24-02-2026,21820.3,21864.35,21611.2,21820.2,-61.9,-.28,1347069924,26647.25,32.5,4.41,.83
Nifty Midcap Select,24-02-2026,13440.6,13483.55,13305.45,13448.65,-29.1,-.22,223860582,9360.9,28.2,4.44,.83
