Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,04-02-2026,25675.05,25818.55,25563.95,25776.0,48.45,.19,429788986,36899.12,22.38,3.5,1.26
Nifty Next 50,04-02-2026,68889.15,69354.65,68098.35,69298.55,449.15,.65,335808428,15988.46,20.09,3.6,1.37
Nifty 100,04-02-2026,26270.8,26419.9,26129.25,26382.7,69.5,.26,765597414,52887.58,21.97,3.52,1.28
Nifty 200,04-02-2026,14292.75,14381.35,14210.6,14361.95,47.5,.33,1831258633,75804.95,23.4,3.64,1.19
Nifty 500,04-02-2026,23414.1,23562.7,23284.45,23534.95,88.65,.38,2891821213,99872.34,23.9,3.66,1.13
Nifty Midcap 50,04-02-2026,16988.1,17149.15,16848,17123.4,110.2,.65,410746808,15807.99,33.53,4.56,.8
NIFTY Midcap 100,04-02-2026,59242.05,59769.5,58794.35,59683.6,376.5,.63,1065661219,22917.37,33.06,4.34,.8
NIFTY Smallcap 100,04-02-2026,16993.25,17234.7,16918.25,17205.1,216.15,1.27,668914136,14088.84,30.64,3.72,.75
Nifty50 Dividend Points,04-02-2026,-,-,-,264.68,0.0,-,-,-,-,-,-
Nifty Auto,04-02-2026,27565.6,27932.4,27427.4,27825.4,325.1,1.18,63610369,4579.03,29.9,4.77,1.14
Nifty Bank,04-02-2026,60163.35,60389.4,59891.75,60238.15,196.85,.33,255627301,8092.67,16.29,2.15,.97
Nifty Energy,04-02-2026,35787.8,36422.3,35669.45,36370.35,712.8,2,693053527,12556.61,15.58,2.36,2.03
Nifty Financial Services,04-02-2026,27737.55,27875.05,27587.6,27802.55,128.5,.46,159421970,13580.14,17.93,2.93,.83
Nifty FMCG,04-02-2026,50938.2,51244.9,50725.9,50922.75,116.1,.23,38019545,2442.52,36.61,9.14,2.2
Nifty IT,04-02-2026,37165.35,37176.7,35809.5,36345.65,-2266.1,-5.87,84599812,12554.74,25.82,6.74,2.91
Nifty Media,04-02-2026,1381.6,1399.35,1370.1,1394.35,12.65,.92,32330652,589,29.88,1.47,1.39
Nifty Metal,04-02-2026,11959.7,12104.3,11937.5,12044.25,151.05,1.27,193893127,7649.68,21.43,3.14,1.52
Nifty MNC,04-02-2026,30794.8,31074.75,30612.45,30831.3,92.9,.3,51955160,4922.3,38.55,8.86,1.49
Nifty Pharma,04-02-2026,22275.8,22323.75,22009.85,22125.8,-74.45,-.34,18214139,2555.51,33.47,4.82,.66
Nifty PSU Bank,04-02-2026,8818.3,8924.35,8747.4,8887.5,67.9,.77,108093879,2202.9,8.89,1.45,2.16
Nifty Realty,04-02-2026,815.45,826,802,824.45,9.15,1.12,12116884,1135.02,37.11,3.99,.36
Nifty India Consumption,04-02-2026,11648.8,11809.65,11579.65,11787.15,164.35,1.41,206986406,14040.43,39.17,7.95,1.1
Nifty Commodities,04-02-2026,9756.55,9929.4,9739.05,9917.95,184.95,1.9,349619598,11320.16,17.21,2.36,1.56
Nifty Dividend Opportunities 50,04-02-2026,6377.8,6404.65,6327.5,6384.05,-48.5,-.75,566334653,25582.32,14.93,2.96,2.86
Nifty Infrastructure,04-02-2026,9428.6,9564.45,9387.55,9549.45,147.35,1.57,274400171,11968.98,21.71,3.13,1.02
Nifty PSE,04-02-2026,10251.75,10409.85,10168.9,10396.25,164.0,1.6,337654725,10634.58,11.64,2.09,2.78
Nifty Services Sector,04-02-2026,33550.8,33637.5,33337.8,33573.7,-141.2,-.42,342250857,29077.83,21.61,3.54,1.26
Nifty50 Shariah,04-02-2026,4760.15,4763.1,4700,4733.65,-112.6,-2.32,105851709,13861.95,24.9,4.56,2.06
Nifty500 Shariah,04-02-2026,7040.3,7059,6986.6,7045.75,-58.8,-.83,619314016,37032.68,27.54,4.76,1.41
Nifty Low Volatility 50,04-02-2026,25173.65,25279.25,25028.7,25207.85,2.95,.01,229544273,27432.39,30.74,5.07,1.23
Nifty Alpha 50,04-02-2026,49182,49642.9,48937.1,49566.6,487.75,.99,250178617,18592.51,31.48,4.29,.6
Nifty High Beta 50,04-02-2026,3813.8,3877.35,3780.95,3869.8,60.7,1.59,1150690083,21202.58,23.94,3,1.1
Nifty100 Equal Weight,04-02-2026,33716.35,33966.7,33451.85,33927.1,204.15,.61,765597414,52887.58,22.88,3.77,1.27
Nifty100 Liquid 15,04-02-2026,7449,7519.8,7394.45,7508.5,83.6,1.13,194476239,12531.69,23.33,3.39,.86
Nifty CPSE,04-02-2026,6847,6977.7,6818.75,6945.2,130.25,1.91,153743952,4486.13,14.35,2.23,2.61
Nifty50 Value 20,04-02-2026,13214.8,13242.15,13114.3,13176.75,-158.0,-1.18,226659904,18837.42,17.21,3.03,1.98
Nifty Midcap Liquid 15,04-02-2026,15743.55,15866.65,15569.95,15842.85,39.05,.25,215227759,8969.55,38.8,4.5,.62
Nifty Shariah 25,04-02-2026,8279.2,8299.9,8192.1,8288.55,-76.55,-.92,92204800,13020.71,29.83,5.25,1.82
India VIX,04-02-2026,12.895,13.145,12.06,12.25,-0.64,-4.98,-,-,-,-,-
Nifty Growth Sectors 15,04-02-2026,12083.9,12094.35,11960.8,12011.2,-227.4,-1.86,82171958,13529.42,31.43,7.14,1.76
Nifty50 TR 1x Inverse,04-02-2026,167,167.65,166.05,166.35,-0.25,-.15,-,-,-,-,-
Nifty50 TR 2x Leverage,04-02-2026,21120.6,21356.8,20951.2,21287.0,77.25,.36,-,-,-,-,-
Nifty50 PR 1x Inverse,04-02-2026,204.2,205,203.05,203.4,-0.35,-.17,-,-,-,-,-
Nifty50 PR 2x Leverage,04-02-2026,14097.65,14255.3,13984.6,14208.75,51.6,.36,-,-,-,-,-
