Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,23-01-2026,25344.6,25347.95,25025.3,25048.65,-241.25,-.95,393944908,31844.65,21.76,3.41,1.32
Nifty Next 50,23-01-2026,67829.2,67834.25,66109.75,66260.55,-1332.25,-1.97,312723407,15019.35,19.21,3.45,1.48
Nifty 100,23-01-2026,25921.8,25922.9,25541.65,25570.5,-289.75,-1.12,706668315,46864,21.3,3.41,1.34
Nifty 200,23-01-2026,14100.9,14101.6,13872.2,13889.1,-174.8,-1.24,1825906149,68553.98,22.58,3.53,1.25
Nifty 500,23-01-2026,23072.3,23073.35,22679.7,22706.2,-302.55,-1.31,2468758298,85893.6,23.12,3.53,1.19
Nifty Midcap 50,23-01-2026,16740.9,16742.4,16320.5,16348.15,-323.85,-1.94,371486208,12872.4,31.22,4.36,.84
NIFTY Midcap 100,23-01-2026,58410.35,58416.2,57048.9,57145.65,-1045.65,-1.8,1119237834,21689.98,31.11,4.15,.84
NIFTY Smallcap 100,23-01-2026,16765.4,16770.85,16326.35,16352.75,-324.5,-1.95,392198662,11452.23,29.55,3.54,.78
Nifty50 Dividend Points,23-01-2026,-,-,-,264.68,0.0,-,-,-,-,-,-
Nifty Auto,23-01-2026,27171.05,27230.85,26766.7,26804.55,-305.65,-1.13,61005069,3707.72,29.11,4.59,1.17
Nifty Bank,23-01-2026,59305.15,59400.15,58346.25,58473.1,-727.0,-1.23,323378832,10384.09,15.91,2.15,1
Nifty Energy,23-01-2026,33867.3,33867.3,33055.3,33098.3,-648.7,-1.92,361314008,9017.09,14.12,2.16,2.46
Nifty Financial Services,23-01-2026,27193.45,27226.25,26779.05,26821.35,-328.6,-1.21,134603139,11914.86,17.3,2.83,.87
Nifty FMCG,23-01-2026,52135.6,52217.5,51594.1,51662.05,-316.35,-.61,30881010,2342.76,37.9,9.32,2.14
Nifty IT,23-01-2026,38513.7,38576.65,38149.3,38238.5,-63.25,-.17,31268848,4214.63,27.26,7.1,2.76
Nifty Media,23-01-2026,1396.2,1397,1346.15,1351.55,-34.8,-2.51,28372775,320.18,29.09,1.42,1.47
Nifty Metal,23-01-2026,11673.95,11783.9,11460.75,11477.8,-95.9,-.83,211560859,10567.14,20.37,2.99,1.59
Nifty MNC,23-01-2026,30410.2,30415.25,29993,30018.4,-261.75,-.86,69428566,4971.34,36.4,8.71,1.52
Nifty Pharma,23-01-2026,22007.05,22033.5,21676.4,21722.25,-205.75,-.94,24837385,3131.47,32.28,4.7,.71
Nifty PSU Bank,23-01-2026,9030.1,9030.1,8753.75,8781.05,-203.75,-2.27,153017806,3210.07,8.88,1.44,2.18
Nifty Realty,23-01-2026,785.85,785.95,754.55,756.35,-26.15,-3.34,24548378,2139.4,34.77,3.66,.41
Nifty India Consumption,23-01-2026,11722.45,11722.45,11519.9,11532.8,-159.35,-1.36,197533139,12642.48,38.22,7.79,1.12
