Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,30-01-2026,25247.55,25370.7,25213.65,25320.65,-98.25,-.39,508388604,40772.08,22.04,3.44,1.3
Nifty Next 50,30-01-2026,68146.85,68153,67439.8,67839.85,-569.9,-.83,392261115,20150.02,19.37,3.52,1.42
Nifty 100,30-01-2026,25858.7,25950.2,25785.7,25902.0,-119.7,-.46,900649719,60922.11,21.56,3.46,1.32
Nifty 200,30-01-2026,14061.5,14117.05,14019.4,14093.05,-58.05,-.41,3302997578,88644.11,22.92,3.58,1.23
Nifty 500,30-01-2026,22994.3,23110.2,22916,23079.5,-55.3,-.24,4157027368,119533.57,23.48,3.59,1.17
Nifty Midcap 50,30-01-2026,16642.95,16751.5,16542.8,16693.25,-43.0,-.26,389787403,15531.61,32.32,4.45,.84
NIFTY Midcap 100,30-01-2026,58151.6,58628.85,57769.45,58432.0,-109.0,-.19,2402347859,27722,32.07,4.25,.83
NIFTY Smallcap 100,30-01-2026,16739.6,16946.85,16565.65,16879.1,54.1,.32,468598435,20929.15,30.03,3.65,.77
Nifty50 Dividend Points,30-01-2026,-,-,-,264.68,0.0,-,-,-,-,-,-
Nifty Auto,30-01-2026,26287.3,26812.15,26253.55,26750.35,194.95,.73,55100211,5861.31,28.91,4.59,1.18
Nifty Bank,30-01-2026,59542.25,59906.9,59501.8,59610.45,-347.4,-.58,317798499,12587.49,16.22,2.13,.98
Nifty Energy,30-01-2026,35220.1,35233.9,34827.85,35138.05,-197.15,-.56,401333551,9771.72,14.87,2.29,2.29
Nifty Financial Services,30-01-2026,27339.65,27463.1,27288.2,27330.85,-178.75,-.65,187868974,16564.44,17.63,2.88,.85
Nifty FMCG,30-01-2026,50420.5,51339.45,50311.5,51215.2,691.3,1.37,75452496,5148.54,37.4,9.24,2.2
Nifty IT,30-01-2026,38262.65,38262.65,37704.35,38036.15,-395.1,-1.03,32598906,4687.87,27.03,7.06,2.8
Nifty Media,30-01-2026,1350.6,1390.6,1339.2,1385.2,25.1,1.85,24400823,336.67,29.69,1.46,1.4
Nifty Metal,30-01-2026,12265.2,12265.2,11776.25,11827.55,-650.5,-5.21,411481884,21116.81,20.63,3.08,1.55
