Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,27-01-2026,25063.35,25246.65,24932.55,25175.4,126.75,.51,618696080,50989.25,21.91,3.42,1.33
Nifty Next 50,27-01-2026,66696.6,66896.95,65868.6,66696.55,436.0,.66,319596561,16109.42,19.33,3.46,1.48
Nifty 100,27-01-2026,25610.35,25778.05,25452.1,25706.15,135.65,.53,938292641,67098.67,21.45,3.43,1.35
Nifty 200,27-01-2026,13916.2,14003.8,13816.75,13964.3,75.2,.54,2167795213,88988.97,22.73,3.54,1.26
Nifty 500,27-01-2026,22752.7,22886.95,22562.95,22819.25,113.05,.5,2998178455,111580.76,23.25,3.55,1.2
Nifty Midcap 50,27-01-2026,16401.35,16480.65,16208.7,16431.35,83.2,.51,437174474,13292.36,31.35,4.38,.85
NIFTY Midcap 100,27-01-2026,57358.85,57663.5,56671.4,57483.65,338.0,.59,1229502572,21890.3,31.24,4.17,.84
NIFTY Smallcap 100,27-01-2026,16445.3,16493.45,16186.75,16419.35,66.6,.41,460333132,13415.18,29.57,3.55,.77
Nifty50 Dividend Points,27-01-2026,-,-,-,264.68,0.0,-,-,-,-,-,-
Nifty Auto,27-01-2026,26619.05,26728.8,26218.3,26554.0,-250.55,-.93,66874540,6243.44,28.84,4.55,1.18
Nifty Bank,27-01-2026,58366.05,59436.8,58121.6,59205.45,732.35,1.25,388807148,16894.89,16.11,2.17,.99
Nifty Energy,27-01-2026,33252.45,33410,32890.3,33293.1,194.8,.59,455937598,12174.49,14.2,2.17,2.45
Nifty Financial Services,27-01-2026,26819.45,27162.05,26693.5,27058.0,236.65,.88,228669219,20613.59,17.45,2.85,.86
Nifty FMCG,27-01-2026,51692.2,51741.4,51126.75,51349.75,-312.3,-.6,76513419,4978.38,37.62,9.27,2.17
Nifty IT,27-01-2026,38482.85,38677.55,38074.8,38566.1,327.6,.86,40626626,5662.65,27.44,7.15,2.92
