Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,19-02-2026,25873.35,25885.3,25388.75,25454.35,-365.0,-1.41,333658812,24756.87,22.28,3.46,1.22
Nifty Next 50,19-02-2026,70379.8,70439.7,68822.5,69028.75,-1305.6,-1.86,174021500,7111.56,19.35,3.58,1.33
Nifty 100,19-02-2026,26533.65,26542.7,26022.7,26090.7,-393.9,-1.49,507680312,31868.43,21.73,3.48,1.24
Nifty 200,19-02-2026,14455.2,14458.4,14173.75,14211.95,-217.25,-1.51,1220184010,50512.02,23.17,3.61,1.16
Nifty 500,19-02-2026,23691.6,23697.9,23235.35,23297.45,-348.35,-1.47,1859154610,74385.35,23.64,3.62,1.11
Nifty Midcap 50,19-02-2026,17146.95,17159.45,16796.1,16844.25,-279.2,-1.63,246198212,10998.45,32.43,4.49,.81
NIFTY Midcap 100,19-02-2026,60278.45,60341.7,59038.8,59227.65,-955.55,-1.59,712503698,18643.59,32.92,4.31,.81
NIFTY Smallcap 100,19-02-2026,17294.6,17308.35,16970.95,17020.35,-218.9,-1.27,339092703,11817.07,30.31,3.68,.75
Nifty50 Dividend Points,19-02-2026,-,-,-,277.39,0.0,-,-,-,-,-,-
Nifty Auto,19-02-2026,28348.8,28496.85,27670.45,27734.0,-593.6,-2.1,43297227,3454.2,32.79,4.75,1.14
Nifty Bank,19-02-2026,61660.85,61678.8,60592.9,60739.55,-811.25,-1.32,190638669,7669.36,16.35,2.17,.96
Nifty Energy,19-02-2026,36598.7,36670.75,35990.1,36088.0,-429.1,-1.18,277599691,7804.29,15.16,2.34,1.89
Nifty Financial Services,19-02-2026,28519.8,28519.8,27992.2,28069.5,-393.75,-1.38,98294533,9898.31,17.93,2.96,.82
Nifty FMCG,19-02-2026,52548.65,52548.65,51381.35,51483.6,-922.9,-1.76,65704493,1867.26,37.21,9.24,1.59
Nifty IT,19-02-2026,32875.1,33167.6,32195.95,32319.4,-348.9,-1.07,40349228,5002.96,22.96,6,3.28
Nifty Media,19-02-2026,1463.2,1465.1,1425.8,1430.75,-32.65,-2.23,19691424,225,30.03,1.51,1.26
Nifty Metal,19-02-2026,12079.45,12098.25,11799.65,11842.4,-143.35,-1.2,104446882,4032.37,20.09,3.08,1.55
Nifty MNC,19-02-2026,31401.95,31423.3,30804.5,30856.15,-496.35,-1.58,63935534,2789.19,38.7,8.87,1.52
Nifty Pharma,19-02-2026,22578.95,22657.95,22375.75,22429.1,-112.85,-.5,16020600,2116.01,33.56,4.89,.67
Nifty PSU Bank,19-02-2026,9637.75,9676.05,9464.65,9505.95,-119.7,-1.24,113806063,2630.28,9.43,1.55,2.02
Nifty Realty,19-02-2026,838.1,839.65,814.6,817.85,-21.45,-2.56,12503478,1147.26,36.84,3.96,.36
Nifty India Consumption,19-02-2026,11919.5,11927.75,11651.05,11675.85,-237.5,-1.99,122604157,8452.96,39.06,7.88,.95
Nifty Commodities,19-02-2026,9959.55,9971.4,9767.8,9796.3,-136.0,-1.37,205504283,8519.68,16.46,2.33,1.61
Nifty Dividend Opportunities 50,19-02-2026,6395.85,6412,6276.35,6295.9,-79.85,-1.25,372585461,14105.47,14.47,2.92,2.72
Nifty Infrastructure,19-02-2026,9737.3,9743.8,9526.7,9559.05,-174.4,-1.79,200735559,10121.18,21.6,3.13,.96
Nifty PSE,19-02-2026,10409.6,10434.4,10217.65,10252.9,-154.05,-1.48,198252126,5808.58,11.08,2.05,2.76
Nifty Services Sector,19-02-2026,33434.85,33458.15,32831.1,32923.7,-434.85,-1.3,190129387,16800.2,21.3,3.47,1.28
Nifty50 Shariah,19-02-2026,4553.65,4573.2,4486.9,4499.75,-36.8,-.81,114659703,6968.4,25.05,4.33,2.09
Nifty500 Shariah,19-02-2026,6964.25,6977.5,6838.65,6857.15,-90.3,-1.3,481857019,24562.51,27.41,4.63,1.4
Nifty Low Volatility 50,19-02-2026,25586.4,25593.75,25156.3,25206.6,-347.65,-1.36,192884127,18525.36,30.49,5.07,1.19
Nifty Alpha 50,19-02-2026,51525.95,51575.55,50510.2,50660.6,-735.25,-1.43,160680527,15174.12,31.48,4.38,.59
Nifty High Beta 50,19-02-2026,3897.3,3901,3789.3,3805.55,-83.3,-2.14,609607559,11446.89,22.93,2.95,1.08
Nifty100 Equal Weight,19-02-2026,34353.15,34388.8,33671.9,33761.5,-552.25,-1.61,507680312,31868.43,22.6,3.75,1.24
Nifty100 Liquid 15,19-02-2026,7767.3,7768.2,7588.3,7613.6,-142.8,-1.84,124507387,8959.81,24.4,3.44,.85
Nifty CPSE,19-02-2026,6988.1,7017.3,6893.9,6915.15,-50.75,-.73,114966586,3425.96,14.18,2.21,2.67
Nifty50 Value 20,19-02-2026,13177.85,13204.7,12956.6,12989.45,-147.9,-1.13,155852808,11163.3,17.28,2.99,1.88
