Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,02-04-2026,22383.4,22782.3,22182.55,22713.1,33.7,.15,495121035,38669.56,19.96,3.1,1.37
Nifty Next 50,02-04-2026,61136.4,62100.35,59896.1,61957.6,44.85,.07,367335224,15147.44,17.54,3.31,1.59
Nifty 100,02-04-2026,22971.05,23370.5,22720.45,23304.2,31.45,.14,862456259,53817,19.49,3.14,1.41
Nifty 200,02-04-2026,12557.45,12761.35,12396.1,12728.0,7.65,.06,2233122471,74220.93,21.12,3.3,1.29
Nifty 500,02-04-2026,20666.7,20990.05,20385.65,20938.35,3.2,.02,3432203784,94604.96,21.66,3.3,1.23
Nifty Midcap 50,02-04-2026,15113.25,15305.2,14804.55,15270.5,-24.95,-.16,366402440,12193.33,32.75,4.16,.7
NIFTY Midcap 100,02-04-2026,53167.25,53804.25,52032.85,53677.05,-142.1,-.26,1370666212,20403.93,33.18,4.24,.76
NIFTY Smallcap 100,02-04-2026,15475.7,15696.05,15183.55,15650.5,-59.3,-.38,801924439,11345.76,26.67,3.06,.77
Nifty50 Dividend Points,02-04-2026,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,02-04-2026,23929.05,24171.2,23560.1,24089.65,-149.2,-.62,82961232,4734.99,28.48,4.13,1.32
Nifty Bank,02-04-2026,50625.65,51731.95,49954.85,51548.75,100.1,.19,339187207,12190.88,13.72,1.76,1.14
Nifty Energy,02-04-2026,35106.65,35384.75,34424.75,35299.4,-103.45,-.29,470858276,11076.59,14.63,2.28,1.92
Nifty Financial Services,02-04-2026,23608.45,24123.35,23373.95,24041.55,59.75,.25,195332760,15473.29,15.69,2.56,.96
Nifty FMCG,02-04-2026,45882.7,46315.25,45334.15,46232.15,96.2,.21,37518688,2460.99,33.05,8.15,1.79
Nifty IT,02-04-2026,29352.45,30558.6,29324.35,30441.45,772.4,2.6,52886073,6376.04,21.62,5.65,3.48
Nifty Media,02-04-2026,1293.8,1311.25,1267.4,1303.35,-5.05,-.39,24457221,326.35,27.46,1.37,1.35
Nifty Metal,02-04-2026,11307.05,11481.25,11052.55,11456.6,44.55,.39,147690125,5510.24,19.43,2.98,1.74
Nifty MNC,02-04-2026,28028.4,28422.9,27597.2,28367.4,96.75,.34,64817470,4968.43,35.37,7.82,1.7
Nifty Pharma,02-04-2026,21689.95,21852,21149.9,21808.4,-203.2,-.92,30067904,3763.9,32.65,4.75,.72
Nifty PSU Bank,02-04-2026,8014.9,8178.7,7833.45,8134.4,-30.4,-.37,152430484,3735.63,8.01,1.32,2.38
