Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,08-04-2026,23855.15,24025.15,23828.5,23997.35,873.7,3.78,639257993,56557.11,21.09,3.28,1.3
Nifty Next 50,08-04-2026,65491.35,66247.25,65295.05,66145.3,2994.25,4.74,503596527,21586.65,18.73,3.53,1.49
Nifty 100,08-04-2026,24503.4,24690.3,24470.3,24666.7,936.45,3.95,1142854520,78143.77,20.63,3.32,1.33
Nifty 200,08-04-2026,13383.1,13485.5,13360,13471.45,513.3,3.96,2644271217,110537.77,22.35,3.49,1.22
Nifty 500,08-04-2026,21998.6,22159.5,21952.4,22137.1,840.65,3.95,3992204087,140277.68,22.9,3.49,1.16
Nifty Midcap 50,08-04-2026,16099.15,16237.3,16023.3,16210.35,636.55,4.09,574833351,20174.47,34.76,4.41,.66
NIFTY Midcap 100,08-04-2026,56441.65,56891.75,56209.8,56799.5,2198.95,4.03,1501416697,32394.01,35.11,4.48,.72
NIFTY Smallcap 100,08-04-2026,16429.75,16558.35,16281.55,16538.05,694.75,4.39,755938895,16090.23,28.19,3.23,.73
Nifty50 Dividend Points,08-04-2026,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,08-04-2026,25396.85,26113.7,25295.95,26002.95,1629.65,6.69,183928486,8975.66,30.74,4.46,1.22
Nifty Bank,08-04-2026,54904.45,55778.25,54797.5,55703.9,2987.65,5.67,443562335,18029.45,14.82,1.9,1.06
Nifty Energy,08-04-2026,36381.8,36506.4,36030.85,36469.2,890.95,2.5,761021772,17955.94,15.12,2.35,1.85
Nifty Financial Services,08-04-2026,25688.65,26094.3,25623.9,26053.05,1367.5,5.54,271731614,25269.38,17,2.78,.88
Nifty FMCG,08-04-2026,47851.65,48076.8,47648.3,47704.25,724.15,1.54,52628370,3710.84,34.11,8.41,1.72
Nifty IT,08-04-2026,31786.7,31946.75,31272.8,31565.8,162.45,.52,56269686,6343.68,22.42,5.85,3.35
Nifty Media,08-04-2026,1347.45,1361.5,1334.05,1349.75,38.85,2.96,57033329,682.17,28.44,1.42,1.3
Nifty Metal,08-04-2026,12065.1,12140.25,11984.5,12078.95,316.3,2.69,170222428,7070.37,20.48,3.14,1.65
Nifty MNC,08-04-2026,29580.4,29828.05,29504.85,29715.05,938.8,3.26,153734219,9235.39,37.05,8.19,1.62
