Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,19-01-2026,25653.1,25653.3,25494.35,25585.5,-108.85,-.42,443087953,33632.38,22.31,3.48,1.29
Nifty Next 50,19-01-2026,68792.25,69233.7,68516.9,68693.9,-164.0,-.24,295575562,11255.42,19.98,3.57,1.43
Nifty 100,19-01-2026,26245.95,26246.1,26104.95,26181.95,-103.35,-.39,738663515,44887.81,21.89,3.49,1.31
Nifty 200,19-01-2026,14303.45,14304.8,14233.3,14270.95,-55.65,-.39,1908726412,63465.11,23.34,3.62,1.22
Nifty 500,19-01-2026,23443.3,23443.35,23324.85,23373.75,-111.55,-.47,2722038438,83263.34,23.94,3.63,1.16
Nifty Midcap 50,19-01-2026,17118.35,17163,17032.45,17103.0,-43.2,-.25,411814466,10871.61,33.39,4.56,.8
NIFTY Midcap 100,19-01-2026,59739.55,59938.7,59480.3,59647.65,-220.15,-.37,1170062897,18577.3,33.15,4.33,.8
NIFTY Smallcap 100,19-01-2026,17339.35,17366.9,17165.75,17190.7,-171.6,-.99,535495168,11699.11,31.2,3.72,.73
Nifty50 Dividend Points,19-01-2026,-,-,-,264.68,0.0,-,-,-,-,-,-
Nifty Auto,19-01-2026,27615.55,27709.5,27418.15,27632.45,36.2,.13,60352436,3779.09,30.01,4.74,1.14
Nifty Bank,19-01-2026,60093.3,60107.5,59594.6,59891.35,-203.8,-.34,492939689,13834.09,16.48,2.2,.98
Nifty Energy,19-01-2026,34294.65,34550.2,34007.1,34116.8,-229.55,-.67,290572173,8524.42,14.61,2.22,2.38
Nifty Financial Services,19-01-2026,27519.05,27578.3,27369.95,27518.95,-4.2,-.02,149231542,13439.08,17.82,2.9,.85
Nifty FMCG,19-01-2026,52015.05,52669.95,51902.3,52489.95,347.45,.67,28509359,1999.4,38.55,9.47,2.11
Nifty IT,19-01-2026,38892.4,38977.65,38624.9,38902.5,-184.15,-.47,89682388,6751.57,27.75,7.23,2.71
