Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,13-04-2026,23589.6,23907.4,23555.6,23842.65,-207.95,-.86,488844789,41931.51,20.93,3.26,1.3
Nifty Next 50,13-04-2026,66038.4,67321.8,65625.55,67123.3,-517.95,-.77,384055612,15304.2,19,3.59,1.47
Nifty 100,13-04-2026,24314.2,24666.55,24259.2,24599.65,-210.15,-.85,872900401,57235.71,20.56,3.31,1.33
Nifty 200,13-04-2026,13309.45,13513.1,13268,13473.3,-108.0,-.8,1959443101,80985.3,22.34,3.49,1.22
Nifty 500,13-04-2026,21906.15,22244.9,21816.35,22179.05,-167.7,-.75,3369452132,107707.18,22.94,3.49,1.16
Nifty Midcap 50,13-04-2026,16128.65,16393.15,16020.9,16326.3,-126.1,-.77,428289807,14146.18,35.01,4.45,.65
NIFTY Midcap 100,13-04-2026,56676.4,57743,56289.5,57513.3,-330.65,-.57,1086542700,23749.59,35.56,4.54,.71
NIFTY Smallcap 100,13-04-2026,16523.6,16805.3,16338.9,16762.0,-78.1,-.46,787595170,14806.5,28.56,3.27,.72
Nifty50 Dividend Points,13-04-2026,-,-,-,0.0,0.0,-,-,-,-,-,-
Nifty Auto,13-04-2026,26041.6,26231.4,25910.45,26084.55,-556.35,-2.09,94489235,6896.89,30.84,4.47,1.22
Nifty Bank,13-04-2026,54646,55752.65,54356.2,55605.05,-307.7,-.55,303606436,13923.52,14.8,1.9,1.06
Nifty Energy,13-04-2026,36575.55,37337.6,36532.4,37195.05,20.45,.06,893721096,18160.96,15.42,2.4,1.82
Nifty Financial Services,13-04-2026,25645.35,26135.45,25525.05,26047.5,-166.4,-.63,204267924,18392.34,16.99,2.78,.88
Nifty FMCG,13-04-2026,47486.25,47785.1,47285.35,47570.4,-623.65,-1.29,35903101,2466.31,34.01,8.38,1.73
Nifty IT,13-04-2026,30619.75,30821.4,30402.25,30669.8,-360.8,-1.16,42501059,3865.98,21.63,5.69,3.45
Nifty Media,13-04-2026,1344.45,1374.7,1327.5,1360.4,-4.8,-.35,29756022,286.03,28.67,1.43,1.29
Nifty Metal,13-04-2026,12147.75,12372.75,12104.3,12329.3,-27.1,-.22,134160993,5400.43,20.91,3.21,1.62
Nifty MNC,13-04-2026,29986,30196.4,29807.95,30028.55,-453.25,-1.49,58585334,6759.7,37.45,8.26,1.59
Nifty Pharma,13-04-2026,21971.7,22183.5,21846.05,22100.1,-64.75,-.29,21182671,2813.41,33.08,4.82,.71
Nifty PSU Bank,13-04-2026,8538.9,8730.4,8451.5,8713.9,-64.35,-.73,138257780,3533.13,8.58,1.41,2.22
Nifty Realty,13-04-2026,739.4,761.75,729.1,757.2,-2.05,-.27,12703165,1111.82,35.82,3.63,.39
Nifty India Consumption,13-04-2026,10989.25,11143.05,10972.5,11080.25,-139.1,-1.24,221147954,15858.26,36.96,7.48,1.01
Nifty Commodities,13-04-2026,9590.35,9746.8,9552.8,9728.2,-26.4,-.27,367164977,15409.75,16.35,2.31,1.7
Nifty Dividend Opportunities 50,13-04-2026,5966.5,6024.15,5946.1,6017.0,-53.75,-.89,528588240,19135.04,14.38,2.86,2.84
Nifty Infrastructure,13-04-2026,8908.75,9076.2,8894.95,9044.05,-72.7,-.8,407425914,17441.85,20.78,3.02,1.01
Nifty PSE,13-04-2026,10004,10177.7,9987.35,10162.55,-10.55,-.1,280413658,7807.39,11,2.03,2.79
Nifty Services Sector,13-04-2026,30254.85,30809.5,30213.3,30706.95,-149.6,-.48,355452188,27501.76,19.98,3.26,1.36
Nifty50 Shariah,13-04-2026,4266.85,4290.65,4250.15,4283.7,-40.95,-.95,76116487,7170.8,23.72,4.12,2.2
Nifty500 Shariah,13-04-2026,6546.45,6625.3,6523.05,6606.2,-53.95,-.81,735135541,31109.41,27.44,4.53,1.44
Nifty Low Volatility 50,13-04-2026,23597.7,23857.25,23519.9,23784.7,-212.35,-.88,289920405,32949.52,29.08,4.82,1.27
Nifty Alpha 50,13-04-2026,48757.05,49714.45,48458.1,49507.2,-321.25,-.64,306950161,20952.67,26.61,4.15,.81
Nifty High Beta 50,13-04-2026,3726.2,3827.65,3696.3,3815.15,-2.2,-.06,1050526442,20497.82,29.64,3.49,.95
Nifty100 Equal Weight,13-04-2026,32110.2,32635.65,31988.95,32553.0,-255.2,-.78,872900401,57235.71,21.66,3.59,1.34
Nifty100 Liquid 15,13-04-2026,7008.9,7106.3,6982.1,7083.4,-87.15,-1.22,199331259,17514.31,22.67,3.36,.94
Nifty CPSE,13-04-2026,7061.25,7163.15,7048.35,7142.65,18.65,.26,131673505,4128.87,14.73,2.3,2.59
Nifty50 Value 20,13-04-2026,12244.7,12408.65,12198.05,12387.8,-46.35,-.37,239698831,17931.86,16.46,2.85,1.98
Nifty Midcap Liquid 15,13-04-2026,15116.2,15413.25,15063.55,15358.65,-87.7,-.57,255476778,6766.54,46.02,5.04,.55
