Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,06-03-2026,24656.4,24700.8,24415.75,24450.45,-315.45,-1.27,433408256,35453.32,21.39,3.32,1.28
Nifty Next 50,06-03-2026,67559.05,68078.3,67392.9,67476.65,-245.55,-.36,251619400,14427.25,18.86,3.5,1.36
Nifty 100,06-03-2026,25316.2,25375.2,25101.7,25134.9,-285.2,-1.12,685027656,49880.56,20.92,3.35,1.3
Nifty 200,06-03-2026,13799.8,13841.95,13688.9,13706.0,-144.45,-1.04,1605183786,67155.49,22.34,3.48,1.21
Nifty 500,06-03-2026,22621.55,22701.6,22456.45,22481.3,-216.5,-.95,2320196889,90474.68,22.81,3.49,1.16
Nifty Midcap 50,06-03-2026,16413.3,16529.05,16283.55,16300.85,-140.7,-.86,307811929,10104.22,31.43,4.34,.84
NIFTY Midcap 100,06-03-2026,57692.15,58104.5,57336.55,57393.35,-399.2,-.69,920156130,17274.92,31.93,4.17,.84
NIFTY Smallcap 100,06-03-2026,16524.35,16658.45,16481.65,16498.9,-39.9,-.24,428148416,12811.89,29.38,3.57,.77
Nifty50 Dividend Points,06-03-2026,-,-,-,279.19,0.0,-,-,-,-,-,-
Nifty Auto,06-03-2026,27247.2,27321.05,27042.4,27076.4,-290.4,-1.06,49711404,4010.25,32.01,4.64,1.17
Nifty Bank,06-03-2026,58629.6,58807.15,57696.4,57783.25,-1272.6,-2.15,256863138,12219.2,15.48,2.02,1.01
Nifty Energy,06-03-2026,36320.85,36606.55,36160,36319.6,45.75,.13,374002982,10591.94,15.24,2.35,1.87
Nifty Financial Services,06-03-2026,27074.15,27146.15,26609.15,26652.45,-583.35,-2.14,161778246,15095.03,17.02,2.81,.87
Nifty FMCG,06-03-2026,49847.65,50173.6,49679.5,49970.6,-30.2,-.06,44348735,3608.26,36.04,8.95,1.65
Nifty IT,06-03-2026,30074.6,30664.95,30062.75,30138.4,11.6,.04,28247027,3772.77,21.41,5.59,3.51
Nifty Media,06-03-2026,1362.7,1368.95,1349.6,1354.55,-7.9,-.58,23737171,241.8,28.43,1.43,1.33
Nifty Metal,06-03-2026,12013.65,12166.3,11922.35,12000.45,-48.75,-.4,125870520,4799.82,20.36,3.12,1.53
Nifty MNC,06-03-2026,30774.25,31036.95,30667.45,30819.3,-10.3,-.03,55382844,5408.51,38.12,8.85,1.51
Nifty Pharma,06-03-2026,23005.05,23131.7,22877.55,22970.2,-35.3,-.15,14612700,2229.37,34.37,5,.68
Nifty PSU Bank,06-03-2026,9336.1,9356.7,9162.4,9184.35,-188.25,-2.01,122177411,3762.39,9.11,1.5,2.09
Nifty Realty,06-03-2026,756.4,757.35,740.6,742.0,-15.8,-2.08,12194663,1109.29,33.42,3.59,.4
Nifty India Consumption,06-03-2026,11256.85,11293.7,11183.85,11194.45,-115.6,-1.02,130297190,11469.44,37.42,7.55,1
Nifty Commodities,06-03-2026,9750.6,9824.95,9705.35,9726.7,-36.45,-.37,256340452,11607.36,16.34,2.31,1.62
Nifty Dividend Opportunities 50,06-03-2026,6173.65,6203.85,6119.5,6127.25,-53.25,-.86,450817985,17603.33,14.07,2.84,2.8
Nifty Infrastructure,06-03-2026,9300.45,9322.35,9222.05,9237.05,-82.65,-.89,283782015,14842.15,20.88,3.03,.99
Nifty PSE,06-03-2026,10333.45,10422.25,10291.25,10327.4,12.4,.12,293740961,8777.37,11.2,2.07,2.79
Nifty Services Sector,06-03-2026,31614.85,31693.65,31182.55,31230.5,-576.15,-1.81,283037509,23194.31,20.21,3.29,1.35
Nifty50 Shariah,06-03-2026,4372.8,4400.7,4361.4,4365.4,-16.6,-.38,75159737,6971.16,24.28,4.2,2.16
Nifty500 Shariah,06-03-2026,6687.85,6731.2,6669.85,6675.1,-23.3,-.35,580787622,28151.83,26.77,4.52,1.43
Nifty Low Volatility 50,06-03-2026,24582.15,24657.35,24470.45,24492.45,-169.9,-.69,237154804,27869.43,29.62,4.93,1.22
Nifty Alpha 50,06-03-2026,49464.9,49769.85,49079.3,49128.0,-406.3,-.82,193952127,19085.79,30.53,4.25,.61
Nifty High Beta 50,06-03-2026,3679.65,3718.95,3649.65,3653.6,-33.15,-.9,843443407,17331.1,22.02,2.83,1.14
Nifty100 Equal Weight,06-03-2026,32959.1,33121.9,32800.35,32835.6,-212.5,-.64,685027656,49880.56,21.92,3.64,1.28
Nifty100 Liquid 15,06-03-2026,7359.7,7379.9,7264.8,7277.1,-95.7,-1.3,211002641,14722.32,23.32,3.29,.91
Nifty CPSE,06-03-2026,7158.65,7220.7,7122,7164.8,30.1,.42,140337662,4809.09,14.7,2.29,2.66
Nifty50 Value 20,06-03-2026,12668.1,12699.4,12538.55,12552.55,-162.8,-1.28,207962980,15577.52,16.7,2.89,1.95
Nifty Midcap Liquid 15,06-03-2026,14787.6,14893.4,14688.85,14702.35,-103.9,-.7,165528208,4722.8,34.93,4.17,.69
Nifty Shariah 25,06-03-2026,7710,7758.3,7685.9,7693.05,-30.3,-.39,71366279,7111.47,27.37,4.86,1.78
India VIX,06-03-2026,17.8575,20.1425,17.1975,19.88,2.02,11.33,-,-,-,-,-
Nifty Growth Sectors 15,06-03-2026,11255.95,11343.8,11226.3,11240.45,-57.5,-.51,34469283,6478.92,28.91,6.68,1.89
Nifty50 TR 1x Inverse,06-03-2026,174.2,175.9,174,175.65,2.2,1.27,-,-,-,-,-
Nifty50 TR 2x Leverage,06-03-2026,19394.55,19444.65,19015.75,19069.1,-498.3,-2.55,-,-,-,-,-
Nifty50 PR 1x Inverse,06-03-2026,213.15,215.2,212.9,214.9,2.7,1.27,-,-,-,-,-
Nifty50 PR 2x Leverage,06-03-2026,12930.9,12964.3,12678.3,12713.9,-334.15,-2.56,-,-,-,-,-
NIFTY100 Quality 30,06-03-2026,5485.2,5530.25,5469.2,5498.75,4.9,.09,122987937,14386.11,29.81,7.55,1.9
Nifty India Corporate Group Index - Mahindra Group,06-03-2026,-,-,-,35365.06,-146.26,-.41,5358445,976.19,25.32,4.44,1.39
Nifty India Corporate Group Index - Aditya Birla Group,06-03-2026,-,-,-,8961.52,-88.05,-.97,476104988,2331.51,84.15,3.08,.47
Nifty India Corporate Group Index - Tata Group,06-03-2026,-,-,-,14589.96,-129.24,-.88,78567903,4060.5,30.38,5.29,2.08
Nifty India Corporate Group Index - Tata Group 25% Cap,06-03-2026,14478.65,14595.1,14387.3,14405.4,-129.5,-.89,49826081,2931.34,35.23,4.56,1.56
Nifty Private Bank,06-03-2026,27834.5,27949.6,27376.75,27418.6,-635.45,-2.27,186593220,8955.43,19.2,2.16,.57
Nifty Smallcap 250,06-03-2026,15449.05,15569.8,15413.9,15422.2,-43.55,-.28,644710857,21097.99,25.37,3.29,.77
Nifty Smallcap 50,06-03-2026,8128.95,8193.55,8081.35,8091.85,-47.15,-.58,125479795,4007.93,29.14,3.59,.8
Nifty Midcap 150,06-03-2026,21286.75,21437.8,21164.05,21181.8,-144.2,-.68,990458376,19496.13,31.57,4.28,.85
Nifty Midcap Select,06-03-2026,13246.8,13324.5,13153.1,13166.9,-93.6,-.71,202375232,7051.63,27.69,4.34,.84
NIFTY LargeMidcap 250,06-03-2026,16046.9,16119.1,15933,15949.95,-144.55,-.9,1675486032,69376.7,25.2,3.76,1.07
NIFTY SME EMERGE,06-03-2026,12425.35,12481.25,12413.5,12459.4,29.6,.24,-,-,20.86,3.3,.26
Nifty Oil & Gas,06-03-2026,11862.95,11890.5,11763.25,11787.3,-24.95,-.21,128470864,5758,9.96,1.61,2.19
Nifty Financial Services 25/50,06-03-2026,29353.05,29445.4,28868,28915.15,-628.25,-2.13,161778246,15095.03,16.8,2.92,.96
Nifty Healthcare Index,06-03-2026,14839.6,14895.55,14746,14791.65,-61.7,-.42,19144448,2750.54,37.57,5.55,.57
Nifty500 Multicap 50:25:25,06-03-2026,15572.65,15644.3,15476.6,15490.65,-125.45,-.8,2320196889,90474.68,24.01,3.53,1.05
Nifty Microcap 250,06-03-2026,20469,20666.25,20447.65,20465.35,-18.9,-.09,294140853,5172.02,24.01,2.61,.85
Nifty Total Market,06-03-2026,12673,12720.15,12583.65,12597.1,-117.4,-.92,2614337742,95646.7,22.85,3.45,1.15
Nifty India Digital,06-03-2026,7690.8,7781.65,7622.65,7631.55,-75.3,-.98,557677053,8981.4,56.46,7.22,1.8
Nifty Mobility,06-03-2026,22094,22142.15,21854.5,21883.3,-293.3,-1.32,209829894,11195.11,31.59,4.49,1.06
Nifty India Defence,06-03-2026,8311.45,8579.8,8289.7,8523.85,229.9,2.77,71871581,10985.44,54.82,11.38,.62
Nifty Financial Services Ex-Bank,06-03-2026,30438.05,30576.3,30000.05,30046.3,-472.6,-1.55,123967589,7086.99,22.55,4.23,.81
Nifty Housing,06-03-2026,11597.1,11637.5,11488.5,11504.45,-161.55,-1.38,408967691,20325.57,24.09,2.96,.92
Nifty Transportation & Logistics,06-03-2026,24399.5,24491.3,24169.3,24199.0,-311.4,-1.27,141238459,10241.58,39.34,5.21,.89
Nifty MidSmall Financial Services,06-03-2026,20080.4,20209.1,19844.8,19865.9,-278.85,-1.38,167848915,4787.3,27.67,2.86,.66
Nifty MidSmall Healthcare,06-03-2026,43421.55,43729.6,43226.85,43316.95,-99.1,-.23,17730641,1706.92,40.57,5.29,.44
Nifty MidSmall IT & Telecom,06-03-2026,8258.35,8395.6,8257.65,8271.4,3.55,.04,476709763,2171.13,58.81,8.09,1.31
Nifty MidSmall India Consumption,06-03-2026,17621.65,17684.45,17478.65,17503.25,-155.0,-.88,496576521,4168.84,82.43,9.11,.82
Nifty REITs & InvITs,06-03-2026,-,-,-,1344.97,9.85,.74,7344412,139.11,45.52,1.95,5.67
Nifty Core Housing,06-03-2026,14569.8,14626.3,14445.4,14464.55,-180.7,-1.23,27156002,3842.99,32.06,3.41,.55
Nifty500 Multicap Infrastructure 50:30:20,06-03-2026,13826.15,13897.85,13739.3,13756.45,-91.5,-.66,885854038,18071.36,25.41,3.33,.89
Nifty Rural,06-03-2026,15581.05,15624.75,15432.95,15447.2,-192.65,-1.23,694841029,18585.35,25.81,4.02,1.17
Nifty Capital Markets,06-03-2026,4565.5,4600.8,4523.1,4530.6,-42.65,-.93,24789191,2249.21,42.06,11.24,1.11
Nifty India New Age Consumption,06-03-2026,10792.2,10820.95,10680.45,10691.2,-143.8,-1.33,651289428,12617,54.38,6.32,.75
Nifty India Select 5 Corporate Groups (MAATR),06-03-2026,36226.3,36594.55,36113.65,36152.75,-217.4,-.6,619067358,11958.08,27.98,3.29,.98
Nifty India Railways PSU,06-03-2026,3070,3162.5,3058.8,3097.35,29.35,.96,269666953,6532.21,22.77,3.16,1.71
Nifty Consumer Durables,06-03-2026,36620.85,36810.85,36447.6,36520.7,-231.7,-.63,8340466,1435.31,58.11,11.44,.4
Nifty Non-Cyclical Consumer,06-03-2026,14484,14540.7,14384.65,14402.85,-140.75,-.97,120767528,8994.1,51.47,9.91,.93
Nifty500 Multicap India Manufacturing 50:30:20,06-03-2026,15646.1,15742.55,15598.55,15630.3,-39.1,-.25,258667439,17130.4,29.24,4.06,.84
Nifty EV & New Age Automotive,06-03-2026,2972.25,2987.75,2954.75,2957.75,-19.7,-.66,185971531,10442.54,36.77,4.65,.98
