Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,17-03-2026,23493.2,23656.8,23346.6,23581.15,172.35,.74,458788167,34495.73,20.63,3.2,1.32
Nifty Next 50,17-03-2026,64722.05,65161.4,64261.3,65021.6,559.3,.87,250630214,9819.12,18.17,3.37,1.46
Nifty 100,17-03-2026,24143.8,24310.7,23992.7,24237.8,182.4,.76,709418381,44314.85,20.17,3.23,1.35
Nifty 200,17-03-2026,13154.6,13247.2,13069.85,13209.35,105.75,.81,1710073625,63197.61,21.53,3.35,1.26
Nifty 500,17-03-2026,21585.05,21729.65,21446.15,21669.3,170.5,.79,2515334886,85757.14,21.98,3.37,1.2
Nifty Midcap 50,17-03-2026,15570.75,15692.3,15444.75,15656.75,159.75,1.03,339992534,10522.67,30.19,4.17,.87
NIFTY Midcap 100,17-03-2026,54880.8,55304.7,54446.05,55174.4,559.45,1.02,1000655244,18882.76,30.7,4.01,.87
NIFTY Smallcap 100,17-03-2026,15888.25,15957.6,15765.7,15912.9,102.55,.65,380586756,11842.42,28.36,3.44,.8
Nifty50 Dividend Points,17-03-2026,-,-,-,279.19,0.0,-,-,-,-,-,-
Nifty Auto,17-03-2026,24703.9,25195.45,24518.7,25117.1,518.0,2.11,61241311,5311.62,29.69,4.31,1.26
Nifty Bank,17-03-2026,54649.1,54996,54113.15,54876.0,462.6,.85,277121654,11004.3,14.7,1.92,1.07
Nifty Energy,17-03-2026,35846.6,36087,35617.7,35980.8,298.75,.84,450489266,10591.12,15.1,2.33,1.91
Nifty Financial Services,17-03-2026,25624.15,25795.35,25426.2,25724.65,209.4,.82,158150020,14314.89,16.43,2.71,.9
Nifty FMCG,17-03-2026,48612.6,48612.6,48040.15,48104.45,-364.4,-.75,43846756,2638.19,34.69,8.52,1.71
Nifty IT,17-03-2026,29080.75,29080.75,28288.05,28760.9,-281.65,-.97,47926604,4326.42,20.44,5.34,3.68
Nifty Media,17-03-2026,1299.45,1314.55,1291.2,1307.9,14.4,1.11,21859450,255.44,27.45,1.38,1.35
Nifty Metal,17-03-2026,11380.6,11660.1,11273.6,11637.35,319.35,2.82,156346672,5321.15,19.74,3.03,1.58
Nifty MNC,17-03-2026,29363.95,29491.8,29183.25,29411.1,165.95,.57,43823512,4923.88,36.38,8.44,1.58
Nifty Pharma,17-03-2026,22632.8,22733.7,22492.95,22597.55,50.35,.22,17216555,2264.25,33.82,4.92,.7
Nifty PSU Bank,17-03-2026,8611,8624.15,8456.85,8596.95,28.55,.33,114094616,2918.17,8.53,1.41,2.23
Nifty Realty,17-03-2026,701.1,714,695,711.25,12.6,1.8,11822427,905.39,32.03,3.44,.42
Nifty India Consumption,17-03-2026,10727.9,10847.55,10684.55,10814.45,120.05,1.12,210669061,13844.28,36.15,7.27,1.03
Nifty Commodities,17-03-2026,9402.9,9506.05,9353.05,9479.25,109.15,1.16,281998687,10851.45,15.93,2.25,1.7
Nifty Dividend Opportunities 50,17-03-2026,5906,5909.85,5835.35,5892.65,6.85,.12,422948909,15712.71,13.53,2.73,2.94
Nifty Infrastructure,17-03-2026,8809.2,8891.35,8764.75,8864.2,88.55,1.01,282213605,13198,20.03,2.91,1.06
Nifty PSE,17-03-2026,9965.15,10027.1,9863.45,10004.05,81.5,.82,217868931,5815.92,10.85,2,2.91
Nifty Services Sector,17-03-2026,30165.45,30339.7,29915.05,30249.75,212.25,.71,325957101,22570.48,19.57,3.19,1.39
Nifty50 Shariah,17-03-2026,4198.3,4201.75,4154.75,4188.05,-6.25,-.15,61601359,6356.39,23.29,4.03,2.25
Nifty500 Shariah,17-03-2026,6399.1,6424.05,6342.2,6405.7,27.75,.44,587481600,26685.32,25.69,4.34,1.49
Nifty Low Volatility 50,17-03-2026,23538.75,23613.95,23381.9,23546.3,70.85,.3,241320424,26685.42,28.48,4.74,1.27
Nifty Alpha 50,17-03-2026,47136.75,47607.55,46797.65,47510.1,617.65,1.32,210259512,16907.03,29.52,4.11,.62
Nifty High Beta 50,17-03-2026,3541.4,3579.5,3510.15,3569.5,49.7,1.41,830667124,14678.86,21.51,2.77,1.17
Nifty100 Equal Weight,17-03-2026,31527,31751.8,31337.75,31661.6,241.8,.77,709418381,44314.85,21.12,3.51,1.35
Nifty100 Liquid 15,17-03-2026,6931.6,7013.95,6900.05,6987.55,85.7,1.24,240347150,13999.57,22.4,3.16,.93
Nifty CPSE,17-03-2026,7024.45,7082.25,6961.4,7064.75,75.2,1.08,103544320,2807.36,14.49,2.26,2.63
Nifty50 Value 20,17-03-2026,12041.8,12075.85,11926.5,12033.9,30.0,.25,189333850,14105.46,16.01,2.77,2.03
Nifty Midcap Liquid 15,17-03-2026,14350,14449.95,14222.1,14404.65,143.5,1.01,204766810,5423.32,34.22,4.09,.71
Nifty Shariah 25,17-03-2026,7421.75,7428.8,7351.35,7404.8,1.1,.01,60423131,6514.51,26.34,4.67,1.85
India VIX,17-03-2026,21.6025,21.6025,19.6275,19.79,-1.81,-8.39,-,-,-,-,-
Nifty Growth Sectors 15,17-03-2026,10686.65,10735.25,10606.35,10697.4,31.85,.3,51787504,8089.65,27.52,6.35,1.99
Nifty50 TR 1x Inverse,17-03-2026,182.85,184,181.6,182.15,-1.35,-.74,-,-,-,-,-
Nifty50 TR 2x Leverage,17-03-2026,17554.85,17797.6,17337.7,17685.85,254.2,1.46,-,-,-,-,-
Nifty50 PR 1x Inverse,17-03-2026,223.7,225.1,222.15,222.85,-1.65,-.73,-,-,-,-,-
Nifty50 PR 2x Leverage,17-03-2026,11704.25,11866.1,11559.5,11791.6,169.45,1.46,-,-,-,-,-
NIFTY100 Quality 30,17-03-2026,5279.6,5294.45,5242.15,5280.15,14.35,.27,113333117,10350.82,28.62,7.22,1.96
NIFTY100 ESG,17-03-2026,4667.7,4703.85,4637.3,4689.45,36.8,.79,621856338,38007.88,21.12,3.66,1.4
NIFTY100 Enhanced ESG,17-03-2026,4701.2,4737.3,4670.6,4722.7,36.6,.78,611461053,37251.35,21.14,3.66,1.4
NIFTY500 Value 50,17-03-2026,15535.7,15682,15409.95,15645.9,169.65,1.1,491947894,12805.96,9.67,1.5,2.59
NIFTY100 Alpha 30,17-03-2026,16643.45,16831.9,16564.7,16782.95,200.35,1.21,245397218,16776.15,25.94,4.86,.8
Nifty500 Multifactor MQVLv 50,17-03-2026,29740.1,29935.75,29561.05,29886.25,225.55,.76,233371557,12275.42,13.96,2.74,2.11
NIFTY Alpha Low-Volatility 30,17-03-2026,25162.15,25357.05,25039.7,25289.6,174.3,.69,163192722,19578.78,29.97,4.47,.75
Nifty500 Flexicap Quality 30,17-03-2026,9197.5,9210.8,9119.55,9181.85,13.85,.15,98383725,9830.45,28.49,6.21,2
NIFTY50 Equal Weight,17-03-2026,30777.45,31029.9,30609.7,30926.7,231.8,.76,458788167,34495.73,23.44,3.51,1.4
Nifty500 Equal Weight,17-03-2026,12812.45,12869.5,12722.3,12838.65,82.65,.65,2515334886,85757.14,23.78,3.34,1
Nifty 50 Futures Index,17-03-2026,-,-,-,5915.86,47.14,.8,-,-,-,-,-
Nifty 50 Arbitrage,17-03-2026,-,-,-,2652.61,-0.99,-.04,-,-,-,-,-
Nifty 50 Futures TR Index,17-03-2026,-,-,-,25177.72,205.36,.82,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,17-03-2026,-,-,-,33586.69,684.26,2.08,7355574,1405.52,24.05,4.22,1.47
Nifty India Corporate Group Index - Aditya Birla Group,17-03-2026,-,-,-,8558.13,56.26,.66,452277473,1703.39,80.36,2.95,.49
