Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,02-03-2026,24659.25,24989.35,24603.5,24865.7,-312.95,-1.24,519228821,41306.37,21.76,3.38,1.25
Nifty Next 50,02-03-2026,67393.3,69144.45,67352.55,68650.25,-1060.65,-1.52,301787990,12803.85,19.19,3.56,1.34
Nifty 100,02-03-2026,25308.3,25699.55,25288.75,25563.5,-334.05,-1.29,821016811,54110.22,21.28,3.41,1.27
Nifty 200,02-03-2026,13769.9,14019.45,13764.6,13931.3,-189.75,-1.34,2014635178,75119.66,22.71,3.53,1.19
Nifty 500,02-03-2026,22547,22992.35,22539.65,22835.95,-330.9,-1.43,2888282145,102343.66,23.17,3.55,1.14
Nifty Midcap 50,02-03-2026,16201.9,16705.65,16197.8,16520.35,-245.25,-1.46,496158747,12729.61,31.85,4.4,.82
NIFTY Midcap 100,02-03-2026,57090.8,58814.35,57074.75,58180.5,-935.1,-1.58,1193618367,21009.44,32.37,4.23,.83
NIFTY Smallcap 100,02-03-2026,16289.6,16839.2,16284.7,16632.4,-296.5,-1.75,518722797,17266.1,29.62,3.6,.77
Nifty50 Dividend Points,02-03-2026,-,-,-,277.39,0.0,-,-,-,-,-,-
Nifty Auto,02-03-2026,27196.4,27951.85,27133.55,27540.1,-618.75,-2.2,67868660,5509.69,32.56,4.72,1.15
Nifty Bank,02-03-2026,59204.3,60177.5,59148,59839.65,-689.35,-1.14,387102246,11729.09,16.03,2.09,.98
Nifty Energy,02-03-2026,36014.35,36756.75,35972.7,36453.4,-591.8,-1.6,556716948,13747.9,15.3,2.36,1.86
Nifty Financial Services,02-03-2026,27353.1,27710.45,27298,27564.1,-305.65,-1.1,153446648,14145.95,17.6,2.9,.84
Nifty FMCG,02-03-2026,49968.25,50879.5,49954.15,50751.65,-390.55,-.76,40154959,2539.62,36.6,9.09,1.62
Nifty IT,02-03-2026,30020.15,30587.3,29889.5,30272.95,-330.9,-1.08,30927820,3645.62,21.51,5.62,3.5
Nifty Media,02-03-2026,1380.15,1406.2,1373.8,1390.35,-25.8,-1.82,19101924,254.42,29.18,1.46,1.3
Nifty Metal,02-03-2026,11909.9,12344.8,11896,12269.8,29.15,.24,140557257,5897.72,20.81,3.19,1.5
Nifty MNC,02-03-2026,30826.4,31548.55,30823.8,31334.7,-368.4,-1.16,45843737,4999.08,38.79,9,1.48
Nifty Pharma,02-03-2026,22385.3,22994.55,22354.1,22956.7,4.35,.02,17940019,2423.6,34.35,5,.69
Nifty PSU Bank,02-03-2026,9538.05,9742.4,9526.5,9639.35,-181.1,-1.84,191151737,4163.24,9.56,1.58,1.99
Nifty Realty,02-03-2026,751.75,770.65,751.75,768.05,-12.55,-1.61,13565284,1306.96,34.59,3.72,.39
Nifty India Consumption,02-03-2026,11218.6,11444.4,11213.95,11352.85,-184.25,-1.6,179988003,14892.86,37.95,7.65,.98
Nifty Commodities,02-03-2026,9684.6,9892.25,9673.8,9849.55,-106.4,-1.07,339187601,13958.14,16.55,2.34,1.6
Nifty Dividend Opportunities 50,02-03-2026,6171.4,6281.45,6165.5,6246.65,-69.75,-1.1,529412225,19657.99,14.35,2.9,2.75
Nifty Infrastructure,02-03-2026,9242.1,9403,9209.15,9320.1,-212.55,-2.23,413669338,19964.16,21.06,3.06,.98
Nifty PSE,02-03-2026,10205.2,10406.25,10191.4,10354.5,-101.6,-.97,352434791,10891.99,11.23,2.07,2.73
Nifty Services Sector,02-03-2026,31689.35,32119.5,31673.1,31975.15,-350.45,-1.08,317275913,24684.1,20.69,3.37,1.31
Nifty50 Shariah,02-03-2026,4356.85,4421.2,4355.6,4410.4,-29.85,-.67,118659208,8906.12,24.53,4.24,2.13
Nifty500 Shariah,02-03-2026,6646.15,6799.55,6644.8,6759.05,-86.4,-1.26,661246532,29821.24,27.11,4.57,1.41
Nifty Low Volatility 50,02-03-2026,24571.3,24959.4,24561.85,24877.85,-275.4,-1.09,233444219,28859.97,30.09,5,1.2
Nifty Alpha 50,02-03-2026,49013.5,50582.65,48997.05,49979.45,-683.7,-1.35,257114109,21127.04,31.05,4.32,.59
Nifty High Beta 50,02-03-2026,3631.55,3751.85,3627.7,3704.75,-76.85,-2.03,950594061,17055.51,22.32,2.87,1.12
Nifty100 Equal Weight,02-03-2026,32893.45,33602.75,32876.25,33403.3,-462.55,-1.37,821016811,54110.22,22.3,3.71,1.25
Nifty100 Liquid 15,02-03-2026,7337.6,7460.85,7328,7403.85,-106.55,-1.42,255679684,17642.06,23.73,3.35,.87
Nifty CPSE,02-03-2026,6961.25,7114,6953.2,7074.75,-11.85,-.17,203637510,6241.68,14.51,2.26,2.61
Nifty50 Value 20,02-03-2026,12652.55,12824.5,12645.9,12797.7,-92.35,-.72,228006213,14845.4,17.02,2.94,1.91
Nifty Midcap Liquid 15,02-03-2026,14531.9,14981.55,14526.3,14781.55,-277.2,-1.84,336902487,5255.03,35.12,4.2,.69
