Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,12-02-2026,25906.7,25906.7,25752.4,25807.2,-146.65,-.57,419388014,38977.68,22.58,3.51,1.2
Nifty Next 50,12-02-2026,70221.8,70223.65,69605.7,69916.1,-300.45,-.43,209659652,9872.07,19.66,3.63,1.31
Nifty 100,12-02-2026,26552.25,26552.25,26381.9,26448.05,-144.25,-.54,629047666,48849.74,22.04,3.53,1.22
Nifty 200,12-02-2026,14481.75,14481.75,14385.6,14425.5,-76.65,-.53,1659056581,69569.9,23.49,3.66,1.14
Nifty 500,12-02-2026,23753.8,23753.8,23589.05,23651.55,-131.5,-.55,2269373786,90067.83,23.98,3.68,1.09
Nifty Midcap 50,12-02-2026,17323.3,17325.45,17184.7,17251.5,-78.55,-.45,361054771,13468.84,33.51,4.6,.83
NIFTY Midcap 100,12-02-2026,60695.8,60699.55,60194.1,60470.85,-283.7,-.47,1030008915,20720.16,33.16,4.4,.82
NIFTY Smallcap 100,12-02-2026,17433.15,17435,17275.2,17344.1,-110.9,-.64,258353088,9435.52,30.84,3.75,.73
Nifty50 Dividend Points,12-02-2026,-,-,-,274.43,0.0,-,-,-,-,-,-
Nifty Auto,12-02-2026,28607.15,28615.05,28360.1,28504.05,-34.65,-.12,95259135,5822.15,34.67,4.89,1.11
Nifty Bank,12-02-2026,60786.15,60864.4,60597.65,60739.75,-5.6,-.01,266999047,12991.36,16.35,2.17,.96
Nifty Energy,12-02-2026,36693.85,36767.35,36276.5,36452.65,-204.6,-.56,376338046,9299.5,15.4,2.37,1.71
Nifty Financial Services,12-02-2026,28263.8,28413.85,28231.95,28385.2,108.25,.38,158646970,15884.23,18.17,2.99,.83
Nifty FMCG,12-02-2026,52212.7,52221.75,51571.5,51885.75,-266.35,-.51,30881301,2748.15,37.18,9.31,1.58
Nifty IT,12-02-2026,34439,34488.8,33058.2,33160.2,-1934.95,-5.51,97097117,11500.13,23.56,6.15,3.19
Nifty Media,12-02-2026,1489.4,1492.65,1469.4,1474.05,-19.55,-1.31,24843399,429.27,30.94,1.55,1.37
Nifty Metal,12-02-2026,12257.3,12325.1,12206.45,12279.2,2.65,.02,122137615,5136.67,20.32,3.2,1.53
Nifty MNC,12-02-2026,31566.55,31571.05,31302.95,31422.35,-72.9,-.23,59476225,5077.12,39.2,9.03,1.51
Nifty Pharma,12-02-2026,22486.1,22486.1,22248.65,22386.3,-47.9,-.21,22418625,2721.57,33.81,4.88,.66
Nifty PSU Bank,12-02-2026,9246.9,9294.6,9186.55,9229.45,-20.75,-.22,121934463,5287.01,9.16,1.51,2.08
Nifty Realty,12-02-2026,852.85,853.2,839.45,842.35,-12.4,-1.45,9449312,943.82,37.94,4.08,.35
Nifty India Consumption,12-02-2026,12017.85,12020.4,11942.35,11976.5,-35.9,-.3,102764885,11389.11,40.49,8.08,.93
Nifty Commodities,12-02-2026,10063.45,10069.3,9968.95,10019.9,-41.55,-.41,194239421,8141.19,16.74,2.38,1.52
Nifty Dividend Opportunities 50,12-02-2026,6428.65,6431.15,6341.25,6359.8,-96.65,-1.5,472761408,24927.95,14.62,2.95,2.7
Nifty Infrastructure,12-02-2026,9696.35,9696.35,9631.3,9663.3,-18.8,-.19,257059927,12051.11,21.97,3.17,.95
Nifty PSE,12-02-2026,10400,10435.85,10285.6,10348.5,-37.35,-.36,266817810,7929.13,11.25,2.07,2.69
Nifty Services Sector,12-02-2026,33509.85,33515.8,33355.35,33409.4,-227.1,-.68,319342947,29167.75,21.62,3.52,1.26
Nifty50 Shariah,12-02-2026,4662.45,4665.55,4581.35,4589.65,-113.9,-2.42,97896891,12592.05,25.38,4.42,2.05
Nifty500 Shariah,12-02-2026,7056.7,7058.4,6965.95,6983.55,-105.05,-1.48,574761168,34562.28,27.85,4.71,1.37
Nifty Low Volatility 50,12-02-2026,25572.4,25572.4,25358.1,25427.55,-162.8,-.64,266474186,31898.41,30.79,5.12,1.17
Nifty Alpha 50,12-02-2026,51014.9,51397.7,50757.05,51351.65,336.5,.66,184282374,15934.74,32.27,4.44,.58
Nifty High Beta 50,12-02-2026,3929.35,3929.65,3897.85,3920.6,-16.55,-.42,888240244,15533.61,23.69,3.04,1.11
Nifty100 Equal Weight,12-02-2026,34310.65,34311.6,34082.95,34204.8,-138.05,-.4,629047666,48849.74,22.91,3.8,1.21
Nifty100 Liquid 15,12-02-2026,7733.1,7774.6,7709.6,7752.25,15.7,.2,181302318,13836.02,24.85,3.5,.83
Nifty CPSE,12-02-2026,6962.15,7002,6916.45,6959.3,8.55,.12,145503234,3216.13,14.38,2.23,2.54
Nifty50 Value 20,12-02-2026,13220.95,13235.85,13109.25,13131.0,-164.35,-1.24,234651505,20689.28,17.41,3.02,1.83
Nifty Midcap Liquid 15,12-02-2026,16048.4,16049.1,15895.65,15929.5,-134.8,-.84,157338283,5079.78,38.13,4.52,.67
Nifty Shariah 25,12-02-2026,8250.4,8250.4,8108.1,8130.55,-144.8,-1.75,80374892,10855.78,29.21,5.14,1.69
India VIX,12-02-2026,11.5475,12.1075,10.8475,11.73,0.18,1.54,-,-,-,-,-
Nifty Growth Sectors 15,12-02-2026,12023.3,12025.65,11765.2,11788.9,-288.85,-2.39,93400120,13089.29,30.64,7.01,1.8
Nifty50 TR 1x Inverse,12-02-2026,165.55,166.55,165.55,166.2,0.95,.57,-,-,-,-,-
Nifty50 TR 2x Leverage,12-02-2026,21497.5,21497.5,21240.95,21332.05,-246.7,-1.14,-,-,-,-,-
Nifty50 PR 1x Inverse,12-02-2026,202.55,203.75,202.55,203.3,1.15,.57,-,-,-,-,-
Nifty50 PR 2x Leverage,12-02-2026,14338.4,14338.4,14167.25,14228.05,-164.5,-1.14,-,-,-,-,-
NIFTY100 Quality 30,12-02-2026,5734.55,5735.2,5669.35,5682.75,-66.9,-1.16,149408280,17255.46,30.81,7.81,1.75
Nifty200 Momentum 30,12-02-2026,31651.6,31908.55,31529.2,31892.3,237.05,.75,172925833,14911,27.18,4.7,.81
Nifty India Manufacturing,12-02-2026,15816.55,15816.6,15713.35,15781.8,-26.9,-.17,336968601,20364.3,28.69,4.48,.96
Nifty100 ESG Sector Leaders,12-02-2026,4305.1,4305.25,4271.5,4281.2,-34.7,-.8,392534892,33617.6,22.91,3.67,1.21
Nifty200 Alpha 30,12-02-2026,25656.45,25858.05,25548.3,25841.75,176.05,.69,143858132,11940.23,29.58,4.83,.65
Nifty Midcap150 Momentum 50,12-02-2026,63260.55,63318.45,62842.4,63276.75,33.8,.05,650854106,10542.45,33.54,5.16,.8
Nifty Smallcap250 Quality 50,12-02-2026,25064.6,25066.3,24699.4,24743.5,-335.9,-1.34,47273532,2044.29,23.86,5.05,1.74
Nifty Smallcap250 Momentum Quality 100,12-02-2026,43222.05,43226,42846.2,42925.9,-328.45,-.76,142293722,8633.19,27.82,4.73,.93
Nifty MidSmallcap400 Momentum Quality 100,12-02-2026,48295.3,48296.55,47905.2,48098.75,-207.5,-.43,227464803,15173.13,29.05,6.17,1
Nifty500 Momentum 50,12-02-2026,52978.4,53285.8,52745.55,53249.9,297.25,.56,132745724,14272.45,30.06,4.95,.71
Nifty Top 10 Equal Weight,12-02-2026,9572.9,9590.7,9482.4,9491.75,-113.25,-1.18,142209632,18057.42,20.68,3.51,1.31
Nifty500 Multicap Momentum Quality 50,12-02-2026,41588.85,41722.3,41377.2,41691.85,122.65,.3,130216218,12272.55,33.94,8.07,1.07
Nifty Top 15 Equal Weight,12-02-2026,10838.75,10840.05,10744,10761.35,-90.65,-.84,193183765,25404.54,21.99,3.8,1.22
Nifty Top 20 Equal Weight,12-02-2026,9593.3,9597.6,9516.95,9533.3,-83.55,-.87,244137630,28219.98,25.82,3.78,1.22
Nifty500 Quality 50,12-02-2026,19031.8,19033.2,18784.6,18807.6,-258.75,-1.36,151236115,11061.47,30.19,10.11,1.6
Nifty500 Low Volatility 50,12-02-2026,23072.05,23072.15,22909.8,23004.75,-70.9,-.31,192470458,15380.06,24.58,4.62,1.6
NIFTY100 ESG,12-02-2026,5185.1,5185.65,5146.1,5158.95,-40.35,-.78,557072592,43378.1,23.32,4.02,1.27
NIFTY100 Enhanced ESG,12-02-2026,5225.65,5226.15,5185.75,5198.6,-41.45,-.79,547709682,42688.35,23.36,4.03,1.27
NIFTY500 Value 50,12-02-2026,16671.05,16683.25,16500.35,16585.15,-77.6,-.47,427468283,13454.48,10.11,1.59,2.37
NIFTY100 Alpha 30,12-02-2026,18333.05,18403.85,18265.65,18391.75,49.95,.27,175070313,14608.86,28.34,5.33,.72
Nifty500 Multifactor MQVLv 50,12-02-2026,32227.55,32227.75,31978.75,32119.85,-68.1,-.21,191418590,12290.9,15.08,2.95,1.93
NIFTY Alpha Low-Volatility 30,12-02-2026,27257.95,27371.5,27172.45,27355.9,127.0,.47,157949850,19556.55,32.44,4.84,.67
NIFTY50 Equal Weight,12-02-2026,33703.35,33706.4,33511.8,33616.8,-145.15,-.43,419388014,38977.68,25.43,3.82,1.25
Nifty500 Equal Weight,12-02-2026,14106.15,14106.55,13979.9,14010.15,-104.35,-.74,2269373786,90067.83,25.71,3.65,.91
Nifty 50 Futures Index,12-02-2026,-,-,-,6518.08,-34.28,-.52,-,-,-,-,-
Nifty 50 Arbitrage,12-02-2026,-,-,-,2635.25,-0.59,-.02,-,-,-,-,-
Nifty 50 Futures TR Index,12-02-2026,-,-,-,27584.59,-140.52,-.51,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,12-02-2026,-,-,-,38591.61,-1145.87,-2.88,9709565,1976.48,29.29,4.85,1.28
Nifty India Corporate Group Index - Aditya Birla Group,12-02-2026,-,-,-,9590.02,-23.73,-.25,511619927,1632.89,79.12,3.3,.44
Nifty India Corporate Group Index - Tata Group,12-02-2026,-,-,-,15554.54,-315.68,-1.99,64089019,5894.87,32.51,5.78,1.95
Nifty India Corporate Group Index - Tata Group 25% Cap,12-02-2026,15376.85,15378.15,15216.05,15295.75,-130.55,-.85,57014223,5630.22,37.69,4.84,1.47
Nifty Private Bank,12-02-2026,29037.95,29088.25,28940.2,28987.05,-29.15,-.1,208354744,8524.33,20.3,2.29,.54
Nifty Smallcap 250,12-02-2026,16362.55,16363.6,16201.85,16250.15,-119.75,-.73,494057990,17881.74,26.74,3.47,.73
Nifty Smallcap 50,12-02-2026,8505,8505,8435.6,8478.1,-38.9,-.46,115380066,5632.77,30.45,3.76,.77
Nifty Midcap 150,12-02-2026,22350.4,22351.55,22160.6,22252.4,-112.0,-.5,1146268130,23336.34,32.79,4.5,.83
Nifty Midcap Select,12-02-2026,13934.8,13935.3,13835.95,13893.5,-59.3,-.43,277600169,9720.79,29.55,4.58,.82
NIFTY LargeMidcap 250,12-02-2026,16839.55,16839.55,16715.8,16769.6,-87.9,-.52,1775315796,72186.09,26.39,3.96,1.02
NIFTY SME EMERGE,12-02-2026,13361.45,13381.75,13266.6,13278.2,-70.65,-.53,-,-,22.65,3.53,.24
Nifty Oil & Gas,12-02-2026,12371.05,12394.95,12137.8,12205.55,-146.75,-1.19,99971118,3952.78,10.47,1.67,2.06
Nifty Financial Services 25/50,12-02-2026,30826.65,30998.05,30776.8,30967.6,122.55,.4,158646970,15884.23,18.05,3.12,.92
Nifty Healthcare Index,12-02-2026,14543.75,14543.75,14401.3,14507.05,0.35,0,29386458,3593.24,37.07,5.44,.55
Nifty500 Multicap 50:25:25,12-02-2026,16376.85,16376.95,16257.55,16298.75,-94.85,-.58,2269373786,90067.83,25.22,3.72,1
Nifty Microcap 250,12-02-2026,22333.65,22334.1,22161.15,22232.9,-110.65,-.5,371790513,9513.24,25.94,2.84,.79
Nifty Total Market,12-02-2026,13325.6,13325.6,13234.15,13268.15,-73.5,-.55,2641164299,99581.07,24.04,3.64,1.08
Nifty India Digital,12-02-2026,8769.95,8774.2,8578.7,8596.75,-267.2,-3.01,668913522,16773.85,63.76,8.14,1.58
Nifty Mobility,12-02-2026,23467.05,23476.3,23315.45,23438.2,-54.0,-.23,209373288,10851.56,34.15,4.81,.99
Nifty India Defence,12-02-2026,7996.4,8090.05,7938.8,8064.45,58.05,.73,29744385,3862.17,52.93,10.76,.52
Nifty Financial Services Ex-Bank,12-02-2026,32015.45,32316,31866.5,32288.25,240.85,.75,91179616,7525.8,24.35,4.55,.78
Nifty Housing,12-02-2026,12119.2,12121.75,12065.4,12104.65,-5.55,-.05,370652581,18442.3,25.35,3.12,.88
Nifty Transportation & Logistics,12-02-2026,26163.65,26184.7,25942.05,26085.75,-98.8,-.38,153451045,8553.35,43.42,5.62,.82
Nifty MidSmall Financial Services,12-02-2026,21216.1,21282.25,21029.1,21252.8,43.85,.21,217816152,6543.98,29.89,3.06,.63
Nifty MidSmall Healthcare,12-02-2026,42928.4,42983.1,42551.7,42841.5,19.55,.05,25756766,2086.61,40.47,5.23,.44
Nifty MidSmall IT & Telecom,12-02-2026,9566.35,9568.05,9290.35,9309.8,-337.4,-3.5,540723891,4295.42,66.19,9.11,1.16
Nifty MidSmall India Consumption,12-02-2026,18620.95,18620.95,18507.7,18594.95,-45.2,-.24,549199336,4229.26,88.32,9.68,.74
Nifty REITs & InvITs,12-02-2026,-,-,-,1395.89,-11.32,-.8,6802768,119.49,47.44,2.03,5.57
Nifty Core Housing,12-02-2026,15537.4,15537.5,15410.65,15499.8,-43.25,-.28,24774234,3327.94,34.36,3.65,.51
Nifty500 Multicap Infrastructure 50:30:20,12-02-2026,14423.15,14423.35,14327.5,14374.55,-42.3,-.29,907495179,17590.78,26.58,3.48,.86
Nifty Rural,12-02-2026,16262.95,16283.7,16201.45,16265.55,20.4,.13,771544413,21142.74,27.34,4.23,1.12
Nifty Capital Markets,12-02-2026,4913.75,4924.75,4872.9,4912.65,-7.35,-.15,17999230,2677.68,45.61,12.18,1.02
