Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,18-03-2026,23632.9,23862.25,23618.45,23777.8,196.65,.83,382876401,28805.6,20.81,3.23,1.31
Nifty Next 50,18-03-2026,65200.5,65883.4,65050.65,65668.5,646.9,.99,241520118,10620.98,18.35,3.4,1.45
Nifty 100,18-03-2026,24293.2,24529.6,24283.65,24446.45,208.65,.86,624396519,39426.59,20.35,3.26,1.34
Nifty 200,18-03-2026,13239.05,13396.35,13236.1,13351.15,141.8,1.07,1615002825,59778.12,21.76,3.39,1.25
Nifty 500,18-03-2026,21721.45,21990.4,21713.4,21917.4,248.1,1.14,2895708648,84557.62,22.23,3.4,1.19
Nifty Midcap 50,18-03-2026,15686.95,16042.3,15685.55,15983.45,326.7,2.09,294333466,11341.51,30.82,4.25,.86
NIFTY Midcap 100,18-03-2026,55289.1,56497.8,55253.3,56289.85,1115.45,2.02,990606306,20351.53,31.32,4.09,.86
NIFTY Smallcap 100,18-03-2026,15976.1,16230.7,15946.3,16179.15,266.25,1.67,567549815,13132.99,28.83,3.5,.74
Nifty50 Dividend Points,18-03-2026,-,-,-,279.19,0.0,-,-,-,-,-,-
Nifty Auto,18-03-2026,25262.25,25703.7,25250.8,25598.85,481.75,1.92,50907403,4621.71,30.26,4.39,1.24
Nifty Bank,18-03-2026,54927.05,55554.15,54689.1,55326.05,450.05,.82,223220072,7903.44,14.82,1.93,1.06
Nifty Energy,18-03-2026,36065.85,36277.75,35969.05,36141.95,161.15,.45,574041051,7916.37,15.17,2.34,1.89
Nifty Financial Services,18-03-2026,25774.55,26012.35,25615.4,25927.35,202.7,.79,146916816,12017.9,16.56,2.73,.89
Nifty FMCG,18-03-2026,48215.35,48368.7,47997,48079.0,-25.45,-.05,38150736,2566.42,34.68,8.52,1.71
Nifty IT,18-03-2026,28912.05,30055.6,28912.05,29559.3,798.4,2.78,54432991,5193.65,21,5.48,3.58
Nifty Media,18-03-2026,1312.05,1360.2,1311.75,1351.7,43.8,3.35,26770685,354.78,28.37,1.42,1.3
Nifty Metal,18-03-2026,11635.75,11676.15,11503,11625.45,-11.9,-.1,112545631,4181.81,19.72,3.03,1.58
Nifty MNC,18-03-2026,29491.85,29666.7,29403.1,29531.9,120.8,.41,39600057,4512.91,36.53,8.48,1.53
Nifty Pharma,18-03-2026,22633.7,22774.75,22584.3,22632.6,35.05,.16,18241860,2387.02,33.87,4.93,.69
Nifty PSU Bank,18-03-2026,8615.6,8704.5,8610.8,8661.95,65.0,.76,100801139,2297.15,8.59,1.42,2.21
Nifty Realty,18-03-2026,711.3,735.6,708.9,730.8,19.55,2.75,16079223,1334.97,32.92,3.54,.41
Nifty India Consumption,18-03-2026,10846.85,10971.25,10845.15,10941.45,127.0,1.17,172881237,12525.31,36.57,7.35,1.02
Nifty Commodities,18-03-2026,9493.75,9547.05,9448.95,9509.85,30.6,.32,219663247,8232.22,15.98,2.26,1.7
Nifty Dividend Opportunities 50,18-03-2026,5912.75,5976.85,5910.1,5943.15,50.5,.86,378197881,15144.76,13.65,2.75,2.9
Nifty Infrastructure,18-03-2026,8887.7,9003.75,8887.25,8966.75,102.55,1.16,220185809,10941.42,20.27,2.94,1.04
Nifty PSE,18-03-2026,10052.85,10090.9,10006,10048.95,44.9,.45,200150163,5451.85,10.9,2.01,2.9
Nifty Services Sector,18-03-2026,30305.3,30668.15,30291.35,30540.9,291.15,.96,290366738,19863.37,19.76,3.22,1.38
Nifty50 Shariah,18-03-2026,4199.1,4265.2,4194.9,4230.55,42.5,1.01,55596243,6454.65,23.53,4.07,2.22
Nifty500 Shariah,18-03-2026,6421.75,6520.75,6414.7,6492.75,87.05,1.36,646194215,25725.32,26.04,4.39,1.46
Nifty Low Volatility 50,18-03-2026,23588.55,23806.85,23585.55,23745.55,199.25,.85,193018159,21355.44,28.72,4.78,1.26
Nifty Alpha 50,18-03-2026,47707.55,48320,47648.3,48229.0,718.9,1.51,179908250,16174.68,29.97,4.17,.61
Nifty High Beta 50,18-03-2026,3582.85,3653.9,3579.55,3639.55,70.05,1.96,903946345,14903.64,21.93,2.82,1.15
Nifty100 Equal Weight,18-03-2026,31749.8,32085.6,31718.75,31988.25,326.65,1.03,624396519,39426.59,21.34,3.55,1.33
Nifty100 Liquid 15,18-03-2026,7014.15,7072.25,7013.7,7057.25,69.7,1,193175889,10873.03,22.62,3.19,.92
Nifty CPSE,18-03-2026,7099.3,7113.55,7020.8,7055.65,-9.1,-.13,111178651,2671.53,14.47,2.25,2.64
Nifty50 Value 20,18-03-2026,12062.45,12200,12050.05,12133.5,99.6,.83,160094088,11389.29,16.14,2.79,2.01
Nifty Midcap Liquid 15,18-03-2026,14432.25,14796.55,14431,14724.25,319.6,2.22,175894607,5684.67,34.98,4.18,.69
Nifty Shariah 25,18-03-2026,7420.35,7533.15,7420.35,7501.35,96.55,1.3,52748383,7105.75,26.68,4.74,1.83
India VIX,18-03-2026,19.79,19.79,18.5925,18.72,-1.07,-5.39,-,-,-,-,-
Nifty Growth Sectors 15,18-03-2026,10738.1,10919.45,10738.1,10830.0,132.6,1.24,56198488,7775.48,27.86,6.43,1.96
Nifty50 TR 1x Inverse,18-03-2026,181.8,181.8,180.05,180.7,-1.45,-.8,-,-,-,-,-
