Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,07-01-2026,26143.1,26187.15,26067.9,26140.75,-37.95,-.14,338216740,30232.63,22.76,3.55,1.28
Nifty Next 50,07-01-2026,70681.9,70833.65,70404.35,70690.6,88.5,.13,172102492,9285.23,20.56,3.68,1.39
Nifty 100,07-01-2026,26783.3,26828.95,26702.8,26781.8,-26.95,-.1,510319232,39517.86,22.36,3.57,1.3
Nifty 200,07-01-2026,14605.75,14638.4,14571,14615.85,0.1,0,1582209417,60553.66,23.9,3.71,1.21
Nifty 500,07-01-2026,23995.85,24050.55,23942.25,24016.6,6.1,.03,2265878328,79968.48,24.6,3.73,1.14
Nifty Midcap 50,07-01-2026,17480.25,17572.45,17443.55,17534.35,63.0,.36,425818577,10496.41,34.27,4.67,.78
NIFTY Midcap 100,07-01-2026,61178.55,61548.85,61082.7,61424.7,276.15,.45,1071890185,21035.8,34.37,4.46,.78
NIFTY Smallcap 100,07-01-2026,17891.95,17993.7,17840.3,17958.5,70.65,.39,422518562,11146.9,32.63,3.88,.74
Nifty50 Dividend Points,07-01-2026,-,-,-,249.14,0.0,-,-,-,-,-,-
Nifty Auto,07-01-2026,28919.95,28938.65,28501.1,28692.4,-229.95,-.8,35561998,3311.88,31.16,4.92,1.1
Nifty Bank,07-01-2026,60039.7,60065.4,59760.65,59990.85,-127.55,-.21,376309588,11478.35,16.52,2.2,.98
Nifty Energy,07-01-2026,35801.15,35872.95,35630.4,35763.5,-85.65,-.24,231800666,6265.97,15.32,2.33,2.28
Nifty Financial Services,07-01-2026,27891.85,27895.95,27766.7,27853.35,-91.75,-.33,142442560,13436.1,18.04,2.93,.84
Nifty FMCG,07-01-2026,53636.2,53782.6,53319.6,53493.8,-68.15,-.13,49749623,3003.86,39.29,9.65,2.07
Nifty IT,07-01-2026,37951.3,38736.8,37940.85,38688.8,711.4,1.87,25138539,3606.96,27.22,7.19,2.9
Nifty Media,07-01-2026,1455.55,1460.2,1445,1457.55,0.95,.07,22233085,485.48,59.67,1.53,1.28
Nifty Metal,07-01-2026,11567.15,11612.25,11492.15,11524.0,-0.05,0,172048203,6330.23,20.55,3,1.58
Nifty MNC,07-01-2026,31037.35,31140,30896.35,31015.3,-33.05,-.11,32314440,3966.2,37.66,9,1.48
Nifty Pharma,07-01-2026,23117.05,23492.55,23021.8,23286.25,159.4,.69,32875246,4287.74,34.41,5.04,.66
Nifty PSU Bank,07-01-2026,8803.75,8825,8718.35,8767.65,-23.3,-.27,91489322,2026.3,8.99,1.43,2.13
