Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,30-03-2026,22549.65,22714.1,22283.85,22331.4,-488.2,-2.14,698599891,53093.7,19.62,3.05,1.39
Nifty Next 50,30-03-2026,61170.4,61818.25,60269.3,60349.8,-1693.25,-2.73,414585176,17886.29,17.09,3.22,1.63
Nifty 100,30-03-2026,23114.15,23289.5,22829.95,22875.5,-524.55,-2.24,1113185067,70979.99,19.13,3.08,1.43
Nifty 200,30-03-2026,12630.6,12715.9,12468,12492.1,-297.1,-2.32,2543608991,98236.94,20.73,3.23,1.31
Nifty 500,30-03-2026,20762.35,20889.25,20490.45,20528.05,-492.1,-2.34,3579355980,119590.94,21.24,3.23,1.25
Nifty Midcap 50,30-03-2026,15194.1,15228.9,14954.9,14983.35,-412.75,-2.68,658274639,16212.68,32.13,4.08,.71
NIFTY Midcap 100,30-03-2026,53383.45,53555.6,52554.45,52650.0,-1447.8,-2.68,1430423924,27256.95,32.55,4.16,.78
NIFTY Smallcap 100,30-03-2026,15435.4,15493.95,15168.5,15203.8,-416.2,-2.66,467816004,10496.92,25.91,2.97,.78
Nifty50 Dividend Points,30-03-2026,-,-,-,279.19,0.0,-,-,-,-,-,-
Nifty Auto,30-03-2026,23969.1,24193.1,23708.2,23769.6,-582.35,-2.39,117711995,6654.29,28.1,4.07,1.34
Nifty Bank,30-03-2026,51527.9,51624.5,50105.25,50275.35,-1999.25,-3.82,564854267,19609.94,13.38,1.71,1.17
Nifty Energy,30-03-2026,34893.65,35524.1,34799.85,34849.7,-365.1,-1.04,620604081,13646.25,14.45,2.25,1.94
Nifty Financial Services,30-03-2026,24012.4,24057.8,23450.85,23521.8,-851.4,-3.49,320475079,24431.4,15.35,2.51,.98
Nifty FMCG,30-03-2026,46141.7,46412.2,45436,45538.65,-888.55,-1.91,56901444,3719.92,32.56,8.02,1.81
Nifty IT,30-03-2026,29225.6,29439.05,28961.4,29062.6,-479.05,-1.62,61885803,6442.95,20.64,5.39,3.64
Nifty Media,30-03-2026,1275,1306.15,1257.6,1261.85,-32.35,-2.5,41034606,545.43,26.59,1.33,1.39
Nifty Metal,30-03-2026,11154.9,11340.6,11087.95,11138.4,-23.25,-.21,238086714,8508.56,18.89,2.9,1.79
Nifty MNC,30-03-2026,28073.85,28356.75,27739.75,27791.25,-544.35,-1.92,101985944,7246.23,34.66,7.66,1.73
Nifty Pharma,30-03-2026,22412.9,22468.1,22205.9,22232.25,-333.35,-1.48,28211922,3791.1,33.28,4.85,.71
Nifty PSU Bank,30-03-2026,8098.9,8129.15,7850.75,7873.45,-376.0,-4.56,189291703,4238.54,7.76,1.28,2.46
Nifty Realty,30-03-2026,661.8,667.9,648.6,651.15,-19.0,-2.84,23122046,1758.35,30.8,3.12,.46
Nifty India Consumption,30-03-2026,10427.15,10515.6,10312.95,10334.35,-224.7,-2.13,181543119,17433.93,34.47,6.97,1.09
