Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,03-02-2026,26308.05,26341.2,25641.3,25727.55,639.15,2.55,637263148,52338.39,22.35,3.5,1.26
Nifty Next 50,03-02-2026,69488.65,69884.15,68446.95,68849.4,1776.2,2.65,424746737,18914.52,19.97,3.57,1.38
Nifty 100,03-02-2026,26849.75,26893.85,26216.5,26313.2,657.85,2.56,1062009885,71252.91,21.92,3.51,1.28
Nifty 200,03-02-2026,14584.9,14613.55,14261.25,14314.45,364.7,2.61,2926086456,103663.04,23.29,3.63,1.19
Nifty 500,03-02-2026,23870.2,23912.35,23355.5,23446.3,609.3,2.67,3833568757,134446.7,23.86,3.64,1.14
Nifty Midcap 50,03-02-2026,17221.15,17368.85,16944.2,17013.2,463.9,2.8,415670192,18704.31,32.65,4.53,.81
NIFTY Midcap 100,03-02-2026,60026.8,60456.8,59034.7,59307.1,1639.5,2.84,1864076571,32410.13,32.42,4.31,.81
NIFTY Smallcap 100,03-02-2026,17295.6,17366.1,16938.75,16988.95,465.6,2.82,506545905,18328.82,30.29,3.67,.74
Nifty50 Dividend Points,03-02-2026,-,-,-,264.68,0.0,-,-,-,-,-,-
Nifty Auto,03-02-2026,28088.1,28095.85,27271.8,27500.3,751.15,2.81,103625198,8241.76,29.55,4.71,1.15
Nifty Bank,03-02-2026,61411.2,61764.85,59793.2,60041.3,1422.3,2.43,368345752,16163.36,16.24,2.14,.98
Nifty Energy,03-02-2026,35939.55,36087.1,35256.15,35657.55,1044.25,3.02,510543924,15403.42,15.28,2.32,2.07
Nifty Financial Services,03-02-2026,28125.85,28275.2,27546.95,27674.05,875.05,3.27,246688650,21427.54,17.85,2.92,.83
Nifty FMCG,03-02-2026,51534.7,51840.25,50505.55,50806.65,183.45,.36,77476447,4345.07,36.74,9.17,2.2
Nifty IT,03-02-2026,40301.4,40301.4,38550.5,38611.75,537.6,1.41,47484533,5328.45,27.43,7.16,2.74
Nifty Media,03-02-2026,1409.25,1410.85,1376,1381.7,20.35,1.49,28426218,509.42,29.61,1.45,1.4
