Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,20-02-2026,25406.55,25663.55,25379.75,25571.25,116.9,.46,309373691,24024.7,22.38,3.48,1.22
Nifty Next 50,20-02-2026,68913.2,69650,68862.25,69453.65,424.9,.62,209214597,10958.36,19.47,3.6,1.35
Nifty 100,20-02-2026,26042.6,26307.4,26017.5,26217.3,126.6,.49,518588288,34983.06,21.84,3.5,1.24
Nifty 200,20-02-2026,14184.4,14325.7,14172.2,14280.85,68.9,.48,1234334967,52950.33,23.28,3.62,1.16
Nifty 500,20-02-2026,23252.75,23467.4,23221.15,23395.0,97.55,.42,1795939131,73020.52,23.74,3.63,1.11
Nifty Midcap 50,20-02-2026,16811.35,16964.5,16783.85,16912.35,68.1,.4,268465691,11214.61,32.56,4.5,.81
NIFTY Midcap 100,20-02-2026,59087.75,59690.5,58989.75,59513.95,286.3,.48,715746679,17967.27,33.08,4.33,.81
NIFTY Smallcap 100,20-02-2026,16995.55,17087.6,16937.5,17002.15,-18.2,-.11,299194292,9341.71,30.28,3.68,.77
Nifty50 Dividend Points,20-02-2026,-,-,-,277.39,0.0,-,-,-,-,-,-
Nifty Auto,20-02-2026,27734.7,27933.85,27617.45,27846.8,112.8,.41,42732079,4115.7,32.92,4.77,1.14
Nifty Bank,20-02-2026,60627.85,61360.5,60562.35,61172.0,432.45,.71,219798497,8317.93,16.47,2.18,.96
Nifty Energy,20-02-2026,36092,36670.85,36089.35,36581.15,493.15,1.37,297153719,10705.34,15.37,2.37,1.87
Nifty Financial Services,20-02-2026,28012.85,28299.35,27999.25,28210.6,141.1,.5,96060400,9265.24,18.02,2.97,.83
Nifty FMCG,20-02-2026,51443.85,51969.25,51401.45,51772.7,289.1,.56,34849525,1754.06,37.42,9.29,1.58
Nifty IT,20-02-2026,32098.95,32339.8,31804.75,32004.05,-315.35,-.98,41721264,4803.18,22.74,5.94,3.31
Nifty Media,20-02-2026,1428.55,1437.75,1415.35,1426.8,-3.95,-.28,18969761,263.16,29.95,1.5,1.27
Nifty Metal,20-02-2026,11856.35,12029.6,11812.25,11989.95,147.55,1.25,108607615,3563.8,20.34,3.12,1.53
Nifty MNC,20-02-2026,30844.8,31319.45,30833.7,31211.5,355.35,1.15,51459320,7047.23,39.14,8.97,1.49
Nifty Pharma,20-02-2026,22400.45,22515,22320.15,22452.4,23.3,.1,14750755,1799.79,33.6,4.89,.7
Nifty PSU Bank,20-02-2026,9493.25,9691.1,9470.5,9665.8,159.85,1.68,146042988,3328.13,9.59,1.58,1.98
Nifty Realty,20-02-2026,814.15,824.1,812,820.7,2.85,.35,9136980,855.07,36.96,3.97,.36
Nifty India Consumption,20-02-2026,11659.75,11747.6,11630.55,11710.7,34.85,.3,86877793,8293.91,39.17,7.9,.95
Nifty Commodities,20-02-2026,9794.5,9913.8,9780,9888.45,92.15,.94,211049148,8194.79,16.62,2.35,1.6
Nifty Dividend Opportunities 50,20-02-2026,6283.5,6345.05,6271.9,6332.1,36.2,.57,388079370,14598.44,14.55,2.94,2.72
Nifty Infrastructure,20-02-2026,9539.65,9659.75,9539.3,9632.25,73.2,.77,225783971,10117.73,21.77,3.16,.95
Nifty PSE,20-02-2026,10241.9,10390.3,10237.4,10366.9,114.0,1.11,215101657,6083.82,11.21,2.07,2.77
Nifty Services Sector,20-02-2026,32828.8,33110.15,32780.75,32981.05,57.35,.17,200044501,16127.82,21.34,3.47,1.27
Nifty50 Shariah,20-02-2026,4486.5,4529.75,4468.35,4512.65,12.9,.29,86660360,6514.13,25.12,4.34,2.08
Nifty500 Shariah,20-02-2026,6837.8,6896.25,6816,6879.25,22.1,.32,495613663,25354.71,27.5,4.64,1.4
Nifty Low Volatility 50,20-02-2026,25168.55,25400.25,25118.45,25319.0,112.4,.45,164620017,18482.98,30.63,5.09,1.18
Nifty Alpha 50,20-02-2026,50583,51212.65,50463,51047.1,386.5,.76,154629376,13224.6,31.72,4.41,.59
Nifty High Beta 50,20-02-2026,3798.5,3838.75,3793,3820.1,14.55,.38,580216884,10981.32,23.02,2.96,1.11
Nifty100 Equal Weight,20-02-2026,33715.9,34100.95,33687.5,33989.0,227.5,.67,518588288,34983.06,22.75,3.77,1.24
Nifty100 Liquid 15,20-02-2026,7607.1,7692.25,7587.7,7660.4,46.8,.61,115093500,8180.27,24.55,3.46,.84
Nifty CPSE,20-02-2026,6927.7,7034.65,6922.55,7022.35,107.2,1.55,115009313,3425.55,14.4,2.24,2.64
Nifty50 Value 20,20-02-2026,12962.45,13091.25,12936.45,13058.75,69.3,.53,164189040,11599.83,17.37,3,1.87
Nifty Midcap Liquid 15,20-02-2026,15359,15499.2,15330.55,15384.15,-13.6,-.09,145003061,5532.89,36.55,4.37,.66
Nifty Shariah 25,20-02-2026,7954.45,8034.4,7940.25,8004.55,29.5,.37,84993253,7042.21,28.51,5.06,1.71
India VIX,20-02-2026,13.46,14.7825,13.095,14.36,0.9,6.71,-,-,-,-,-
Nifty Growth Sectors 15,20-02-2026,11480.1,11541.75,11423,11509.55,9.35,.08,56975020,7103.9,29.64,6.84,1.84
Nifty50 TR 1x Inverse,20-02-2026,168.9,169.1,167.2,167.8,-0.75,-.44,-,-,-,-,-
Nifty50 TR 2x Leverage,20-02-2026,20647.6,21065.85,20605,20915.9,187.6,.91,-,-,-,-,-
Nifty50 PR 1x Inverse,20-02-2026,206.65,206.85,204.55,205.3,-0.95,-.46,-,-,-,-,-
Nifty50 PR 2x Leverage,20-02-2026,13768.4,14047.3,13739.95,13947.25,125.05,.9,-,-,-,-,-
NIFTY100 Quality 30,20-02-2026,5579.7,5640.6,5574.05,5612.85,24.25,.43,102081189,11239.58,30.67,7.71,1.84
NIFTY Midcap150 Quality 50,20-02-2026,23248.05,23487.75,23174.75,23405.2,105.25,.45,79767694,7310.96,32.18,7.69,1.41
Nifty200 Momentum 30,20-02-2026,31248.95,31663.75,31208.1,31588.8,297.4,.95,125612140,10238.78,27,4.66,.81
Nifty India Manufacturing,20-02-2026,15512,15680.4,15494.1,15631.25,106.2,.68,228792805,17646.46,28.45,4.44,.98
Nifty100 ESG Sector Leaders,20-02-2026,4189.35,4228.6,4180.55,4211.7,14.05,.33,306855237,24793.82,22.56,3.62,1.24
Nifty200 Alpha 30,20-02-2026,25352.55,25702.95,25310.85,25621.75,231.8,.91,116588143,9621.04,28.93,4.79,.66
Nifty Midcap150 Momentum 50,20-02-2026,61661.6,62382.15,61523.5,62190.8,392.95,.64,422575568,8669.06,32.47,5.07,.79
Nifty Smallcap250 Quality 50,20-02-2026,24312.55,24416.05,24176.7,24306.5,-56.4,-.23,31899784,1417.73,23.4,4.96,1.76
Nifty Smallcap250 Momentum Quality 100,20-02-2026,42011.35,42226,41830.85,42084.2,-9.4,-.02,117624058,7614.84,27.3,4.64,.96
Nifty MidSmallcap400 Momentum Quality 100,20-02-2026,46707.3,47138.9,46616.4,47008.6,208.9,.45,228596211,15530.08,28.1,6.03,1
Nifty500 Momentum 50,20-02-2026,52115.05,52713.8,52025,52568.65,394.0,.76,128895067,12364.47,29.67,4.89,.71
Nifty Top 10 Equal Weight,20-02-2026,9390,9499.7,9384.1,9464.15,41.95,.45,85497677,10302.41,20.62,3.5,1.31
Nifty500 Multicap Momentum Quality 50,20-02-2026,40448.6,40874.05,40382.45,40741.0,237.0,.59,104141077,11099.54,32.78,7.89,1.06
Nifty Top 15 Equal Weight,20-02-2026,10617.5,10732.6,10605.35,10696.0,58.5,.55,119663048,14198.73,21.8,3.78,1.23
Nifty Top 20 Equal Weight,20-02-2026,9361.5,9452.75,9347.25,9420.35,41.25,.44,149433028,15736.63,25.47,3.73,1.23
Nifty500 Quality 50,20-02-2026,18333.85,18515.65,18292.1,18436.1,69.95,.38,160428328,10757.64,29.72,9.91,1.65
Nifty500 Low Volatility 50,20-02-2026,22799.95,23007.55,22752.5,22947.3,118.0,.52,135792313,10041.81,24.5,4.61,1.68
NIFTY100 ESG,20-02-2026,5064.95,5114.05,5053.85,5095.25,20.65,.41,442436975,30264.1,23.02,3.97,1.29
NIFTY100 Enhanced ESG,20-02-2026,5103.7,5153.15,5092.35,5134.1,20.6,.4,434902862,29715.89,23.05,3.98,1.29
NIFTY500 Value 50,20-02-2026,16430.3,16620.45,16413.15,16585.45,144.25,.88,439317802,11967.35,10.25,1.59,2.42
NIFTY100 Alpha 30,20-02-2026,18087.25,18290.25,18049.4,18228.4,122.5,.68,155341045,11175.82,28.18,5.28,.73
Nifty500 Multifactor MQVLv 50,20-02-2026,31758.25,32097.2,31728.75,32029.3,201.2,.63,190763672,10032.21,14.96,2.94,1.96
NIFTY Alpha Low-Volatility 30,20-02-2026,27248.7,27480.15,27175,27402.4,129.75,.48,90313133,12012.73,32.48,4.85,.69
NIFTY50 Equal Weight,20-02-2026,33113.25,33469.05,33061.65,33356.05,204.75,.62,309373691,24024.7,25.29,3.79,1.29
Nifty500 Equal Weight,20-02-2026,13770.9,13853.7,13717.05,13816.05,18.55,.13,1795939131,73020.52,25.6,3.6,.93
Nifty 50 Futures Index,20-02-2026,-,-,-,6449.45,35.27,.55,-,-,-,-,-
Nifty 50 Arbitrage,20-02-2026,-,-,-,2638.97,-1.34,-.05,-,-,-,-,-
Nifty 50 Futures TR Index,20-02-2026,-,-,-,27329.93,153.89,.57,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,20-02-2026,-,-,-,36815.67,-319.03,-.86,5278151,1107.07,26.36,4.62,1.34
Nifty India Corporate Group Index - Aditya Birla Group,20-02-2026,-,-,-,9359.48,53.7,.58,331098105,1539.13,87.89,3.22,.45
Nifty India Corporate Group Index - Tata Group,20-02-2026,-,-,-,15297.94,96.79,.64,62156245,3627.66,31.85,5.55,1.98
Nifty India Corporate Group Index - Tata Group 25% Cap,20-02-2026,14938.05,15113.65,14901.05,15061.9,123.15,.82,41887307,2276.64,36.83,4.77,1.49
