Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,25-02-2026,25512.6,25652.6,25428.2,25482.5,57.85,.23,414215742,31084.17,22.3,3.46,1.22
Nifty Next 50,25-02-2026,70045.5,70498.75,70014.65,70399.25,620.8,.89,272343816,11156.37,19.68,3.65,1.33
Nifty 100,25-02-2026,26204.15,26347.35,26131.45,26200.5,88.3,.34,686559558,42240.53,21.81,3.49,1.24
Nifty 200,25-02-2026,14264.75,14336.7,14225.25,14268.65,54.2,.38,1612764959,66904.38,23.25,3.62,1.16
Nifty 500,25-02-2026,23388.45,23500.1,23325.9,23403.8,99.2,.43,2267944113,86603.47,23.74,3.64,1.11
Nifty Midcap 50,25-02-2026,16787.95,16871.35,16717.45,16828.7,109.95,.66,371803739,11921.16,32.4,4.48,.81
NIFTY Midcap 100,25-02-2026,59280,59528.15,59051.6,59406.1,339.75,.58,926205401,24663.85,33.02,4.32,.81
NIFTY Smallcap 100,25-02-2026,17032.75,17146.9,17015.9,17118.7,160.05,.94,302909204,8788.39,30.48,3.7,.75
Nifty50 Dividend Points,25-02-2026,-,-,-,277.39,0.0,-,-,-,-,-,-
Nifty Auto,25-02-2026,27969.15,28574.25,27917.5,28466.5,516.5,1.85,46282725,4541.49,33.65,4.88,1.11
Nifty Bank,25-02-2026,61175.05,61317.55,60816.75,61043.35,-3.95,-.01,321648989,10957.98,16.43,2.18,.96
Nifty Energy,25-02-2026,37122.4,37306.5,36927.95,37118.6,90.5,.24,297633574,7513.08,15.53,2.4,1.84
Nifty Financial Services,25-02-2026,28374.05,28458.75,28236,28339.65,44.55,.16,117559123,11364.65,18.1,2.99,.83
Nifty FMCG,25-02-2026,52444.65,52519.9,51864,52105.3,-129.95,-.25,28310323,1987.44,37.58,9.33,1.58
Nifty IT,25-02-2026,30343.9,30999.75,30340.95,30526.35,472.85,1.57,50644125,6374.57,21.69,5.66,3.47
Nifty Media,25-02-2026,1417.5,1423.4,1402.65,1417.4,6.5,.46,15722212,254.44,29.75,1.49,1.28
Nifty Metal,25-02-2026,12180.95,12430.15,12155.45,12399.4,325.55,2.7,220409958,7897.23,21.03,3.23,1.48
Nifty MNC,25-02-2026,31792.25,32065.6,31777.55,32027.7,388.95,1.23,49404262,5868.27,39.65,9.19,1.45
Nifty Pharma,25-02-2026,22685.5,23071.95,22617.35,23051.85,419.8,1.85,19540277,2656.82,34.5,5.02,.68
Nifty PSU Bank,25-02-2026,9855.6,9872.9,9724.2,9787.2,-37.85,-.39,231708573,4713.48,9.71,1.6,1.96
Nifty Realty,25-02-2026,801.95,811.3,792.15,796.85,-1.5,-.19,9502691,914.98,35.89,3.86,.37
Nifty India Consumption,25-02-2026,11696.7,11748.1,11658,11703.7,39.65,.34,171618755,11512.94,39.12,7.89,.95
Nifty Commodities,25-02-2026,10002.1,10078.6,9983,10035.2,74.85,.75,229753923,9644.71,16.86,2.38,1.57
Nifty Dividend Opportunities 50,25-02-2026,6326.8,6376.55,6309,6342.15,46.1,.73,502988571,20191.54,14.57,2.94,2.72
Nifty Infrastructure,25-02-2026,9680.8,9720.75,9585.6,9615.45,-29.1,-.3,234242045,10859.39,21.73,3.15,.95
Nifty PSE,25-02-2026,10458.85,10544.05,10423.95,10501.65,62.5,.6,226357583,5662.25,11.35,2.1,2.74
Nifty Services Sector,25-02-2026,32794.8,32993,32649.6,32740.55,70.95,.22,303004151,21958.82,21.18,3.45,1.28
Nifty50 Shariah,25-02-2026,4438.6,4488.2,4438.15,4465.0,48.8,1.11,59480130,7142.54,24.83,4.29,2.11
Nifty500 Shariah,25-02-2026,6844.35,6895.15,6844.1,6875.95,64.95,.95,529434978,29380.71,27.47,4.64,1.4
Nifty Low Volatility 50,25-02-2026,25437.45,25580.95,25428.3,25508.9,155.25,.61,197504008,24117.41,30.85,5.13,1.17
Nifty Alpha 50,25-02-2026,51089.45,51468.1,50948.25,51265.7,401.45,.79,183803889,13598.55,31.85,4.43,.57
Nifty High Beta 50,25-02-2026,3833.3,3861.05,3818.95,3841.75,26.65,.7,744796900,15283.51,23.15,2.98,1.1
Nifty100 Equal Weight,25-02-2026,34127.05,34325.9,34097.15,34238.2,225.3,.66,686559558,42240.53,22.85,3.8,1.23
Nifty100 Liquid 15,25-02-2026,7652.45,7677.8,7577.65,7597.3,-32.95,-.43,241864263,12795.4,24.35,3.43,.85
Nifty CPSE,25-02-2026,7084.3,7147.25,7076.6,7126.25,52.4,.74,79376358,2315.03,14.62,2.28,2.59
Nifty50 Value 20,25-02-2026,12970.65,13068.3,12953.95,12998.45,79.25,.61,167141041,14311.35,17.29,2.99,1.88
Nifty Midcap Liquid 15,25-02-2026,15126.95,15228.65,15058.8,15142.4,93.4,.62,257334457,5905.62,35.98,4.3,.67
Nifty Shariah 25,25-02-2026,7929.4,7995.85,7928.35,7974.95,79.3,1,51921412,7553.88,28.37,5.03,1.72
India VIX,25-02-2026,14.15,14.15,12.8375,13.49,-0.66,-4.68,-,-,-,-,-
Nifty Growth Sectors 15,25-02-2026,11417.75,11589.85,11417.65,11544.5,171.35,1.51,45478075,7741.92,29.7,6.86,1.84
Nifty50 TR 1x Inverse,25-02-2026,168.3,168.85,167.35,168.5,-0.35,-.21,-,-,-,-,-
Nifty50 TR 2x Leverage,25-02-2026,20802.55,21029.9,20665.7,20753.6,91.25,.44,-,-,-,-,-
Nifty50 PR 1x Inverse,25-02-2026,205.9,206.6,204.75,206.15,-0.45,-.22,-,-,-,-,-
Nifty50 PR 2x Leverage,25-02-2026,13871.7,14023.3,13780.4,13839.05,60.85,.44,-,-,-,-,-
NIFTY100 Quality 30,25-02-2026,5575.3,5633.5,5574.6,5614.85,59.65,1.07,100471772,10899.1,30.44,7.71,1.84
Nifty 50 Futures Index,25-02-2026,-,-,-,6419.69,7.14,.11,-,-,-,-,-
Nifty 50 Arbitrage,25-02-2026,-,-,-,2642.51,2.12,.08,-,-,-,-,-
