Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,24-03-2026,22878.45,23057.3,22624.2,22912.4,399.75,1.78,538098322,43385.04,20.05,3.11,1.36
Nifty Next 50,24-03-2026,62668.15,62876.2,61349.35,62360.7,945.8,1.54,335152712,12615.68,17.43,3.23,1.53
Nifty 100,24-03-2026,23489.5,23654.75,23192.55,23499.3,401.05,1.74,873251034,56000.73,19.56,3.13,1.39
Nifty 200,24-03-2026,12819.4,12912,12647.4,12832.9,238.6,1.89,1951122647,74790.82,20.91,3.25,1.29
Nifty 500,24-03-2026,21045.45,21183.15,20743.9,21067.0,402.75,1.95,2828911371,96794.53,21.37,3.27,1.23
Nifty Midcap 50,24-03-2026,15322.85,15477.35,15079.55,15411.75,411.25,2.74,336455230,11433.49,29.72,4.1,.85
NIFTY Midcap 100,24-03-2026,53878.3,54315.95,52958.8,54087.0,1369.45,2.6,1077871613,18790.09,30.09,3.93,.86
NIFTY Smallcap 100,24-03-2026,15459.7,15534.7,15115.7,15495.2,396.5,2.63,464107969,12605.3,27.61,3.35,.77
Nifty50 Dividend Points,24-03-2026,-,-,-,279.19,0.0,-,-,-,-,-,-
Nifty Auto,24-03-2026,24458.45,24728.3,24055.45,24515.25,580.5,2.43,70228556,5032.13,28.98,4.2,1.29
Nifty Bank,24-03-2026,52384.8,52949.15,51827.5,52605.65,1167.9,2.27,340583044,14262.57,14.09,1.84,1.11
Nifty Energy,24-03-2026,35531.9,35531.9,34721.05,35082.45,243.0,.7,492762819,11248.49,14.72,2.27,1.94
Nifty Financial Services,24-03-2026,24388.1,24614.1,24102.75,24482.2,523.0,2.18,231355219,19218.62,15.64,2.58,.96
Nifty FMCG,24-03-2026,46498.5,46822.7,45777.2,46408.3,571.25,1.25,56505920,3285.9,33.47,8.22,1.77
Nifty IT,24-03-2026,29572.75,29926.35,29210.7,29648.9,501.85,1.72,41761343,5113.63,21.07,5.5,3.57
Nifty Media,24-03-2026,1272.05,1301.7,1257.8,1296.55,43.2,3.45,35257908,463.05,27.21,1.36,1.36
Nifty Metal,24-03-2026,11114.2,11150.8,10909.9,11059.15,195.7,1.8,137082223,6156.31,18.76,2.88,1.56
Nifty MNC,24-03-2026,28536,28746.6,28062.65,28514.7,483.15,1.72,53430639,5488.09,35.26,8.18,1.58
Nifty Pharma,24-03-2026,22305.95,22364.3,21993.95,22239.8,186.7,.85,22208432,2596.66,33.28,4.85,.71
Nifty PSU Bank,24-03-2026,8429.6,8449.3,8287.85,8357.55,125.9,1.53,152577268,4587.44,8.29,1.37,2.3
Nifty Realty,24-03-2026,675.65,681.5,665.7,673.95,10.55,1.59,21896493,1577.07,30.36,3.26,.44
Nifty India Consumption,24-03-2026,10528.35,10614.3,10380.3,10533.4,195.4,1.89,179078775,13821.63,35.21,7.08,1.06
Nifty Commodities,24-03-2026,9231.4,9248.75,9066.05,9185.6,127.45,1.41,272931417,11788.24,15.43,2.18,1.72
Nifty Dividend Opportunities 50,24-03-2026,5800.1,5810.9,5704.7,5762.2,67.2,1.18,501375270,20420.05,13.23,2.67,2.97
Nifty Infrastructure,24-03-2026,8731.9,8782.3,8593.5,8734.2,160.3,1.87,331881739,15857.29,19.74,2.86,1.07
Nifty PSE,24-03-2026,9782.85,9786.8,9552.75,9683.9,90.0,.94,271081958,7193.44,10.5,1.94,2.96
Nifty Services Sector,24-03-2026,29166.95,29456.8,28870.8,29281.8,573.3,2,390276116,28459.83,18.95,3.08,1.44
Nifty50 Shariah,24-03-2026,4152.95,4199.2,4120.9,4160.25,62.4,1.52,70669294,7458.35,23.14,4,2.26
Nifty500 Shariah,24-03-2026,6302.5,6350.95,6212.35,6307.6,116.7,1.89,599004447,27781.9,25.29,4.27,1.5
Nifty Low Volatility 50,24-03-2026,22992.95,23178.95,22681.5,23013.95,369.15,1.63,307463972,32320.37,27.84,4.63,1.3
Nifty Alpha 50,24-03-2026,45827.45,46121.4,45060.3,45980.9,1138.35,2.54,202568503,17817.17,28.57,3.98,.64
Nifty High Beta 50,24-03-2026,3436.7,3445.7,3358.1,3422.8,75.45,2.25,991899224,17609.83,20.62,2.65,1.22
Nifty100 Equal Weight,24-03-2026,30677.35,30818.4,30152.6,30590.05,485.75,1.61,873251034,56000.73,20.4,3.39,1.39
Nifty100 Liquid 15,24-03-2026,6851.2,6866.8,6749.25,6822.5,98.6,1.47,269156489,18372.79,21.87,3.08,.95
Nifty CPSE,24-03-2026,7005.3,7009.75,6841.45,6918.0,26.6,.39,120911133,3654.42,14.19,2.21,2.69
Nifty50 Value 20,24-03-2026,11873.65,11921.45,11715.85,11832.8,137.75,1.18,238500696,16903.19,15.74,2.72,2.07
Nifty Midcap Liquid 15,24-03-2026,14130.65,14300.35,13915.05,14233.6,399.55,2.89,210719798,5308.25,33.82,4.04,.71
Nifty Shariah 25,24-03-2026,7336.6,7417.05,7255.6,7359.75,141.3,1.96,78142044,8144.54,26.18,4.65,1.86
India VIX,24-03-2026,26.73,26.73,24.63,24.74,-1.99,-7.44,-,-,-,-,-
Nifty Growth Sectors 15,24-03-2026,10556,10647.95,10443.3,10548.35,147.3,1.42,44690230,8033.08,27.13,6.26,2.01
Nifty50 TR 1x Inverse,24-03-2026,187.55,189.7,186.05,187.3,-3.35,-1.76,-,-,-,-,-
Nifty50 TR 2x Leverage,24-03-2026,16593.6,16848.75,16231.55,16642.05,568.45,3.54,-,-,-,-,-
Nifty50 PR 1x Inverse,24-03-2026,229.45,232.1,227.6,229.1,-4.1,-1.76,-,-,-,-,-
Nifty50 PR 2x Leverage,24-03-2026,11063.4,11233.5,10822,11095.7,379.0,3.54,-,-,-,-,-
NIFTY100 Quality 30,24-03-2026,5164.4,5194,5083.45,5147.35,68.3,1.34,138279296,12198.02,27.9,7.04,2.01
Nifty 50 Futures Index,24-03-2026,-,-,-,5742.76,103.06,1.83,-,-,-,-,-
Nifty 50 Arbitrage,24-03-2026,-,-,-,2655.11,-0.88,-.03,-,-,-,-,-
Nifty 50 Futures TR Index,24-03-2026,-,-,-,24474.25,443.79,1.85,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,24-03-2026,-,-,-,33240.55,927.01,2.87,10411948,1868.92,23.8,4.17,1.48
Nifty India Corporate Group Index - Aditya Birla Group,24-03-2026,-,-,-,8135.89,184.82,2.32,565785872,2079.89,76.4,2.8,.52
Nifty India Corporate Group Index - Tata Group,24-03-2026,-,-,-,13733.65,191.49,1.41,87595226,4425.04,28.59,4.98,2.21
Nifty India Corporate Group Index - Tata Group 25% Cap,24-03-2026,13593.55,13623.2,13334.4,13510.3,190.8,1.43,64232982,3548.89,33.04,4.28,1.66
Nifty Private Bank,24-03-2026,24832.2,25182.65,24624.5,25046.25,609.35,2.49,254644411,10148.97,17.54,1.98,.62
Nifty Smallcap 250,24-03-2026,14556.7,14604.1,14240.75,14574.25,341.4,2.4,772209213,19185.31,23.99,3.11,.79
Nifty Smallcap 50,24-03-2026,7576.2,7618.95,7398.7,7598.25,197.65,2.67,154635303,5105.88,27.36,3.37,.77
Nifty Midcap 150,24-03-2026,19869.15,20006.7,19528.4,19931.5,485.75,2.5,1183451124,21608.49,29.69,4.03,.88
Nifty Midcap Select,24-03-2026,12453.95,12581.1,12231.4,12532.4,348.85,2.86,243746979,8387.88,26.35,4.13,.89
NIFTY LargeMidcap 250,24-03-2026,14933.85,15037.45,14712.1,14960.55,310.45,2.12,2056702158,77609.22,23.63,3.53,1.13
NIFTY SME EMERGE,24-03-2026,11596.55,11719.8,11592.65,11656.15,138.45,1.2,-,-,17.91,3.07,.28
Nifty Oil & Gas,24-03-2026,10919.6,10941.85,10771.6,10878.5,140.65,1.31,149316789,5631.62,9.19,1.48,2.43
Nifty Financial Services 25/50,24-03-2026,26656.15,26871.1,26314.4,26741.95,549.65,2.1,231355219,19218.62,15.54,2.7,1.06
Nifty Healthcare Index,24-03-2026,14243.05,14313.4,14083.3,14229.5,150.2,1.07,27264607,3347.8,36.13,5.34,.6
Nifty500 Multicap 50:25:25,24-03-2026,14525.9,14611.35,14294.1,14544.8,298.1,2.09,2828911371,96794.53,22.55,3.31,1.11
Nifty Microcap 250,24-03-2026,19453.4,19642.4,19111.1,19553.75,546.85,2.88,460263928,6190.61,22.94,2.49,.89
Nifty Total Market,24-03-2026,11799,11876.95,11628.55,11812.8,229.6,1.98,3289175299,102985.14,21.42,3.24,1.22
Nifty India Digital,24-03-2026,7470.15,7529.5,7345.75,7480.05,144.6,1.97,688287066,10116.64,55.33,7.08,1.83
Nifty Mobility,24-03-2026,20013.6,20239.25,19701.45,20095.35,524.55,2.68,283682810,13305.32,29.01,4.12,1.17
Nifty India Defence,24-03-2026,7553.7,7601.45,7406.35,7550.95,160.1,2.17,26836430,2927.74,48.56,10.08,.63
Nifty Financial Services Ex-Bank,24-03-2026,28010,28234.25,27557.7,28146.9,738.25,2.69,155507648,10352.56,21.1,3.96,.89
Nifty Housing,24-03-2026,10685.15,10787.8,10526.35,10716.95,249.85,2.39,513987482,24830.67,22.44,2.76,.99
Nifty Transportation & Logistics,24-03-2026,22179.2,22438.3,21826.2,22281.2,596.1,2.75,176501839,9263.92,36.23,4.8,.97
Nifty MidSmall Financial Services,24-03-2026,18654.4,18814.2,18357.45,18770.95,533.3,2.92,225970510,6857.91,26.13,2.7,.7
Nifty MidSmall Healthcare,24-03-2026,41587.85,41700.2,40872.2,41593.0,665.7,1.63,23778032,2167.58,38.94,5.08,.46
Nifty MidSmall IT & Telecom,24-03-2026,7950.25,7993,7748.35,7955.35,185.1,2.38,580341111,2568.5,56.56,7.78,1.37
Nifty MidSmall India Consumption,24-03-2026,16224.65,16376.2,15948.55,16289.5,385.3,2.42,616897838,4354.85,76.68,8.48,.88
Nifty REITs & InvITs,24-03-2026,-,-,-,1317.09,19.88,1.53,6585775,97.16,44.62,1.91,5.79
Nifty Core Housing,24-03-2026,13176.55,13333.6,12951.85,13237.1,351.45,2.73,62257595,5877.64,29.34,3.12,.6
Nifty500 Multicap Infrastructure 50:30:20,24-03-2026,12993.55,13063.15,12784.2,13002.85,255.2,2,1050967663,18007.22,24.01,3.15,.91
Nifty Rural,24-03-2026,14343.75,14423.2,14115.2,14320.35,232.6,1.65,854953724,22920.98,23.92,3.72,1.26
Nifty Capital Markets,24-03-2026,4363.65,4407.55,4283.05,4400.65,148.05,3.48,29719535,3340.26,40.85,10.91,1.12
Nifty India New Age Consumption,24-03-2026,9973.65,10057.45,9812.75,9994.1,226.95,2.32,925760853,18351.16,50.83,5.91,.8
Nifty India Select 5 Corporate Groups (MAATR),24-03-2026,34199.6,34388.75,33629.75,34124.1,610.75,1.82,756911862,15107.15,26.41,3.1,1.04
Nifty India Railways PSU,24-03-2026,2846.2,2860.45,2794.4,2843.25,65.55,2.36,140718951,3401.82,20.9,2.9,1.89
Nifty Consumer Durables,24-03-2026,33708.8,33828,32922.15,33581.75,635.95,1.93,15677167,2259.64,53.44,10.52,.44
Nifty Non-Cyclical Consumer,24-03-2026,13594.25,13710.1,13381.8,13616.25,268.25,2.01,163047237,9923.22,48.66,9.32,.98
Nifty500 Multicap India Manufacturing 50:30:20,24-03-2026,14642.55,14724.4,14418.55,14644.0,267.55,1.86,267328554,17238.05,27.39,3.8,.86
Nifty EV & New Age Automotive,24-03-2026,2728.45,2743.2,2675.55,2726.85,53.3,1.99,173196188,10901.67,33.9,4.29,1.05
Nifty500 LargeMidSmall Equal-Cap Weighted,24-03-2026,15943.7,16031.75,15671.15,15969.15,345.45,2.21,2828911371,96794.53,23.75,3.38,1.02
Nifty India Tourism,24-03-2026,6776.5,6878.3,6678.5,6843.1,254.25,3.86,128185160,3779.64,51.51,8.09,.33
Nifty MidSmallcap 400,24-03-2026,17897.4,17995.2,17563.05,17941.9,431.55,2.46,1955660337,40793.8,27.49,3.67,.85
Nifty IPO,24-03-2026,1852.2,1853.9,1816.8,1845.85,33.75,1.86,123066037,2766.21,53.63,8.95,.17
Nifty India Internet,24-03-2026,1109.05,1125.25,1091.5,1116.75,30.75,2.83,148254107,3409.68,192.01,5.53,.44
Nifty Chemicals,24-03-2026,25589.2,25836.45,25121.35,25718.6,613.1,2.44,18433864,1766,36.29,3.79,.67
Nifty Conglomerate 50,24-03-2026,13089.85,13201.4,12892.85,13112.9,287.9,2.24,751838975,19069.64,25.89,3.47,1.11
Nifty India Infrastructure & Logistics,24-03-2026,10477.25,10519.8,10264.05,10452.05,205.0,2,1118341454,19316.99,29.13,3.73,.9
Nifty India FPI 150,24-03-2026,1435.15,1444.65,1415.4,1435.65,25.15,1.78,1182989408,67462.23,21.97,3.48,1.31
Nifty Waves,24-03-2026,1666.4,1682.7,1646.85,1678.3,40.1,2.45,59460736,492.19,-,2.02,.79
Nifty Smallcap 500,24-03-2026,-,-,-,16354.3,394.09,2.47,1223035711,25420.96,23.7,2.93,.8
Nifty Cement,24-03-2026,-,-,-,13904.06,369.25,2.73,12434230,1497.93,26.63,2.16,.49
Nifty REITs & Realty,24-03-2026,-,-,-,1668.09,30.28,1.85,29224901,1591.68,52.58,2.27,3.41
Nifty500 Healthcare,24-03-2026,17920.3,17999.2,17699.45,17912.0,224.65,1.27,36558178,4264.18,36.97,5.41,.57
Nifty MidSmallcap400 50:50,24-03-2026,-,-,-,17287.55,413.24,2.45,1955660337,40793.8,26.56,3.52,.83
Nifty Total Market Momentum Quality 50,24-03-2026,38444.5,38889.25,37912.45,38746.6,1099.5,2.92,118394147,12847,28.93,7.01,1.11
Nifty100 Low Volatility 30,24-03-2026,18651.5,18793.65,18434.8,18658.7,281.05,1.53,248501858,26853.86,25.82,4.6,1.38
