Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,17-02-2026,25637.95,25764.4,25570.3,25725.4,42.65,.17,378436265,27818.81,22.52,3.5,1.2
Nifty Next 50,17-02-2026,69433.95,69915.2,69255,69868.75,372.0,.54,195823023,7527.29,19.58,3.62,1.29
Nifty 100,17-02-2026,26273.1,26406.15,26214,26375.1,59.75,.23,574259288,35346.1,21.97,3.52,1.22
Nifty 200,17-02-2026,14314.45,14382.9,14281.6,14367.2,33.55,.23,1221015379,51842.47,23.43,3.65,1.14
Nifty 500,17-02-2026,23445.3,23563.25,23394.8,23540.05,67.6,.29,2021475691,71836.39,23.89,3.66,1.09
Nifty Midcap 50,17-02-2026,17021.95,17078.2,16969.6,17048.95,23.25,.14,241492713,10271.99,32.82,4.54,.78
NIFTY Midcap 100,17-02-2026,59713.55,59951.4,59543.7,59881.7,158.7,.27,646756091,16496.37,33.28,4.36,.78
NIFTY Smallcap 100,17-02-2026,17050.95,17166.2,17011.45,17146.7,95.8,.56,425946411,10507.82,30.53,3.71,.76
Nifty50 Dividend Points,17-02-2026,-,-,-,274.65,0.0,-,-,-,-,-,-
Nifty Auto,17-02-2026,27991.35,28197.9,27866.6,28174.55,146.35,.52,41324693,2954.44,33.31,4.83,1.13
Nifty Bank,17-02-2026,60821.15,61241.6,60560,61174.0,224.9,.37,264042737,10267.27,16.47,2.18,.96
Nifty Energy,17-02-2026,36370.85,36412.75,36172.35,36388.45,1.7,0,240608613,5983.92,15.32,2.36,1.68
Nifty Financial Services,17-02-2026,28246.5,28307.25,28098.5,28287.4,-18.85,-.07,101208526,11031.75,18.07,2.98,.81
Nifty FMCG,17-02-2026,51246.2,51824.15,51237.55,51778.3,459.45,.9,83287449,2472.78,37.43,9.29,1.58
Nifty IT,17-02-2026,32793.75,33703.1,32650.45,33075.05,337.0,1.03,66555796,7415.43,23.5,6.14,3.2
Nifty Media,17-02-2026,1452.8,1470.35,1443.65,1459.95,9.9,.68,20676315,299.77,30.64,1.54,1.24
Nifty Metal,17-02-2026,11903.25,11921.65,11713.05,11828.4,-126.6,-1.06,103093111,4658.02,20.06,3.08,1.55
Nifty MNC,17-02-2026,30974.3,31091.1,30838.85,31069.05,72.2,.23,60978499,2920.56,38.96,8.93,1.5
Nifty Pharma,17-02-2026,22390.9,22512.75,22318.4,22494.9,91.75,.41,12766947,1726.27,33.66,4.9,.63
Nifty PSU Bank,17-02-2026,9302.15,9547.75,9273.65,9500.8,196.4,2.11,202942572,5066.1,9.43,1.55,2.02
Nifty Realty,17-02-2026,834.45,838.5,829.65,834.15,-2.55,-.3,5546285,532.52,37.57,4.04,.36
Nifty India Consumption,17-02-2026,11802.15,11868.55,11770.85,11858.1,36.6,.31,144397889,7923.2,39.67,8,.94
Nifty Commodities,17-02-2026,9878.8,9883.9,9797.95,9861.4,-39.45,-.4,144262354,7063.2,16.59,2.35,1.52
Nifty Dividend Opportunities 50,17-02-2026,6315.45,6384.45,6302.95,6360.25,42.85,.68,403747157,17452.58,14.63,2.95,2.65
Nifty Infrastructure,17-02-2026,9647.5,9675.85,9612.5,9665.9,11.85,.12,163808015,8559.65,21.86,3.17,.95
Nifty PSE,17-02-2026,10346.2,10389.75,10288.9,10381.95,41.35,.4,141093837,4235.61,11.25,2.08,2.57
Nifty Services Sector,17-02-2026,33263.55,33436.1,33171.1,33335.85,21.4,.06,228499771,20588.01,21.57,3.51,1.26
Nifty50 Shariah,17-02-2026,4514.6,4579,4509.5,4544.3,25.45,.56,113191890,8625.93,25.32,4.38,2.07
Nifty500 Shariah,17-02-2026,6901,6957.95,6889.7,6934.05,29.8,.43,441449877,21900.82,27.73,4.68,1.37
Nifty Low Volatility 50,17-02-2026,25285.8,25464.15,25259.3,25434.4,108.05,.43,247528132,22304.32,30.77,5.12,1.16
