Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,27-03-2026,23173.55,23186.1,22804.55,22819.6,-486.85,-2.09,612556883,47239.2,19.97,3.1,1.37
Nifty Next 50,27-03-2026,63324.1,63335.75,61969.95,62043.05,-1577.55,-2.48,443430773,18739.68,17.34,3.21,1.6
Nifty 100,27-03-2026,23782.95,23792.85,23385.25,23400.05,-515.1,-2.15,1055987656,65978.88,19.48,3.12,1.41
Nifty 200,27-03-2026,12999.1,13003.9,12782.15,12789.2,-283.4,-2.17,2433224759,94867.79,20.84,3.24,1.31
Nifty 500,27-03-2026,21357.35,21364.35,21007.15,21020.15,-458.05,-2.13,3575019852,124670.65,21.32,3.26,1.24
Nifty Midcap 50,27-03-2026,15628.9,15638.9,15367.45,15396.1,-335.35,-2.13,566333133,17534.94,29.69,4.1,.85
NIFTY Midcap 100,27-03-2026,54997.35,55014.4,53991.55,54097.8,-1233.25,-2.23,1377237103,28888.9,30.1,3.93,.87
NIFTY Smallcap 100,27-03-2026,15796.4,15801.5,15574.9,15620.0,-276.55,-1.74,562540767,14762.93,27.83,3.38,.77
Nifty50 Dividend Points,27-03-2026,-,-,-,279.19,0.0,-,-,-,-,-,-
Nifty Auto,27-03-2026,24834.25,24847.7,24301.4,24351.95,-706.65,-2.82,84465569,5481.26,28.79,4.17,1.29
Nifty Bank,27-03-2026,53244.25,53292.5,52211.2,52274.6,-1433.5,-2.67,652961325,17256.85,14,1.83,1.12
Nifty Energy,27-03-2026,35498.5,35508.95,35134.7,35214.8,-341.65,-.96,644977521,15892.74,14.78,2.28,1.93
Nifty Financial Services,27-03-2026,24856.15,24888.35,24335.9,24373.2,-683.15,-2.73,244740331,20878.32,15.57,2.57,.94
Nifty FMCG,27-03-2026,47080.55,47112.95,46346.8,46427.2,-856.15,-1.81,49939800,3440.98,33.48,8.22,1.77
Nifty IT,27-03-2026,29721,30029.55,29461.2,29541.65,-129.65,-.44,61923012,6754.97,20.99,5.48,3.59
Nifty Media,27-03-2026,1302.1,1304,1265.7,1294.2,-16.95,-1.29,49245848,584.81,27.16,1.36,1.36
Nifty Metal,27-03-2026,11224.5,11292.85,11148.3,11161.65,-180.55,-1.59,160963765,5893.24,18.93,2.9,1.78
Nifty MNC,27-03-2026,28920.8,28936.45,28284.5,28335.6,-750.45,-2.58,65186387,8340.56,35.04,8.12,1.79
Nifty Pharma,27-03-2026,22612.7,22758.3,22484.05,22565.6,-114.15,-.5,34213827,3790.12,33.76,4.92,.7
Nifty PSU Bank,27-03-2026,8499.95,8508.05,8233.1,8249.45,-331.6,-3.86,289940453,5750.29,8.18,1.35,2.33
Nifty Realty,27-03-2026,684.2,686.95,667.65,670.15,-21.95,-3.17,45485811,3379.39,30.18,3.24,.44
Nifty India Consumption,27-03-2026,10692.4,10695.65,10547.4,10559.05,-206.35,-1.92,187063056,18239.51,35.3,7.1,1.05
Nifty Commodities,27-03-2026,9327.25,9329.55,9214.7,9223.85,-133.55,-1.43,379884086,15962.08,15.5,2.19,1.8
Nifty Dividend Opportunities 50,27-03-2026,5831,5834.9,5745.55,5752.0,-91.35,-1.56,732220332,28523.2,13.21,2.67,3.02
Nifty Infrastructure,27-03-2026,8863.85,8865.05,8707.65,8720.4,-167.15,-1.88,434083808,22945.69,19.71,2.86,1.07
Nifty PSE,27-03-2026,9757.85,9771,9632.6,9676.4,-64.0,-.66,351745638,9979.65,10.5,1.94,2.92
Nifty Services Sector,27-03-2026,29600.95,29622.95,29127.8,29158.0,-602.7,-2.03,424402850,33230.66,18.87,3.07,1.44
Nifty50 Shariah,27-03-2026,4201.3,4222.5,4168.7,4175.85,-35.25,-.84,132100144,10579.93,23.23,4.01,2.25
Nifty500 Shariah,27-03-2026,6396.55,6405.35,6318.8,6326.55,-94.95,-1.48,796809699,38520.15,25.37,4.28,1.5
Nifty Low Volatility 50,27-03-2026,23313.05,23328.7,23022.7,23044.1,-384.7,-1.64,360696513,38989.86,27.88,4.64,1.3
Nifty Alpha 50,27-03-2026,46931.7,46948.3,45796.75,45890.35,-1416.15,-2.99,295940546,26593.17,28.51,3.97,.64
