Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,23-02-2026,25678.4,25771.45,25609.35,25713.0,141.75,.55,399135843,25494.64,22.5,3.5,1.21
Nifty Next 50,23-02-2026,69844.8,70042.95,69417.85,69723.1,269.45,.39,189955172,10128.23,19.49,3.62,1.34
Nifty 100,23-02-2026,26333.4,26425.25,26249.15,26355.4,138.1,.53,589091015,35622.88,21.94,3.51,1.23
Nifty 200,23-02-2026,14336.85,14380.45,14274.75,14331.0,50.15,.35,1993534883,59403.91,23.36,3.64,1.16
Nifty 500,23-02-2026,23493.3,23566.85,23394.25,23484.95,89.95,.38,2631703098,76333.94,23.82,3.65,1.11
Nifty Midcap 50,23-02-2026,16912.65,16925,16710.05,16772.4,-139.95,-.83,870725013,16919.52,32.29,4.47,.82
NIFTY Midcap 100,23-02-2026,59612.8,59698.5,59014.3,59255.65,-258.3,-.43,1404443868,23781.04,32.94,4.31,.82
NIFTY Smallcap 100,23-02-2026,17119.55,17202.3,16984.9,17051.95,49.8,.29,377133873,8585.39,30.36,3.69,.75
Nifty50 Dividend Points,23-02-2026,-,-,-,277.39,0.0,-,-,-,-,-,-
Nifty Auto,23-02-2026,27974.05,28159.3,27913.95,28077.0,230.2,.83,39238452,3250.48,33.19,4.81,1.13
Nifty Bank,23-02-2026,61145.55,61517.8,61029.15,61264.25,92.25,.15,841881403,13925.19,16.49,2.19,.96
Nifty Energy,23-02-2026,36782.05,36782.05,36505.6,36741.55,160.4,.44,257150400,6793.09,15.37,2.38,1.85
Nifty Financial Services,23-02-2026,28360,28562.5,28329.4,28455.0,244.4,.87,108204558,10509.88,18.17,3,.83
Nifty FMCG,23-02-2026,51905.7,52186.2,51801.45,52136.35,363.65,.7,110999141,2008.27,37.69,9.35,1.57
Nifty IT,23-02-2026,31987.8,32051.7,31416.55,31550.5,-453.55,-1.42,50749549,5649.9,22.42,5.85,3.36
Nifty Media,23-02-2026,1430.4,1435.8,1415,1429.6,2.8,.2,15740784,270.5,30.01,1.5,1.26
Nifty Metal,23-02-2026,12109.8,12112.9,11875.3,11962.75,-27.2,-.23,101491710,4037.87,20.29,3.11,1.54
Nifty MNC,23-02-2026,31398.75,31545.75,31267.45,31514.25,302.75,.97,121011729,4773.31,39.06,9.06,1.47
Nifty Pharma,23-02-2026,22558.8,22608.75,22450,22578.55,126.15,.56,16469932,1980.03,33.79,4.92,.7
Nifty PSU Bank,23-02-2026,9724.9,9846.8,9699.55,9796.85,131.05,1.36,162925548,3523.47,9.72,1.6,1.96
Nifty Realty,23-02-2026,824.45,828.65,814,819.15,-1.55,-.19,6591366,696.01,36.89,3.96,.36
Nifty India Consumption,23-02-2026,11761.85,11796.45,11720.4,11765.55,54.85,.47,174360024,8184.26,39.36,7.94,.95
Nifty Commodities,23-02-2026,9940.8,9940.8,9832,9891.5,3.05,.03,179886718,8113.11,16.62,2.35,1.6
Nifty Dividend Opportunities 50,23-02-2026,6362.1,6370.6,6314.2,6342.9,10.8,.17,416046090,15268.62,14.58,2.94,2.72
Nifty Infrastructure,23-02-2026,9683.5,9722,9649.1,9714.3,82.05,.85,181035133,9406.02,21.96,3.18,.94
Nifty PSE,23-02-2026,10418.45,10418.45,10318.3,10380.5,13.6,.13,170878220,6166.03,11.22,2.07,2.77
Nifty Services Sector,23-02-2026,33124.15,33277.2,33033.2,33154.9,173.85,.53,223826533,18230.43,21.45,3.49,1.27
Nifty50 Shariah,23-02-2026,4523.4,4525.15,4480.65,4499.15,-13.5,-.3,150243442,7372.16,25.05,4.33,2.09
Nifty500 Shariah,23-02-2026,6904.95,6914.7,6852.1,6882.2,2.95,.04,537001104,24091.01,27.51,4.64,1.39
Nifty Low Volatility 50,23-02-2026,25413.25,25509.85,25350.8,25493.6,174.6,.69,254541021,19607.76,30.84,5.13,1.17
Nifty Alpha 50,23-02-2026,51255.85,51430.95,50794.45,50985.75,-61.35,-.12,177663372,15188.64,31.68,4.41,.58
Nifty High Beta 50,23-02-2026,3842.6,3858.15,3798.05,3818.5,-1.6,-.04,671822944,12372.76,23.01,2.96,1.11
Nifty100 Equal Weight,23-02-2026,34154.3,34250.2,33993.65,34138.35,149.35,.44,589091015,35622.88,22.79,3.79,1.24
Nifty100 Liquid 15,23-02-2026,7699.6,7730.85,7674.3,7711.2,50.8,.66,140063090,8538.31,24.72,3.48,.84
Nifty CPSE,23-02-2026,7058.2,7058.2,6986.85,7037.35,15.0,.21,85516255,2556.74,14.43,2.25,2.62
Nifty50 Value 20,23-02-2026,13106.75,13137.65,13032.15,13082.15,23.4,.18,163178927,12168.12,17.4,3.01,1.87
Nifty Midcap Liquid 15,23-02-2026,15356.9,15374.85,15075.8,15147.4,-236.75,-1.54,747053940,9774.61,35.99,4.3,.67
Nifty Shariah 25,23-02-2026,8026.05,8033.2,7977.9,8014.2,9.65,.12,137480734,7706.84,28.54,5.07,1.71
India VIX,23-02-2026,14.3625,14.4775,12.7725,14.17,-0.2,-1.36,-,-,-,-,-
Nifty Growth Sectors 15,23-02-2026,11546.15,11565.9,11473.25,11518.4,8.85,.08,134878547,7019.74,29.66,6.85,1.84
Nifty50 TR 1x Inverse,23-02-2026,167.2,167.65,166.6,166.95,-0.85,-.51,-,-,-,-,-
Nifty50 TR 2x Leverage,23-02-2026,21082.8,21233.75,20969.8,21139.4,223.5,1.07,-,-,-,-,-
Nifty50 PR 1x Inverse,23-02-2026,204.55,205.1,203.8,204.25,-1.05,-.51,-,-,-,-,-
Nifty50 PR 2x Leverage,23-02-2026,14058.55,14159.25,13983.2,14096.3,149.05,1.07,-,-,-,-,-
NIFTY100 Quality 30,23-02-2026,5636.1,5646.45,5589.55,5618.35,5.5,.1,186939601,10981.63,30.46,7.72,1.84
Nifty India Corporate Group Index - Mahindra Group,23-02-2026,-,-,-,37017.61,201.94,.55,6708190,1186.9,26.5,4.65,1.33
Nifty India Corporate Group Index - Aditya Birla Group,23-02-2026,-,-,-,9386.63,27.15,.29,405115223,1620.38,88.14,3.23,.45
Nifty India Corporate Group Index - Tata Group,23-02-2026,-,-,-,15270.86,-27.08,-.18,56157244,3680.85,31.79,5.54,1.98
Nifty India Corporate Group Index - Tata Group 25% Cap,23-02-2026,15115.65,15160.25,15018.9,15073.3,11.4,.08,49504052,3374.63,36.86,4.77,1.49
Nifty Private Bank,23-02-2026,28927.55,29141.45,28913.2,29008.05,99.45,.34,745257809,10200.99,20.31,2.29,.54
Nifty Smallcap 250,23-02-2026,16056.55,16128.25,15958.65,16027.95,69.15,.43,560909136,14595.69,26.36,3.42,.74
