Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,18-02-2026,25752.65,25828.05,25645.15,25819.35,93.95,.37,400807585,22228.22,22.6,3.51,1.21
Nifty Next 50,18-02-2026,69964.45,70389.5,69796.7,70334.35,465.6,.67,185945494,7617.39,19.71,3.65,1.3
Nifty 100,18-02-2026,26404.4,26495.2,26302.2,26484.6,109.5,.42,586753079,29845.61,22.06,3.53,1.22
Nifty 200,18-02-2026,14384.75,14435.65,14331.65,14429.2,62.0,.43,1294709483,48244.22,23.53,3.66,1.14
Nifty 500,18-02-2026,23571.5,23657.75,23490.35,23645.8,105.75,.45,2002069721,71283.32,24,3.67,1.1
Nifty Midcap 50,18-02-2026,17081.1,17133.4,17026,17123.45,74.5,.44,207510162,10088.06,32.96,4.56,.8
NIFTY Midcap 100,18-02-2026,59984.3,60227.3,59807.3,60183.2,301.5,.5,707956404,18398.61,33.45,4.38,.79
NIFTY Smallcap 100,18-02-2026,17184.1,17257.6,17133.5,17239.25,92.55,.54,341106521,9267,30.7,3.73,.74
Nifty50 Dividend Points,18-02-2026,-,-,-,277.39,0.0,-,-,-,-,-,-
Nifty Auto,18-02-2026,28202.65,28376.8,28085.6,28327.6,153.05,.54,33690017,2798.71,33.49,4.86,1.12
Nifty Bank,18-02-2026,61255.35,61596.85,61100.9,61550.8,376.8,.62,218063267,6931.18,16.57,2.2,.95
Nifty Energy,18-02-2026,36377.7,36576.45,36203.65,36517.1,128.65,.35,202142189,5180.81,15.34,2.36,1.87
Nifty Financial Services,18-02-2026,28331.65,28483.35,28285,28463.25,175.85,.62,89034633,8736.35,18.18,3,.81
Nifty FMCG,18-02-2026,51860.6,52428.9,51759.4,52406.5,628.2,1.21,141746389,2798.34,37.88,9.4,1.57
Nifty IT,18-02-2026,33133.85,33169.3,32169.15,32668.3,-406.75,-1.23,53687121,5626.79,23.21,6.06,3.24
Nifty Media,18-02-2026,1459.9,1466.85,1448.75,1463.4,3.45,.24,13883067,277.33,30.71,1.54,1.24
