Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,16-02-2026,25423.6,25697,25372.7,25682.75,211.65,.83,325487729,22205.92,22.51,3.49,1.2
Nifty Next 50,16-02-2026,68553.85,69588.05,68369.3,69496.75,670.0,.97,154206288,7370.38,19.49,3.6,1.3
Nifty 100,16-02-2026,26034.7,26331.3,25981.45,26315.35,222.95,.85,479694017,29576.3,21.95,3.51,1.22
Nifty 200,16-02-2026,14184.35,14342.7,14150.1,14333.65,111.75,.79,1192097697,47430.24,23.34,3.64,1.14
Nifty 500,16-02-2026,23248.55,23487.35,23190.2,23472.45,159.3,.68,1870081916,66783.52,23.79,3.65,1.09
Nifty Midcap 50,16-02-2026,16867.9,17040.85,16793.25,17025.7,65.25,.38,281169719,12819.77,32.82,4.53,.8
NIFTY Midcap 100,16-02-2026,59166.75,59770.45,58917.3,59723.0,285.0,.48,712403680,17853.94,32.56,4.34,.79
NIFTY Smallcap 100,16-02-2026,16927,17062.75,16822.25,17050.9,18.0,.11,363995598,10735.4,30.39,3.69,.76
Nifty50 Dividend Points,16-02-2026,-,-,-,274.65,0.0,-,-,-,-,-,-
Nifty Auto,16-02-2026,28204.15,28308.05,27928.3,28028.2,-206.1,-.73,35021489,2891.9,33.13,4.8,1.13
Nifty Bank,16-02-2026,59947.8,61011.3,59861.1,60949.1,762.45,1.27,168628013,6913.02,16.41,2.18,.96
Nifty Energy,16-02-2026,35699.4,36430.5,35589.45,36386.75,676.85,1.9,308884292,7080.3,15.49,2.36,1.72
Nifty Financial Services,16-02-2026,27955.65,28327.35,27907.15,28306.25,179.9,.64,113343710,12171.27,18.08,2.98,.81
Nifty FMCG,16-02-2026,50809.55,51371.9,50680.15,51318.85,416.7,.82,72612467,1920.22,37.1,9.21,1.6
Nifty IT,16-02-2026,32693,32809.35,32299.55,32738.05,56.55,.17,49055779,5148.05,23.26,6.07,3.24
Nifty Media,16-02-2026,1461.3,1467.65,1444.15,1450.05,-12.75,-.87,19232022,357.25,30.43,1.53,1.25
Nifty Metal,16-02-2026,11776.55,11970.4,11749.1,11955.0,82.2,.69,85599728,3752.36,20.28,3.11,1.54
Nifty MNC,16-02-2026,30761.1,31024.5,30677.45,30996.85,196.75,.64,77358259,3234.02,38.89,8.91,1.51
Nifty Pharma,16-02-2026,22184.6,22457.6,22121.7,22403.15,208.25,.94,18233159,2651.48,33.81,4.88,.63
Nifty PSU Bank,16-02-2026,9124,9328.55,9083.6,9304.4,137.9,1.5,92844983,2896.35,9.23,1.52,2.06
Nifty Realty,16-02-2026,819.3,838.2,817.2,836.7,13.1,1.59,8981092,882.87,37.69,4.05,.36
Nifty India Consumption,16-02-2026,11766.65,11828.6,11720.4,11821.5,39.85,.34,127909786,7712.88,39.55,7.97,.94
Nifty Commodities,16-02-2026,9748.2,9912,9733.1,9900.85,104.9,1.07,138584374,5807.18,16.74,2.35,1.53
Nifty Dividend Opportunities 50,16-02-2026,6250,6325,6231.75,6317.4,60.3,.96,356626163,13697.53,14.57,2.93,2.68
Nifty Infrastructure,16-02-2026,9537.25,9660.3,9501.15,9654.05,111.55,1.17,160681251,7353.53,21.92,3.17,.95
Nifty PSE,16-02-2026,10160.05,10350,10115.05,10340.6,165.8,1.63,171853246,4885.82,11.27,2.07,2.61
Nifty Services Sector,16-02-2026,32938.05,33341.7,32875.95,33314.45,277.45,.84,212524681,18529.21,21.56,3.51,1.26
Nifty50 Shariah,16-02-2026,4501.85,4522.85,4475.7,4518.85,11.2,.25,107309410,6657.71,25.36,4.35,2.08
Nifty500 Shariah,16-02-2026,6865.9,6910.05,6845,6904.25,28.35,.41,487988487,21715.64,27.74,4.66,1.38
Nifty Low Volatility 50,16-02-2026,25095.75,25344.05,25061.45,25326.35,173.5,.69,216412062,17633.7,30.71,5.1,1.16
Nifty Alpha 50,16-02-2026,49992.1,50461.7,49684.4,50427.5,154.65,.31,148596031,14010.72,31.28,4.36,.59
Nifty High Beta 50,16-02-2026,3797.6,3865.6,3771.8,3859.35,28.85,.75,645039395,15602.75,23.29,2.99,1.07
Nifty100 Equal Weight,16-02-2026,33607.05,34043,33530.2,34016.55,311.0,.92,479694017,29576.3,22.82,3.77,1.21
Nifty100 Liquid 15,16-02-2026,7661.9,7741.2,7641.05,7735.6,60.7,.79,122692895,8213.53,24.79,3.5,.83
Nifty CPSE,16-02-2026,6797.35,6958.5,6774.2,6953.1,146.65,2.15,94728643,2511.5,14.51,2.23,2.48
Nifty50 Value 20,16-02-2026,12938.25,13074.65,12918.5,13057.65,81.75,.63,157498467,11062.23,17.42,3.01,1.84
Nifty Midcap Liquid 15,16-02-2026,15513.2,15663.15,15383.05,15643.25,-23.95,-.15,130021600,7251.02,37.44,4.44,.65
Nifty Shariah 25,16-02-2026,7986.1,8059.25,7971.9,8053.1,53.55,.67,98428995,6064.95,29.07,5.1,1.7
India VIX,16-02-2026,13.2925,13.8325,13.235,13.33,0.04,.28,-,-,-,-,-
Nifty Growth Sectors 15,16-02-2026,11601.6,11612.6,11518.1,11591.3,-13.4,-.12,98572929,6561.78,29.85,6.89,1.83
Nifty50 TR 1x Inverse,16-02-2026,168.75,169.1,166.95,167.05,-1.35,-.8,-,-,-,-,-
Nifty50 TR 2x Leverage,16-02-2026,20688.05,21132.1,20610.5,21110.75,337.2,1.62,-,-,-,-,-
Nifty50 PR 1x Inverse,16-02-2026,206.45,206.85,204.25,204.35,-1.65,-.8,-,-,-,-,-
Nifty50 PR 2x Leverage,16-02-2026,13798.25,14094.45,13746.5,14080.2,224.65,1.62,-,-,-,-,-
NIFTY100 Quality 30,16-02-2026,5586,5629.1,5575.7,5625.35,25.6,.46,138368558,8638.27,30.74,7.73,1.77
Nifty India Corporate Group Index - Mahindra Group,16-02-2026,-,-,-,37765.28,-235.67,-.62,4938317,957.03,27.04,4.74,1.31
Nifty India Corporate Group Index - Aditya Birla Group,16-02-2026,-,-,-,9441.48,45.26,.48,316552778,1405.04,88.66,3.25,.45
Nifty India Corporate Group Index - Tata Group,16-02-2026,-,-,-,15317.46,55.56,.36,41293005,2594.75,31.89,5.7,1.98
Nifty India Corporate Group Index - Tata Group 25% Cap,16-02-2026,14963.55,15085.15,14939.2,15070.15,51.75,.34,33442848,2314.85,36.85,4.77,1.49
Nifty Private Bank,16-02-2026,28570.7,29053.5,28546.25,29031.8,340.0,1.19,111856083,4288.67,20.33,2.29,.54
Nifty Smallcap 250,16-02-2026,15914.6,15995.4,15815.8,15981.15,-7.15,-.04,627885677,17724.41,26.3,3.41,.75
Nifty Smallcap 50,16-02-2026,8260.45,8367.2,8213.15,8362.05,43.5,.52,174138358,7752.63,30.13,3.71,.78
Nifty Midcap 150,16-02-2026,21799,21994.4,21715.15,21977.2,92.85,.42,762502222,19482.8,32.24,4.45,.81
Nifty Midcap Select,16-02-2026,13536.2,13657.45,13444.25,13641.75,13.4,.1,174975526,9709.05,28.72,4.5,.82
NIFTY LargeMidcap 250,16-02-2026,16467.5,16634.65,16419.75,16623.5,105.5,.64,1242196239,49059.1,26.12,3.92,1.01
NIFTY SME EMERGE,16-02-2026,13178.95,13195.6,13085.2,13098.75,-74.15,-.56,-,-,22.25,3.49,.25
Nifty Oil & Gas,16-02-2026,11963.95,12094.95,11932.25,12084.65,108.2,.9,52121923,1958.22,10.37,1.66,2.1
Nifty Financial Services 25/50,16-02-2026,30384.35,30761.75,30302.6,30738.25,137.0,.45,113343710,12171.27,17.86,3.1,.9
Nifty Healthcare Index,16-02-2026,14382.65,14529.05,14340.2,14518.0,133.95,.93,22550004,3203.29,37.11,5.45,.53
Nifty500 Multicap 50:25:25,16-02-2026,16004.3,16150.9,15959.05,16140.35,84.25,.52,1870081916,66783.52,24.97,3.68,1
Nifty Microcap 250,16-02-2026,21838.2,21858.55,21676.7,21745.7,-161.7,-.74,521497747,6305.36,25.34,2.77,.79
Nifty Total Market,16-02-2026,13041.7,13169.25,13009.3,13160.7,82.55,.63,2391579663,73088.87,23.85,3.61,1.08
